taxid	organism_name	kingdom	source	accession	assembly_level	release_date	has_annotation	country	protein_coding_genes	scaffold_n50_kb	total_length_mb	fasta_type	busco_lineage	selection_rank	selection_reason
156630	Alternaria arborescens	fungal	order_sweep	GCF_004154835.1	Scaffold	2019-02-11	True		12885	863	33.9	cds	ascomycota_odb10	1	best_quality
156630	Alternaria arborescens	fungal	order_sweep	GCA_004154815.1	Scaffold	2019-02-11	True		12809	528	33.8	cds	ascomycota_odb10	2	quality_fill
156630	Alternaria arborescens	fungal	order_sweep	GCA_004154835.1	Scaffold	2019-02-11	True		12886	863	33.9	cds	ascomycota_odb10	3	quality_fill
156630	Alternaria arborescens	fungal	order_sweep	GCA_004155955.1	Scaffold	2019-02-11	True		12757	685	33.8	cds	ascomycota_odb10	4	quality_fill
232088	Alternaria arbusti	fungal	order_sweep	GCF_024043155.1	Scaffold	2022-06-29	True	USA	11721	1678	34.0	cds	ascomycota_odb10	1	best_quality
232088	Alternaria arbusti	fungal	order_sweep	GCA_024043155.1	Scaffold	2022-06-29	True	USA	11721	1678	34.0	cds	ascomycota_odb10	2	quality_fill
119953	Alternaria atra	fungal	order_sweep	GCF_907166805.1	Scaffold	2021-05-15	True	Chile	12172	3893	39.6	cds	ascomycota_odb10	1	best_quality
119953	Alternaria atra	fungal	order_sweep	GCA_907166805.1	Scaffold	2021-05-15	True	Chile	12173	3893	39.6	cds	ascomycota_odb10	2	quality_fill
1187904	Alternaria burnsii	fungal	order_sweep	GCF_013036055.1	Scaffold	2020-05-11	True	India	11314	1806	33.0	cds	ascomycota_odb10	1	best_quality
1187904	Alternaria burnsii	fungal	order_sweep	GCA_951284595.1	Scaffold	2023-05-27	True	India	12437	832	33.3	cds	ascomycota_odb10	2	quality_fill
1187904	Alternaria burnsii	fungal	order_sweep	GCA_013036055.1	Scaffold	2020-05-11	True	India	11314	1806	33.0	cds	ascomycota_odb10	3	quality_fill
181017	Alternaria conjuncta	fungal	order_sweep	GCF_024043145.1	Scaffold	2022-06-29	True	Switzerland	11648	1897	36.1	cds	ascomycota_odb10	1	best_quality
181017	Alternaria conjuncta	fungal	order_sweep	GCA_024043145.1	Scaffold	2022-06-29	True	Switzerland	11648	1897	36.1	cds	ascomycota_odb10	2	quality_fill
48095	Alternaria dauci	fungal	order_sweep	GCF_042100115.1	Complete Genome	2024-09-24	True	China	10026	3442	34.9	cds	ascomycota_odb10	1	best_quality
48095	Alternaria dauci	fungal	order_sweep	GCA_042100115.1	Complete Genome	2024-09-24	True	China	10026	3442	34.9	cds	ascomycota_odb10	2	quality_fill
181014	Alternaria ethzedia	fungal	order_sweep	GCF_023757985.1	Scaffold	2022-06-17	True	Switzerland	10985	864	36.0	cds	ascomycota_odb10	1	best_quality
181014	Alternaria ethzedia	fungal	order_sweep	GCA_023757985.1	Scaffold	2022-06-17	True	Switzerland	10985	864	36.0	cds	ascomycota_odb10	2	quality_fill
1187925	Alternaria hordeiaustralica	fungal	order_sweep	GCF_023758085.1	Scaffold	2022-06-17	True	Australia	11036	1054	37.0	cds	ascomycota_odb10	1	best_quality
1187925	Alternaria hordeiaustralica	fungal	order_sweep	GCA_023758085.1	Scaffold	2022-06-17	True	Australia	11036	1054	37.0	cds	ascomycota_odb10	2	quality_fill
1187928	Alternaria incomplexa	fungal	order_sweep	GCF_024043165.1	Scaffold	2022-06-29	True	USA	10979	1850	33.5	cds	ascomycota_odb10	1	best_quality
1187928	Alternaria incomplexa	fungal	order_sweep	GCA_024043165.1	Scaffold	2022-06-29	True	USA	10979	1850	33.5	cds	ascomycota_odb10	2	quality_fill
45303	Alternaria infectoria	fungal	order_sweep	GCF_024043175.1	Scaffold	2022-06-29	True	United Kingdom	10982	1573	36.5	cds	ascomycota_odb10	1	best_quality
45303	Alternaria infectoria	fungal	order_sweep	GCA_024043175.1	Scaffold	2022-06-29	True	United Kingdom	10982	1573	36.5	cds	ascomycota_odb10	2	quality_fill
283354	Alternaria metachromatica	fungal	order_sweep	GCF_023757995.1	Scaffold	2022-06-17	True	Australia	11000	1012	37.3	cds	ascomycota_odb10	1	best_quality
283354	Alternaria metachromatica	fungal	order_sweep	GCA_023757995.1	Scaffold	2022-06-17	True	Australia	11000	1012	37.3	cds	ascomycota_odb10	2	quality_fill
430562	Alternaria novae-zelandiae	fungal	order_sweep	GCF_023758075.1	Scaffold	2022-06-17	True	New Zealand	10919	1243	37.6	cds	ascomycota_odb10	1	best_quality
430562	Alternaria novae-zelandiae	fungal	order_sweep	GCA_023758075.1	Scaffold	2022-06-17	True	New Zealand	10919	1243	37.6	cds	ascomycota_odb10	2	quality_fill
1187938	Alternaria postmessia	fungal	order_sweep	GCF_024291825.1	Scaffold	2022-07-15	True	USA	11632	300	34.4	cds	ascomycota_odb10	1	best_quality
1187938	Alternaria postmessia	fungal	order_sweep	GCA_024291825.1	Scaffold	2022-07-15	True	USA	11632	300	34.4	cds	ascomycota_odb10	2	quality_fill
1187941	Alternaria rosae	fungal	order_sweep	GCA_024043135.1	Scaffold	2022-06-29	True	New Zealand	11226	938	32.8	cds	ascomycota_odb10	1	best_quality
2817039	Alternaria sp. Ai002NY15	fungal	order_sweep	GCA_023758125.1	Scaffold	2022-06-17	True	USA	11042	1256	36.9	cds	ascomycota_odb10	1	best_quality
2817042	Alternaria sp. BMP 0032	fungal	order_sweep	GCA_023758005.1	Scaffold	2022-06-17	True	USA	10997	976	37.3	cds	ascomycota_odb10	1	best_quality
2817041	Alternaria sp. BMP 2799	fungal	order_sweep	GCA_023758145.1	Scaffold	2022-06-17	True	USA	11051	1000	36.4	cds	ascomycota_odb10	1	best_quality
1678846	Alternaria sp. MG1	fungal	order_sweep	GCA_003574525.1	Scaffold	2018-09-18	True	China	13440	1662	34.7	cds	ascomycota_odb10	1	best_quality
119927	Alternaria tenuissima	fungal	order_sweep	GCA_004154735.1	Scaffold	2019-02-11	True		12799	608	33.1	cds	ascomycota_odb10	1	best_quality
119927	Alternaria tenuissima	fungal	order_sweep	GCA_004154745.1	Scaffold	2019-02-11	True		13019	547	33.9	cds	ascomycota_odb10	2	quality_fill
119927	Alternaria tenuissima	fungal	order_sweep	GCA_004154845.1	Scaffold	2019-02-11	True		13700	622	35.9	cds	ascomycota_odb10	3	quality_fill
119927	Alternaria tenuissima	fungal	order_sweep	GCA_004156015.1	Scaffold	2019-02-11	True		13109	709	34.7	cds	ascomycota_odb10	4	quality_fill
297637	Alternaria triticimaculans	fungal	order_sweep	GCF_023758025.1	Scaffold	2022-06-17	True	Argentina	10976	1667	36.8	cds	ascomycota_odb10	1	best_quality
297637	Alternaria triticimaculans	fungal	order_sweep	GCA_023758025.1	Scaffold	2022-06-17	True	Argentina	10994	1667	36.8	cds	ascomycota_odb10	2	quality_fill
1187951	Alternaria ventricosa	fungal	order_sweep	GCF_023758065.1	Scaffold	2022-06-17	True	China	10954	1329	34.7	cds	ascomycota_odb10	1	best_quality
1187951	Alternaria ventricosa	fungal	order_sweep	GCA_023758065.1	Scaffold	2022-06-17	True	China	10954	1329	34.7	cds	ascomycota_odb10	2	quality_fill
566460	Alternaria viburni	fungal	order_sweep	GCF_023758015.1	Scaffold	2022-06-17	True	Netherlands	11747	1054	36.4	cds	ascomycota_odb10	1	best_quality
566460	Alternaria viburni	fungal	order_sweep	GCA_023758015.1	Scaffold	2022-06-17	True	Netherlands	11747	1054	36.4	cds	ascomycota_odb10	2	quality_fill
87326	Amanita brunnescens	fungal	order_sweep	GCA_001691785.3	Scaffold	2018-10-17	True	USA	14506	13	36.0	cds	ascomycota_odb10	1	best_quality
933333	Amanita inopinata	fungal	order_sweep	GCA_001691775.3	Scaffold	2018-10-17	True	United Kingdom	7564	140	20.1	cds	ascomycota_odb10	1	best_quality
41956	Amanita muscaria	fungal	order_sweep	GCA_054369615.1	Scaffold	2026-01-06	True	USA	15791	2172	110.3	cds	ascomycota_odb10	1	best_quality
41956	Amanita muscaria	fungal	order_sweep	GCA_000827485.1	Scaffold	2015-01-27	True		18091	168	40.7	cds	ascomycota_odb10	2	new_year_bin:2015
67723	Amanita phalloides	fungal	order_sweep	GCA_032173475.1	Scaffold	2023-09-28	True	Portugal	8742	320	35.5	cds	ascomycota_odb10	1	best_quality
1004511	Amanita polypyramis	fungal	order_sweep	GCA_001691755.2	Scaffold	2018-10-17	True	USA	7962	64	19.7	cds	ascomycota_odb10	1	best_quality
235537	Amanita thiersii	fungal	order_sweep	GCA_002554575.1	Scaffold	2017-10-16	True		10346	77	33.7	cds	ascomycota_odb10	1	best_quality
455074	Amniculicola lignicola	fungal	order_sweep	GCA_010015725.1	Scaffold	2020-01-29	True		15585	439	49.6	cds	ascomycota_odb10	1	best_quality
5101	Amorphotheca resinae	fungal	order_sweep	GCF_003019875.1	Scaffold	2018-03-27	True		9642	1981	28.6	cds	ascomycota_odb10	1	best_quality
5101	Amorphotheca resinae	fungal	order_sweep	GCA_003019875.1	Scaffold	2018-03-27	True		9642	1981	28.6	cds	ascomycota_odb10	2	quality_fill
50730	Ampelomyces quisqualis	fungal	order_sweep	GCA_010094095.1	Scaffold	2020-01-31	True		11147	4301	36.8	cds	ascomycota_odb10	1	best_quality
45428	Amylocarpus encephaloides	fungal	order_sweep	GCA_019669835.1	Scaffold	2021-08-18	True		11869	75	46.3	cds	ascomycota_odb10	1	best_quality
55340	Amylostereum chailletii	fungal	order_sweep	GCA_022385825.1	Scaffold	2022-02-17	True		14729	43	38.2	cds	ascomycota_odb10	1	best_quality
326616	Annulohypoxylon bovei	fungal	order_sweep	GCA_022836615.1	Scaffold	2022-04-06	True		11202	228	41.8	cds	ascomycota_odb10	1	best_quality
1927788	Annulohypoxylon maeteangense	fungal	order_sweep	GCF_022496945.1	Scaffold	2022-02-28	True		11000	1645	38.2	cds	ascomycota_odb10	1	best_quality
1927788	Annulohypoxylon maeteangense	fungal	order_sweep	GCA_022496945.1	Scaffold	2022-02-28	True		11000	1645	38.2	cds	ascomycota_odb10	2	quality_fill
326622	Annulohypoxylon moriforme	fungal	order_sweep	GCA_022695765.1	Scaffold	2022-03-03	True	France	11683	339	42.7	cds	ascomycota_odb10	1	best_quality
326626	Annulohypoxylon nitens	fungal	order_sweep	GCA_022496965.1	Scaffold	2022-02-28	True	Thailand	11873	1333	38.5	cds	ascomycota_odb10	1	best_quality
2857486	Annulohypoxylon sp. FPYF3050	fungal	order_sweep	GCA_040104375.1	Complete Genome	2024-06-08	True	China	10256	3897	43.3	cds	ascomycota_odb10	1	best_quality
326628	Annulohypoxylon stygium	fungal	order_sweep	GCA_022695755.1	Scaffold	2022-03-03	True	USA	11879	424	38.5	cds	ascomycota_odb10	1	best_quality
327061	Annulohypoxylon truncatum	fungal	order_sweep	GCF_022578515.1	Scaffold	2022-02-28	True		11144	763	38.1	cds	ascomycota_odb10	1	best_quality
327061	Annulohypoxylon truncatum	fungal	order_sweep	GCA_022578515.1	Scaffold	2022-02-28	True		11151	763	38.1	cds	ascomycota_odb10	2	quality_fill
12942	Aphanocladium album	fungal	order_sweep	GCA_029218145.1	Scaffold	2023-03-15	True	Italy	11167	38	35.1	cds	ascomycota_odb10	1	best_quality
462254	Aplosporella prunicola	fungal	order_sweep	GCF_010093885.1	Scaffold	2020-01-31	True		12531	958	32.8	cds	ascomycota_odb10	1	best_quality
462254	Aplosporella prunicola	fungal	order_sweep	GCA_010093885.1	Scaffold	2020-01-31	True		12545	958	32.8	cds	ascomycota_odb10	2	quality_fill
47427	Armillaria gallica	fungal	order_sweep	GCA_002307695.1	Scaffold	2017-09-18	True		25695	1035	85.3	cds	ascomycota_odb10	1	best_quality
1076256	Armillaria solidipes	fungal	order_sweep	GCA_002307675.1	Scaffold	2017-09-18	True		20808	716	58.0	cds	ascomycota_odb10	1	best_quality
530044	Arthromyces matolae	fungal	order_sweep	GCA_018855395.1	Scaffold	2021-06-11	True	Belize	16549	6	50.5	cds	ascomycota_odb10	1	best_quality
48021	Artomyces pyxidatus	fungal	order_sweep	GCA_022160305.1	Scaffold	2022-02-09	True		15125	473	38.0	cds	ascomycota_odb10	1	best_quality
487661	Aspergillus aculeatinus	fungal	order_sweep	GCF_003184765.1	Scaffold	2018-06-04	True		12024	494	36.5	cds	ascomycota_odb10	1	best_quality
487661	Aspergillus aculeatinus	fungal	order_sweep	GCA_003184765.1	Scaffold	2018-06-04	True		12028	494	36.5	cds	ascomycota_odb10	2	quality_fill
5053	Aspergillus aculeatus	fungal	order_sweep	GCF_001890905.1	Scaffold	2016-12-08	True		10830	1635	35.4	cds	ascomycota_odb10	1	best_quality
5053	Aspergillus aculeatus	fungal	order_sweep	GCA_001890905.1	Scaffold	2016-12-08	True		10843	1635	35.4	cds	ascomycota_odb10	2	quality_fill
1070780	Aspergillus affinis	fungal	order_sweep	GCF_023601865.1	Scaffold	2022-10-03	True	Portugal	11660	217	37.6	cds	ascomycota_odb10	1	best_quality
1070780	Aspergillus affinis	fungal	order_sweep	GCA_023601865.2	Scaffold	2022-10-03	True	Portugal	11661	217	37.6	cds	ascomycota_odb10	2	quality_fill
209559	Aspergillus alliaceus	fungal	order_sweep	GCF_009176365.1	Scaffold	2019-10-18	True		13098	499	40.2	cds	ascomycota_odb10	1	best_quality
209559	Aspergillus alliaceus	fungal	order_sweep	GCA_013421405.2	Scaffold	2020-07-17	True	Australia	12707	100	41.0	cds	ascomycota_odb10	2	new_country:Australia; new_year_bin:2020
209559	Aspergillus alliaceus	fungal	order_sweep	GCA_009176365.1	Scaffold	2019-10-18	True		13098	499	40.2	cds	ascomycota_odb10	3	quality_fill
209559	Aspergillus alliaceus	fungal	order_sweep	GCA_009193605.1	Scaffold	2019-10-18	True		12815	296	40.1	cds	ascomycota_odb10	4	quality_fill
176160	Aspergillus ambiguus	fungal	order_sweep	GCF_047715705.1	Scaffold	2025-02-11	True		11087	551	29.4	cds	ascomycota_odb10	1	best_quality
176160	Aspergillus ambiguus	fungal	order_sweep	GCA_047715705.1	Scaffold	2025-02-11	True		11087	551	29.4	cds	ascomycota_odb10	2	quality_fill
656916	Aspergillus arachidicola	fungal	order_sweep	GCA_009193545.1	Scaffold	2019-10-18	True		13894	350	39.8	cds	ascomycota_odb10	1	best_quality
41725	Aspergillus aurantiobrunneus	fungal	order_sweep	GCA_047715765.1	Scaffold	2025-02-11	True		11287	255	31.4	cds	ascomycota_odb10	1	best_quality
36643	Aspergillus avenaceus	fungal	order_sweep	GCA_009193465.1	Scaffold	2019-10-18	True		11292	79	33.8	cds	ascomycota_odb10	1	best_quality
1226010	Aspergillus bertholletiae	fungal	order_sweep	GCA_009193595.1	Scaffold	2019-10-18	True		12947	174	37.0	cds	ascomycota_odb10	1	best_quality
319629	Aspergillus brasiliensis	fungal	order_sweep	GCF_001889945.1	Scaffold	2016-12-08	True		12985	2027	35.8	cds	ascomycota_odb10	1	best_quality
319629	Aspergillus brasiliensis	fungal	order_sweep	GCA_027924045.1	Scaffold	2022-12-15	True	Spain	12050	45	36.0	cds	ascomycota_odb10	2	new_country:Spain; new_year_bin:2020
319629	Aspergillus brasiliensis	fungal	order_sweep	GCA_027924065.1	Scaffold	2022-12-15	True	Romania	11888	179	36.1	cds	ascomycota_odb10	3	new_country:Romania
319629	Aspergillus brasiliensis	fungal	order_sweep	GCA_027924085.1	Scaffold	2022-12-15	True	USA	11765	226	35.4	cds	ascomycota_odb10	4	new_country:USA
1191711	Aspergillus brunneoviolaceus	fungal	order_sweep	GCF_003184695.1	Scaffold	2018-06-04	True		12059	412	37.5	cds	ascomycota_odb10	1	best_quality
1191711	Aspergillus brunneoviolaceus	fungal	order_sweep	GCA_003184695.1	Scaffold	2018-06-04	True		12073	412	37.5	cds	ascomycota_odb10	2	quality_fill
61420	Aspergillus caelatus	fungal	order_sweep	GCF_009193585.1	Scaffold	2019-10-18	True		13913	116	40.0	cds	ascomycota_odb10	1	best_quality
61420	Aspergillus caelatus	fungal	order_sweep	GCA_009193585.1	Scaffold	2019-10-18	True		13914	116	40.0	cds	ascomycota_odb10	2	quality_fill
454130	Aspergillus calidoustus	fungal	order_sweep	GCA_001511075.1	Scaffold	2016-01-07	True		15139	3208	41.1	cds	ascomycota_odb10	1	best_quality
1810905	Aspergillus californicus	fungal	order_sweep	GCA_045785085.1	Scaffold	2024-12-02	True		13879	231	36.7	cds	ascomycota_odb10	1	best_quality
41067	Aspergillus candidus	fungal	order_sweep	GCA_059056005.1	Complete Genome	2026-07-07	True	Algeria	8862	4472	29.1	cds	ascomycota_odb10	1	best_quality
41067	Aspergillus candidus	fungal	order_sweep	GCF_002847045.1	Scaffold	2017-12-21	True		9639	392	27.3	cds	ascomycota_odb10	2	new_year_bin:2015
41067	Aspergillus candidus	fungal	order_sweep	GCA_002847045.1	Scaffold	2017-12-21	True		9639	392	27.3	cds	ascomycota_odb10	3	quality_fill
1810906	Aspergillus carlsbadensis	fungal	order_sweep	GCA_025688815.1	Scaffold	2022-10-13	True		14289	329	39.5	cds	ascomycota_odb10	1	best_quality
