taxid	organism_name	accession	complete_pct	scaffold_n50_kb	n_hashes	est_distinct_kmers
120017	Ustilago hordei	GCA_023748765.1	99.1	1133	60048	12009600
120017	Ustilago hordei	GCA_022749175.1	99.0	1133	59664	11932800
120017	Ustilago hordei	GCA_023748735.1	99.0	1049	60093	12018600
120017	Ustilago hordei	GCA_023748825.1	99.0	830	60186	12037200
120017	Ustilago hordei	GCA_023748725.1	98.7	1133	59845	11969000
1208366	Fusarium sarcochroum	GCA_013266185.1	97.7	55	108963	21792600
1209068	Colletotrichum tabaci	GCA_036851105.1	98.9	3611	94221	18844200
1209916	Colletotrichum costaricense	GCA_030867565.1	99.5	2423	107022	21404400
1209916	Colletotrichum costaricense	GCF_030867565.1	99.5	2423	107005	21401000
1209917	Colletotrichum cuscutae	GCA_030869315.1	98.1	514	106621	21324200
1209924	Colletotrichum limetticola	GCA_030413865.1	99.2	69	103303	20660600
1209925	Colletotrichum melonis	GCA_030868995.1	99.2	2830	107114	21422800
1209926	Colletotrichum orchidophilum	GCA_001831195.1	99.5	284	93499	18699800
1209926	Colletotrichum orchidophilum	GCF_001831195.1	99.5	284	93484	18696800
1209931	Colletotrichum salicis	GCA_001563125.1	98.5	46	96443	19288600
1209932	Colletotrichum scovillei	GCA_018906765.1	97.0	3537	101059	20211800
1209932	Colletotrichum scovillei	GCA_018906675.1	97.0	3529	100864	20172800
1209932	Colletotrichum scovillei	GCA_018907675.1	96.9	3597	101630	20326000
1209934	Colletotrichum tamarilloi	GCA_030869305.1	99.6	411	106879	21375800
1209934	Colletotrichum tamarilloi	GCF_030869305.1	99.6	411	106858	21371600
1216348	Colletotrichum zoysiae	GCA_030867305.1	99.0	179	92517	18503400
122368	Cercospora beticola	GCA_033473495.1	99.3	4240	90856	18171200
122368	Cercospora beticola	GCF_033473495.1	99.3	4240	90856	18171200
122368	Cercospora beticola	GCA_002742065.1	99.0	4173	88162	17632400
122368	Cercospora beticola	GCF_002742065.1	99.0	4173	88162	17632400
122368	Cercospora beticola	GCA_963585935.1	98.2	4201	91579	18315800
122381	Fusarium sp. NRRL 25303	GCA_013396255.1	98.1	102	106725	21345000
1237068	Fusarium albosuccineum	GCA_012931995.1	96.9	23	120549	24109800
1237075	Fusarium torreyae	GCA_027945595.1	99.3	1014	101385	20277000
1284355	Phytophthora kernoviae 00238/432	GCA_000333075.3	95.0	60	78099	15619800
129314	Colletotrichum falcatum	GCA_030867235.1	98.8	91	89724	17944800
129364	Phytophthora rubi	GCA_009732905.1	100.0	17	160469	32093800
129364	Phytophthora rubi	GCA_009732945.1	100.0	17	150549	30109800
129364	Phytophthora rubi	GCA_009733145.1	100.0	17	161834	32366800
1302712	Pyrenophora seminiperda CCB06	GCA_000465215.2	76.9	1474	63517	12703400
1306861	Colletotrichum tanaceti	GCA_005350895.1	94.0	103	83158	16631600
1306861	Colletotrichum tanaceti	GCA_026229895.1	92.2	10	79818	15963600
131363	Fusarium ambrosium	GCA_003947045.1	99.0	122	116650	23330000
131363	Fusarium ambrosium	GCA_057676225.1	97.7	750	109565	21913000
131363	Fusarium ambrosium	GCA_057676125.1	97.6	196	107492	21498400
131363	Fusarium ambrosium	GCA_057676205.1	97.4	253	105158	21031600
131363	Fusarium ambrosium	GCA_057676245.1	97.0	539	108412	21682400
132184	Cercospora apii	GCA_026120055.1		687	0	0
1325733	Fusarium floridanum	GCA_003947005.1	96.6	60	113708	22741600
1325733	Fusarium floridanum	GCA_057675325.1	96.5	265	105950	21190000
1325733	Fusarium floridanum	GCA_057675305.1	96.2	299	104335	20867000
1325733	Fusarium floridanum	GCA_057675205.1	96.1	299	106178	21235600
1325733	Fusarium floridanum	GCA_057675345.1	95.1	306	102298	20459600
1325734	Fusarium duplospermum	GCA_057674645.1	99.8	342	108612	21722400
1325734	Fusarium duplospermum	GCA_057674665.1	99.7	342	109278	21855600
1325734	Fusarium duplospermum	GCA_003946985.1	99.0	168	109818	21963600
1325736	Fusarium tuaranense	GCA_057675225.1	95.0	362	102472	20494400
1325736	Fusarium tuaranense	GCA_057675105.1	93.9	370	101504	20300800
1325738	Fusarium obliquiseptatum	GCA_057674705.1	96.4	316	96776	19355200
1325738	Fusarium obliquiseptatum	GCA_057675085.1	96.3	71	97001	19400200
1328300	Fusarium keratoplasticum	GCA_025433545.1	99.9	4213	110337	22067400
1328300	Fusarium keratoplasticum	GCA_025433555.1	99.7	3499	109934	21986800
1328300	Fusarium keratoplasticum	GCF_025433545.1	97.9	4213	106397	21279400
1347389	Colletotrichum sidae	GCA_004367935.1	93.0	39	83942	16788400
1347390	Colletotrichum spinosum	GCA_004366825.1	94.1	94	84925	16985000
13563	Heterobasidion annosum	GCA_001457955.1		2331	0	0
135779	Cercospora zeae-maydis	GCA_010093985.1	98.2	720	74108	14821600
13684	Parastagonospora nodorum	GCA_020570405.1	99.7	971	98525	19705000
13684	Parastagonospora nodorum	GCA_020570965.1	99.7	953	98548	19709600
13684	Parastagonospora nodorum	GCA_020570415.1	99.6	1202	98507	19701400
13684	Parastagonospora nodorum	GCA_020573325.1	99.6	1065	98928	19785600
13684	Parastagonospora nodorum	GCA_020570045.1	99.6	1060	99002	19800400
13684	Parastagonospora nodorum	GCA_020574405.1	99.6	1059	99038	19807600
13684	Parastagonospora nodorum	GCA_020570395.1	99.6	1056	98511	19702200
13684	Parastagonospora nodorum	GCA_020570685.1	99.6	1052	99015	19803000
13684	Parastagonospora nodorum	GCA_020571965.1	99.6	1051	99011	19802200
13684	Parastagonospora nodorum	GCA_020578375.1	99.6	1039	98500	19700000
13684	Parastagonospora nodorum	GCA_020571295.1	99.6	1035	99165	19833000
13684	Parastagonospora nodorum	GCA_020572945.1	99.6	1029	100425	20085000
13684	Parastagonospora nodorum	GCA_020569685.1	99.6	1020	99046	19809200
13684	Parastagonospora nodorum	GCA_020572345.1	99.6	1016	99072	19814400
13684	Parastagonospora nodorum	GCA_020570735.1	99.6	1007	98990	19798000
13684	Parastagonospora nodorum	GCA_020580155.1	99.6	1005	98710	19742000
13684	Parastagonospora nodorum	GCA_020569485.1	99.6	992	100264	20052800
13684	Parastagonospora nodorum	GCA_020571265.1	99.6	984	98955	19791000
13684	Parastagonospora nodorum	GCA_020572635.1	99.6	983	98515	19703000
13684	Parastagonospora nodorum	GCA_020574265.1	99.6	980	98497	19699400
13684	Parastagonospora nodorum	GCA_020568935.1	99.6	962	98999	19799800
13684	Parastagonospora nodorum	GCA_020574155.1	99.6	944	98894	19778800
13684	Parastagonospora nodorum	GCA_020569285.1	99.6	930	98959	19791800
13684	Parastagonospora nodorum	GCA_020575615.1	99.6	919	99114	19822800
13684	Parastagonospora nodorum	GCA_020568205.1	99.6	918	98777	19755400
13684	Parastagonospora nodorum	GCA_020578615.1	99.6	915	99059	19811800
13684	Parastagonospora nodorum	GCA_020580725.1	99.6	912	98789	19757800
13684	Parastagonospora nodorum	GCA_020580665.1	99.6	843	101138	20227600
13684	Parastagonospora nodorum	GCA_020574875.1	99.6	825	99057	19811400
13684	Parastagonospora nodorum	GCA_020579845.1	99.6	806	98901	19780200
13684	Parastagonospora nodorum	GCA_020574055.1	99.6	800	98806	19761200
13684	Parastagonospora nodorum	GCA_020573275.1	99.6	794	98978	19795600
13684	Parastagonospora nodorum	GCA_020578445.1	99.6	777	98499	19699800
13684	Parastagonospora nodorum	GCA_020575775.1	99.6	767	98552	19710400
13684	Parastagonospora nodorum	GCA_020569495.1	99.6	765	100201	20040200
13684	Parastagonospora nodorum	GCA_020572645.1	99.6	763	98482	19696400
13684	Parastagonospora nodorum	GCA_020569945.1	99.6	755	99004	19800800
13684	Parastagonospora nodorum	GCA_020574715.1	99.6	751	100459	20091800
13684	Parastagonospora nodorum	GCA_020570525.1	99.6	743	99003	19800600
13684	Parastagonospora nodorum	GCA_020573765.1	99.6	743	99268	19853600
13684	Parastagonospora nodorum	GCA_020575645.1	99.6	738	99357	19871400
13684	Parastagonospora nodorum	GCA_020580695.1	99.6	727	98639	19727800
13684	Parastagonospora nodorum	GCA_020580415.1	99.6	713	98527	19705400
13684	Parastagonospora nodorum	GCA_020581045.1	99.6	712	98403	19680600
13684	Parastagonospora nodorum	GCA_020578265.1	99.6	707	100677	20135400
13684	Parastagonospora nodorum	GCA_020571815.1	99.6	706	99136	19827200
13684	Parastagonospora nodorum	GCA_020572955.1	99.6	705	100170	20034000
13684	Parastagonospora nodorum	GCA_020580115.1	99.6	701	100306	20061200
13684	Parastagonospora nodorum	GCA_020568415.1	99.6	695	98854	19770800
13684	Parastagonospora nodorum	GCA_020572395.1	99.6	694	98512	19702400
13684	Parastagonospora nodorum	GCA_020578075.1	99.6	667	99056	19811200
13684	Parastagonospora nodorum	GCA_020576195.1	99.6	660	99070	19814000
13684	Parastagonospora nodorum	GCA_020577795.1	99.6	656	99007	19801400
13684	Parastagonospora nodorum	GCA_020570355.1	99.6	651	100362	20072400
13684	Parastagonospora nodorum	GCA_020580145.1	99.6	642	100320	20064000
13684	Parastagonospora nodorum	GCA_020577905.1	99.6	634	99106	19821200
13684	Parastagonospora nodorum	GCA_020578085.1	99.6	630	99131	19826200
13684	Parastagonospora nodorum	GCA_020575445.1	99.6	611	101395	20279000
13684	Parastagonospora nodorum	GCA_020577805.1	99.6	608	99113	19822600
13684	Parastagonospora nodorum	GCA_020577915.1	99.6	596	99072	19814400
13684	Parastagonospora nodorum	GCA_020578105.1	99.6	595	99108	19821600
13684	Parastagonospora nodorum	GCA_020578115.1	99.6	562	99105	19821000
13684	Parastagonospora nodorum	GCA_020577855.1	99.6	549	99051	19810200
13684	Parastagonospora nodorum	GCA_020574145.1	99.5	1206	99104	19820800
13684	Parastagonospora nodorum	GCA_020574085.1	99.5	1086	98903	19780600
13684	Parastagonospora nodorum	GCA_020572315.1	99.5	1083	99236	19847200
13684	Parastagonospora nodorum	GCA_020574825.1	99.5	1080	98771	19754200
13684	Parastagonospora nodorum	GCA_020575405.1	99.5	1072	99088	19817600
13684	Parastagonospora nodorum	GCA_020568465.1	99.5	1070	99378	19875600
13684	Parastagonospora nodorum	GCA_020574725.1	99.5	1070	98932	19786400
13684	Parastagonospora nodorum	GCA_020579815.1	99.5	1058	99158	19831600
13684	Parastagonospora nodorum	GCA_020568765.1	99.5	1032	98644	19728800
13684	Parastagonospora nodorum	GCA_020571895.1	99.5	1022	98989	19797800
13684	Parastagonospora nodorum	GCA_020569235.1	99.5	1014	98949	19789800
13684	Parastagonospora nodorum	GCA_020568635.1	99.5	1013	98676	19735200
13684	Parastagonospora nodorum	GCA_020570975.1	99.5	1011	99048	19809600
13684	Parastagonospora nodorum	GCA_020574295.1	99.5	1006	98424	19684800
13684	Parastagonospora nodorum	GCA_020579835.1	99.5	977	99179	19835800
13684	Parastagonospora nodorum	GCA_020569505.1	99.5	967	98717	19743400
13684	Parastagonospora nodorum	GCA_020568095.1	99.5	951	99208	19841600
13684	Parastagonospora nodorum	GCA_020569895.1	99.5	949	98964	19792800
13684	Parastagonospora nodorum	GCA_020573285.1	99.5	945	98980	19796000
13684	Parastagonospora nodorum	GCA_020573725.1	99.5	931	100297	20059400
13684	Parastagonospora nodorum	GCA_020576185.1	99.5	922	100780	20156000
13684	Parastagonospora nodorum	GCA_020572075.1	99.5	919	98989	19797800
13684	Parastagonospora nodorum	GCA_020567955.1	99.5	918	98904	19780800
13684	Parastagonospora nodorum	GCA_020572205.1	99.5	903	99208	19841600
13684	Parastagonospora nodorum	GCA_020570935.1	99.5	901	98505	19701000
13684	Parastagonospora nodorum	GCA_020571885.1	99.5	882	99142	19828400
13684	Parastagonospora nodorum	GCA_020575355.1	99.5	865	98833	19766600
13684	Parastagonospora nodorum	GCA_020580905.1	99.5	854	98935	19787000
13684	Parastagonospora nodorum	GCA_020557385.1	99.5	853	98985	19797000
13684	Parastagonospora nodorum	GCA_020569145.1	99.5	848	99160	19832000
13684	Parastagonospora nodorum	GCA_020571545.1	99.5	837	99002	19800400
13684	Parastagonospora nodorum	GCA_020573315.1	99.5	834	98532	19706400
13684	Parastagonospora nodorum	GCA_020574345.1	99.5	827	98782	19756400
13684	Parastagonospora nodorum	GCA_020580655.1	99.5	816	99198	19839600
13684	Parastagonospora nodorum	GCA_020575035.1	99.5	809	98767	19753400
13684	Parastagonospora nodorum	GCA_020575105.1	99.5	809	98853	19770600
13684	Parastagonospora nodorum	GCA_020573605.1	99.5	805	99008	19801600
13684	Parastagonospora nodorum	GCA_020575485.1	99.5	802	99743	19948600
13684	Parastagonospora nodorum	GCA_020568325.1	99.5	800	99009	19801800
13684	Parastagonospora nodorum	GCA_020574595.1	99.5	792	98920	19784000
13684	Parastagonospora nodorum	GCA_020569515.1	99.5	773	98635	19727000
13684	Parastagonospora nodorum	GCA_020575375.1	99.5	762	98715	19743000
13684	Parastagonospora nodorum	GCA_020568775.1	99.5	753	98799	19759800
13684	Parastagonospora nodorum	GCA_020575195.1	99.5	738	99165	19833000
13684	Parastagonospora nodorum	GCA_020578315.1	99.5	731	98670	19734000
13684	Parastagonospora nodorum	GCA_020578585.1	99.5	727	100458	20091600
13684	Parastagonospora nodorum	GCA_020580305.1	99.5	725	98545	19709000
13684	Parastagonospora nodorum	GCA_020573595.1	99.5	724	98716	19743200
13684	Parastagonospora nodorum	GCA_020568945.1	99.5	722	98967	19793400
13684	Parastagonospora nodorum	GCA_020573625.1	99.5	719	100100	20020000
13684	Parastagonospora nodorum	GCA_020579825.1	99.5	719	99803	19960600
13684	Parastagonospora nodorum	GCA_020571605.1	99.5	718	98842	19768400
13684	Parastagonospora nodorum	GCA_020578205.1	99.5	717	99679	19935800
13684	Parastagonospora nodorum	GCA_020581155.1	99.5	710	100562	20112400
13684	Parastagonospora nodorum	GCA_020574385.1	99.5	708	98705	19741000
13684	Parastagonospora nodorum	GCA_020573915.1	99.5	704	98728	19745600
13684	Parastagonospora nodorum	GCA_020581165.1	99.5	703	100720	20144000
13684	Parastagonospora nodorum	GCA_020572995.1	99.5	702	98764	19752800
13684	Parastagonospora nodorum	GCA_020571325.1	99.5	697	98977	19795400
13684	Parastagonospora nodorum	GCA_020580485.1	99.5	691	98692	19738400
13684	Parastagonospora nodorum	GCA_020570345.1	99.5	690	100472	20094400
13684	Parastagonospora nodorum	GCA_020580425.1	99.5	688	98372	19674400
13684	Parastagonospora nodorum	GCA_020580075.1	99.5	687	98628	19725600
13684	Parastagonospora nodorum	GCA_020580085.1	99.5	673	98603	19720600
13684	Parastagonospora nodorum	GCA_020574755.1	99.5	671	100336	20067200
13684	Parastagonospora nodorum	GCA_020568045.1	99.5	670	100598	20119600
13684	Parastagonospora nodorum	GCA_020570015.1	99.5	668	100449	20089800
13684	Parastagonospora nodorum	GCA_020571575.1	99.5	666	98981	19796200
13684	Parastagonospora nodorum	GCA_020568705.1	99.5	657	99432	19886400
13684	Parastagonospora nodorum	GCA_020579855.1	99.5	647	98718	19743600
13684	Parastagonospora nodorum	GCA_020575285.1	99.5	636	100599	20119800
13684	Parastagonospora nodorum	GCA_020578515.1	99.5	622	99178	19835600
13684	Parastagonospora nodorum	GCA_020568055.1	99.5	609	100910	20182000
13684	Parastagonospora nodorum	GCA_020576365.1	99.5	587	99096	19819200
13684	Parastagonospora nodorum	GCA_020570635.1	99.5	583	99776	19955200
13684	Parastagonospora nodorum	GCA_020572985.1	99.5	583	98413	19682600
13684	Parastagonospora nodorum	GCA_020578095.1	99.5	577	99066	19813200
13684	Parastagonospora nodorum	GCA_020581275.1	99.5	562	99683	19936600
13684	Parastagonospora nodorum	GCA_020575955.1	99.5	561	100432	20086400
13684	Parastagonospora nodorum	GCA_020573495.1	99.5	549	100476	20095200
13684	Parastagonospora nodorum	GCA_020580775.1	99.5	545	100326	20065200
13684	Parastagonospora nodorum	GCA_020575975.1	99.5	540	101035	20207000
13684	Parastagonospora nodorum	GCA_020572675.1	99.5	469	100157	20031400
13684	Parastagonospora nodorum	GCA_020574375.1	99.4	1018	98720	19744000
13684	Parastagonospora nodorum	GCA_020578295.1	99.4	995	98592	19718400
13684	Parastagonospora nodorum	GCA_020574365.1	99.4	718	98939	19787800
13684	Parastagonospora nodorum	GCA_020574115.1	99.4	712	98742	19748400
13684	Parastagonospora nodorum	GCA_020572305.1	99.4	664	99140	19828000
13684	Parastagonospora nodorum	GCA_020575995.1	99.3	719	100844	20168800
13684	Parastagonospora nodorum	GCA_020574615.1	99.3	597	100001	20000200
13684	Parastagonospora nodorum	GCA_016801405.1	99.0	1683	98297	19659400
13684	Parastagonospora nodorum	GCA_000146915.2	92.6	1045	88781	17756200
13684	Parastagonospora nodorum	GCF_000146915.1	92.6	1045	88781	17756200
1408161	Plenodomus tracheiphilus IPT5	GCA_010093695.1	99.3	533	85517	17103400
1432307	Sclerotinia borealis F-4128	GCA_000503235.1	97.3	131	76382	15276400
143451	Plasmopara viticola	GCA_055472655.1		964	0	0
1445577	Colletotrichum fioriniae PJ7	GCA_000582985.1	98.8	137	99917	19983400
1445577	Colletotrichum fioriniae PJ7	GCF_000582985.1	98.8	137	99917	19983400
145971	Colletotrichum lupini	GCA_023278565.1	98.6	7872	123753	24750600
145971	Colletotrichum lupini	GCF_023278565.1	98.6	7872	123726	24745200
1460502	Colletotrichum nymphaeae SA-01	GCA_001563115.1	97.7	91	102080	20416000
148305	Pyricularia grisea	GCA_024704025.1	99.0	112	81700	16340000
148305	Pyricularia grisea	GCA_024704135.1	98.7	93	79873	15974600
148305	Pyricularia grisea	GCA_004355905.1	98.6	5912	82457	16491400
148305	Pyricularia grisea	GCF_004355905.1	98.6	5912	82457	16491400
1500509	Colletotrichum somersetense	GCA_030867255.1	99.5	180	92034	18406800
153609	Moniliophthora perniciosa	GCA_000183025.1	11.7	1	34807	6961400
156630	Alternaria arborescens	GCA_004154815.1	99.1	528	88156	17631200
156630	Alternaria arborescens	GCA_004155955.1	99.0	685	87983	17596600
156630	Alternaria arborescens	GCA_004154835.1	98.9	863	88332	17666400
156630	Alternaria arborescens	GCF_004154835.1	98.9	863	88332	17666400
1567539	Fusarium coicis	GCA_013781345.1	97.4	83	101598	20319600
1567541	Fusarium mundagurra	GCA_013396205.1	97.6	113	114676	22935200
1567544	Fusarium tjaetaba	GCA_013396195.1	98.3	152	105737	21147400
1567544	Fusarium tjaetaba	GCF_013396195.1	98.3	152	105737	21147400
1573173	Colletotrichum incanum	GCA_001855235.1	97.4	293	84270	16854000
1573173	Colletotrichum incanum	GCA_001625285.1	93.4	177	94019	18803800
1578925	Pyricularia pennisetigena	GCA_004337985.1	98.8	5438	78877	15775400
1578925	Pyricularia pennisetigena	GCF_004337985.1	98.8	5438	78878	15775600
1585795	Colletotrichum lentis	GCA_003386485.1		4891	0	0
160389	Alternaria longipes	GCA_019059555.1		3599	0	0
164328	Phytophthora ramorum	GCA_046861995.1	100.0	4885	100847	20169400
164328	Phytophthora ramorum	GCA_020800235.2	100.0	4654	100328	20065600
164328	Phytophthora ramorum	GCA_046862035.1	100.0	4401	101012	20202400
164328	Phytophthora ramorum	GCA_046861845.1	99.0	4670	101359	20271800
164328	Phytophthora ramorum	GCA_020800215.2	99.0	4519	101316	20263200
164328	Phytophthora ramorum	GCA_020800215.1	99.0	3612	101498	20299600
164328	Phytophthora ramorum	GCF_020800215.1	99.0	3612	101498	20299600
1671311	Colletotrichum abscissum	GCA_030869225.1	99.5	963	108274	21654800
1671311	Colletotrichum abscissum	GCF_030869225.1	99.5	963	108252	21650400
1671311	Colletotrichum abscissum	GCA_023376855.1	99.3	322	104989	20997800
1678846	Alternaria sp. MG1	GCA_003574525.1	94.8	1662	88174	17634800
169388	Fusarium solani	GCA_027945525.1	99.6	561	117445	23489000
170000	Phakopsora pachyrhizi	GCA_943846425.1	91.1	279	67210	13442000
170000	Phakopsora pachyrhizi	GCA_025201825.1	89.7	222	66713	13342600
1715230	Fusarium cf. solani	GCA_057675865.1	99.4	604	105345	21069000
1715230	Fusarium cf. solani	GCA_057675645.1	99.4	548	105256	21051200
1715230	Fusarium cf. solani	GCA_057675685.1	99.3	582	100045	20009000
1715230	Fusarium cf. solani	GCA_057675845.1	99.3	352	102010	20402000
1715230	Fusarium cf. solani	GCA_057675945.1	99.2	377	101002	20200400
1715230	Fusarium cf. solani	GCA_057675765.1	98.8	559	99213	19842600
1715230	Fusarium cf. solani	GCA_057675785.1	98.6	570	97244	19448800
1715230	Fusarium cf. solani	GCA_057675705.1	98.6	398	97123	19424600
1715230	Fusarium cf. solani	GCA_057674555.1	98.4	436	90947	18189400
1715230	Fusarium cf. solani	GCA_057674545.1	98.1	353	91739	18347800
1715230	Fusarium cf. solani	GCA_057675965.1	97.6	421	88653	17730600
1715230	Fusarium cf. solani	GCA_057674765.1	96.1	781	92193	18438600
1715230	Fusarium cf. solani	GCA_057675065.1	94.4	825	89737	17947400
1715230	Fusarium cf. solani	GCA_057675825.1	88.4	553	77839	15567800
176275	Beauveria bassiana	GCA_000280675.1	99.2	730	75800	15160000
176275	Beauveria bassiana	GCF_000280675.1	99.2	730	75800	15160000
176275	Beauveria bassiana	GCA_053540785.1	98.7	118	71756	14351200
176275	Beauveria bassiana	GCA_053540805.1	98.7	94	71677	14335400
176275	Beauveria bassiana	GCA_053540765.1	98.7	81	70531	14106200
179993	Fusarium langsethiae	GCA_022180345.1	99.3	79	86460	17292000
179993	Fusarium langsethiae	GCA_022180325.1	99.3	76	87341	17468200
179993	Fusarium langsethiae	GCA_001292635.1	98.9	87	87171	17434200
1803897	Fusarium agapanthi	GCA_001654555.2	97.5	43	96054	19210800
181014	Alternaria ethzedia	GCA_023757985.1	96.6	864	79970	15994000
