BioSample	BioProject	SRAStudy	Run	mode	tissue	geo_loc_name	collection_date	lat_lon	bs_host	isolation_source	dev_stage	n_runs	co_infection_flag	same_genus_secondary	library_organism	library_detected	stat_pathogens	stat_hosts	n_pathogens	interaction_status	host_pct	analyzed	named_host	named_host_source	treatment	treatment_keywords	study_setting	setting_keywords	title	description	abstract	primary_pmid	primary_pub_date	primary_publication	n_papers_found	pmid_source	bp_submission_date
SAMN19691763	PRJNA737338	SRP323917	SRR14803606	hal	Fruit							1	multi_species	False	Cucumis melo	True	Tobacco ringspot virus:13.6%	Cucumis melo:50.6%; Cucumis sativus:0.4%	1	known	68.17	25873132	Cucumis melo	abstract	host_study	fruit development|developmental stage	field	farm	RNA-seq data of melon leaves and fruits at multiple developmental stages	cDNA libraries of Melon leaves and fruits at the different stage Overall design: RNA sequencing using14-day-old leves (cultiver: F39) and fruits harvested at 20-25 days, 30-35 days, 40 and 45 days after flowering (cultiver: F39 and TTDV ). Grant ID: USDA-NIFA-SCRI-2017-51181-26834 Grant title: TABLE TO FARM: A SUSTAINABLE, SYSTEMS-BASED APPROACH FOR A SAFER AND HEALTHIER MELON SUPPLY CHAIN IN THE U.S. Name of funding source: National Institute of Food and Agriculture	Melon (Cucumis melo L.) is an important diploid crop with a wide variety of flavors due to its distinct aromatic volatile organic compounds (VOC). To understand the development of VOC profiles during fruit development, we performed metabolomic and transcriptomic analysis of two cantaloupe varieties over the course of fruit development. A total of 130 metabolites were detected in fruit samples, and 449014207 reads were mapped to the melon genome. A total of 4469 differentially expressed genes in fruits were identified and used to visualize the transition of VOC and transcriptomic profiles during the fruit development. A shift of VOC profiles in both varieties was observed from early-fruit profiles enriched in C5-C8 lipid-derived VOCs to late-fruit profiles abundant in C9 lipid-derived VOCs, apocarotenoids, and esters. The shift coincided with the expression of specific isoforms of lipid and carotenoid metabolizing enzymes as well as transcription factors involved in fruit ripening, metabolite regulation, and hormone signaling.	33568307	2020-12-25	[33568307] Transition of aromatic volatile and transcriptome profiles during melon fruit ripening.	1	BioProject XML	2021-06-14
SAMN32578746	PRJNA918399	SRP415840	SRR22973810	hal								1	multi_species	False	Triticum aestivum	False	Zymoseptoria tritici:5.8%	Triticinae:65.7%; Triticum:36.6%; Aegilops tauschii subsp. strangulata:0.3%	1	known	74.94	37454191	Triticum aestivum	abstract	host_study	transcriptome assembly	lab	mutant|glasshouse|days post inoculation|inoculated|overexpression|inoculation|in vitro	Combined pangenomics and transcriptomics reveals core and redundant virulence processes in a rapidly evolving fungal plant pathogen	Background: Studying genomic variation in rapidly evolving pathogens potentially enables definition of genes supporting their “core biology” present, functional and expressed by all strains or “flexible biology”, varying between strains. Genes supporting flexible biology may be considered to be “accessory”, whilst the “core” gene set is likely to be important for common features of a pathogen species biology, including virulence on all host genotypes. The wheat-pathogenic fungus Zymoseptoria tritici represents one of the most rapidly evolving threats to global food security and was the focus of this study. Results:We constructed a pangenome of 18 European field isolates, with 12 also subjected to RNAseq transcription profiling during infection. Combining this data, we predicted a “core” gene set comprising 9807 sequences which were; (1) present in all isolates; (2) lacking inactivating polymorphisms ; and (3) expressed by all isolates. A large accessory genome, consisting of 45% of the total genes was also defined. We classified genetic and genomic polymorphism at both chromosomal and individual gene scales. Proteins required for essential functions including virulence, had lower-than average sequence variability amongst core genes. Both core and accessory genomes encoded many small, secreted candidate effector proteins that likely interact with plant immunity. Viral vector-mediated transient in planta overexpression of 88 candidates failed to identify any which induced leaf necrosis characteristic of disease. However, functional complementation of a non-pathogenic deletion mutant lacking five core genes, demonstrated that full virulence was restored by re-introduction of the single gene exhibiting least sequence polymorphism and highest expression. Conclusions:These data support the combined use of pangenomics and transcriptomics for defining genes which represent core, and potentially exploitable, weaknesses in rapidly evolving pathogens. Overall design: Z.tritici expression in vitro and in planta (at 6 and 9 days post infection)	"Studying genomic variation in rapidly evolving pathogens potentially enables identification of genes supporting their ""core biology"", being present, functional and expressed by all strains or ""flexible biology"", varying between strains. Genes supporting flexible biology may be considered to be ""accessory"", whilst the ""core"" gene set is likely to be important for common features of a pathogen species biology, including virulence on all host genotypes. The wheat-pathogenic fungus Zymoseptoria tritici represents one of the most rapidly evolving threats to global food security and was the focus of this study."	36747219	2023-02-06	[36747219] Combined pangenomics and transcriptomics reveals core and redundant virulence processes in a rapidly evolving fungal plant pathogen.	1	BioProject XML	2023-01-04
SAMN22314538	PRJNA771518	SRP341525	SRR16351741	hal	root	China: Hebei Province, Baoding city						1	multi_species	False	Zea mays	True	Fusarium verticillioides 7600:1.4%	Zea mays:5.1%	1	known	5.71	24165028	Zea mays	title	abiotic_stress	drought stress	field	geo_loc_name	Epigenetic study on DNA methylation involved in regulating maize response to drought stress	We used RNA-Seq to assess the level of drought-induced changes to methylation patters in maize roots of two contrasting maize inbred lines at the seedling stage subjected to well-watered, drought-stress and DNA methylation inhibitor treatment.					0	none	2021-10-15
SAMN15920897	PRJNA659604	SRP278972	SRR12532038	hal	leaf	China: Fuzhou, Fujian Agriculture and Forestry University, Joint FAFU-Dalhousie Lab	2017-10-13				seedling stage with five fully expanded leaves	1	multi_species	False	Solanum tuberosum	True	Potato virus Y:22.3%	Solaneae:65.1%; Solanum tuberosum:44.3%; Solanum subgen. Lycopersicon:3.5%; Solanum pennellii:0.7%; Solanum lycopersicum:0.5%; Arabidopsis thaliana:0.2%; Nicotianoideae:0.1%	1	known	70.8	22437490	Solanum tuberosum	title	single		field	geo_loc_name	Solanum tuberosum Transcriptome or Gene expression	Total RNA was extracted from potato seedlings treated by 1% Phosphite(Phi) application and without Phi for 0, 6, 24, 48, 72 and 96 h, respectively, using Trizol Reagent (Invitrogen, USA) according to the manufacturers instructions.					0	none	2020-08-27
SAMN07833709	PRJNA415716	SRP121407	SRR6215493	hal								1	multi_species	False	Triticum aestivum	True	Zymoseptoria tritici:4.5%	Triticinae:47.2%; Triticum:23.8%; Triticum aestivum:3.3%; Triticum dicoccoides:0.9%; Aegilops tauschii subsp. strangulata:0.1%	1	known	59.9	107721392	Triticum aestivum	title	host_study	developmental stage	lab	inoculated|growth chamber|inoculation	Transcriptome analyses of three Zymoseptoria tritici isolates during infection of Triticum aestivum	We collected infected wheat leaf material at up to nine time points per Z. tritici isolate and conducted confocal microscopy analyses to select samples for RNA extraction and transcriptome sequencing based on the morphological infection stage. Thereby, we generated stage-specific RNA-seq datasets corresponding to the four core infection stages allowing us to compare the isolate-specific expression profiles at the same developmental stage of infection. Our final dataset comprises four stage-specific transcriptomes per isolate with two biological replicates per sample. Comparative transcriptome analyses reveal that the expression phenotypes of the three isolates differ significantly. Overall design: Comparative analyses of stage-specific and isolate-specific expression profiles of three Z. tritici isolates	Many filamentous plant pathogens exhibit high levels of genomic variability, yet the impact of this variation on host-pathogen interactions is largely unknown. We have addressed host specialization in the wheat pathogen	30680113	2018-12-26	[30680113] Highly flexible infection programs in a specialized wheat pathogen.	4	BioProject XML	2017-10-25
SAMN37306196	PRJNA1013591	SRP458900	SRR25933703	hal	Inflorescence apices (apical stem + meristem + youngest flower buds)	missing	missing					1	multi_species	False	Arabidopsis thaliana	True	Pseudomonas aeruginosa:0.3%	Arabidopsis thaliana:29.7%	1	known	42.56	11356689	Arabidopsis thaliana	desc	single		lab	mutant|wild type|inoculated|transgenic|rna interference|inoculation|rnai	Salicylic acid and RNA interference mediate antiviral immunity of plant stem cells (Previous preprint title: A hormone-activated mobile RNAi pathway defends plant stem cells from virus infection)	Study on the role of Arabidopsis thaliana RDR1 and other RNAi factors in the exclusion of RNA viruses from the shoot apical meristem stem cells Overall design: WT and rdr1-1 Arabidopsis plants (Col-0 ecotype) were inoculated with TuMV-6K2:Scarlet at approx. 3.5 weeks of age. Mock inoculation with buffer only was performed as control. 16 days after inoculation, inflorescences from systemically infected flowers (terminal 1mm apex, inflorescence meristem and flower buds <1mm diameter) were harvested. Each sample (biological replicate) consists of tissue from five plants. Two biological replicates per genotype/condition were harvested. RNA was extracted with standard Trizol protocol.	Stem cells are essential for the development and organ regeneration of multicellular organisms, so their infection by pathogenic viruses must be prevented. Accordingly, mammalian stem cells are highly resistant to viral infection due to dedicated antiviral pathways including RNA interference (RNAi). In plants, a small group of stem cells harbored within the shoot apical meristem generate all postembryonic above-ground tissues, including the germline cells. Many viruses do not proliferate in these cells, yet the molecular bases of this exclusion remain only partially understood. Here, we show that a plant-encoded RNA-dependent RNA polymerase, after activation by the plant hormone salicylic acid, amplifies antiviral RNAi in infected tissues. This provides stem cells with RNA-based virus sequence information, which prevents virus proliferation. Furthermore, we find RNAi to be necessary for stem cell exclusion of several unrelated RNA viruses, despite their ability to efficiently suppress RNAi in the rest of the plant. This work elucidates a molecular pathway of great biological and economic relevance and lays the foundations for our future understanding of the unique systems underlying stem cell immunity.	37824524	2023-10-12	[37824524] Salicylic acid and RNA interference mediate antiviral immunity of plant stem cells.	1	BioProject XML	2023-09-06
SAMN12727056	PRJNA564947	SRP221340	SRR10098209	hal	4th and 5th true leaves							1	multi_species	False	Nicotiana benthamiana	False	Pothos latent virus:3.8%	Nicotianeae:61.1%; Nicotiana attenuata:9.4%; Nicotiana sylvestris:0.5%	1	known	64.94	37317698	Pisum sativum	title	single		unclear		Disruption of nonsense-mediated decay by the multifunctional long-distance movement protein of Pea enation mosaic virus 2	Nonsense-mediated decay (NMD) is an RNA regulatory pathway that degrades both natural and faulty messenger RNAs with long 3’ untranslated regions. NMD targets diverse families of RNA viruses, forcing viruses to counteract the NMD pathway for successful amplification in host cells. Using a transcriptome-wide approach in the model plant Nicotiana benthamiana, We report that the Pea enation mosaic virus 2 long-distance movement protein, p26, protects a subset of natural cellular NMD-target transcripts, particularly those containing long, structured, GC-rich 3’ UTRs. Furthermore, RNA-seq revealed that the NMD pathway is highly dysfunctional during PEMV2 infection, with nearly half of NMD-targets increasing in abundance. Widespread changes in host transcriptomes are common during RNA virus infections and these results suggest that virus-mediated NMD-inhibition may be a major contributing factor. Overall design: Identified differentially expressed transcripts in Nicotiana benthamiana in the presence of an NMD inhibitor, p26 over-expression, and PEMV2 infection	The nonsense-mediated decay (NMD) pathway presents a challenge for RNA viruses with termination codons that precede extended 3' untranslated regions (UTRs). The umbravirus	32156817	2020-03-10	[32156817] The Multifunctional Long-Distance Movement Protein of	1	BioProject XML	2019-09-11
SAMN51234599	PRJNA1321556	SRP618743	SRR35321448	hal	shoot	China: Fujian	2021-01-20				not applicable	1	multi_species	False	Cunninghamia lanceolata	False	Bipolaris oryzae:1.3%	Conifers II:25.2%; Magnoliopsida:0.1%	1	novel_host_range	25.6	16842406	Cunninghamia lanceolata	title	single		lab	inoculated|inoculation	Transcriptome Analysis of the Pathogenic Mechanism of the Novel Pathogenic Fungus Bipolaris fujianensis in Chinese Fir (Cunninghamia lanceolata) Shoot Blight.	Bipolaris fujianensis is a newly identified plant pathogenic fungus that causes severe needle blight on Chinese fir (Cunninghamia lanceolata), leading to significant economic losses in southern China. To understand the molecular basis of its pathogenicity, we performed high-throughput RNA sequencing on mycelium grown under two conditions: potato dextrose agar (control) and Chinese fir shoots (infection). A total of 20 RNA-seq libraries were constructed and sequenced on an Illumina NovaSeq 6000 platform. The generated transcriptome data will be used to identify differentially expressed genes, predict secreted effectors, and annotate secondary metabolite clusters. This study will provide valuable genomic resources for further functional studies and potential disease management strategies against B. fujianensis.	Bipolaris fujianensis is a novel pathogenic species causing Chinese fir (Cunninghamia lanceolata) shoot blight (CFSB), first discovered in Nanping City, Fujian Province. However, its molecular pathogenic mechanisms remain largely unknown. Elucidating theses mechanisms has the potential of aiding future developments in disease management and resistance breeding in Chinese fir. In this regard, we examined the expression pattern of B. fujianensis grown on PDA (BGPDA), and during infection of Chinese fir at 24 h (BGCF-E), 48 h (BGCF-M), and 5 d (BGCF-L) post inoculation. Comparative transcriptome analysis identified 4133 differentially expressed genes (DEGs), including 1778 upregulated and 2355 downregulated in BGCF compared with BGPDA. During the infection process, Gene ontology (GO) enrichment analysis indicated that transporters and hydrolases in the molecular function categories play essential roles. Kyoto encyclopedia of genes and genomes (KEGG) analyses showed glycolysis/gluconeogenesis, carbon metabolism, and secondary metabolite biosynthesis were the major enriched pathways. Furthermore, this pathogen could produce diterpenoid toxin ophiobolin F, with cytochrome P450 and MFS transport proteins likely involved in its biosynthesis and transport predicted by RT-qPCR.	41300280	2025-10-24	[41300280] Transcriptome Analysis of the Pathogenic Mechanism of the Novel Pathogenic Fungus	1	PMC full-text	2025-09-09
SAMN09372035	PRJNA473829	SRP149815	SRR7266079	hal	Leaf	not applicable				Davis Navel	NA	1	multi_species	False	Arabidopsis thaliana	True	Botrytis cinerea:4.1%	Arabidopsis thaliana:6.8%	1	known	9.62	976186	Arabidopsis thaliana	abstract	single		lab	mutant|inoculated|detached leaf|inoculation	Plastic Transcriptomes Stabilize Immunity to Pathogen Diversity	Network based analysis of transcriptomic responses in Arabidopsis and 96 diverse B. cinerea isolates during plant and pathogen interaction	A central goal of studying host-pathogen interaction is to understand how host and pathogen manipulate each other to promote their own fitness in a pathosystem. Co-transcriptomic approaches can simultaneously analyze dual transcriptomes during infection and provide a systematic map of the cross-kingdom communication between two species. Here we used the Arabidopsis-	31081752	2019-05-13	[31081752] Plant-necrotroph co-transcriptome networks illuminate a metabolic battlefield.	2	PMC full-text	2018-05-30
SAMN53546070	PRJNA1217477	SRP561190	SRR36292480	hal	Leaf	USA: California, Davis	2024-08-16			Cucumis sativus and Botrytis cinerea	Nonjuvenile fully developed leaves	1	multi_species	False	Cucumis sativus	True	Botrytis cinerea:11.0%	Cucumis sativus:52.1%	1	known	60.87	30503900			single		field	geo_loc_name	A multiplant transcriptomic atlas reveals conserved and lineage-specific defense architectures in response to Botrytis cinerea.	Co-transcriptome of eudicots and Botrytis cinerea 72 isolates along with controls.	Generalist pathogens pose a challenge to plant immunity by infecting diverse hosts while harboring extensive intraspecific genetic variation. Whether evolutionary distant plant lineages rely on a shared immune strategy or deploy distinct, lineage-specific defenses when confronted by these genetically variable members of the same pathogen species remains unresolved. Here, we employed a large-scale cotranscriptomic approach to map the immune landscape of 10 diverse eudicot species infected with 72 genetically distinct Botrytis cinerea isolates. We identified a limited core of evolutionarily conserved defense orthologs, along with a vast landscape of lineage-dependent regulatory genes. Host shared the broad physiological outcome such as metabolic reprogramming, cell wall modification, and suppression of growth-associated processes, yet the regulatory pathways associated with these responses were largely lineage-dependent. Crucially, this immune landscape is dynamically shaped by pathogen diversity. Nearly three-quarters of host transcriptional responses were isolate dependent, with the magnitude of transcriptional reprogramming defined by specific host-isolate combinations rather than a universal species-level response. Even host transcriptional responses correlated with shared virulence factors, including broadly expressed pathogens phytotoxins, were lineage specific. These findings suggest that plant immunity to generalist pathogens is built on conserved physiological outcomes that appear to occur by evolving lineage-dependent regulatory mechanisms. The causal relationship between these lineage-dependent components and the conserved outcomes require further mechanistic investigation. This distinct regulatory architecture creates an immune landscape heavily modulated by specific host-isolate combinations, highlighting the necessity of integrating pathogen diversity into models of plant defense evolution and resistance breeding.	42090259	2026-05-06	[42090259] A multiplant transcriptomic atlas reveals conserved and lineage-specific defense architectures in response to	3	PMC full-text	
SAMN09372941	PRJNA473829	SRP149815	SRR7267157	hal	Leaf	not applicable				1.01.02	NA	1	multi_species	False	Arabidopsis thaliana	True	Botrytis cinerea:3.1%	Arabidopsis thaliana:25.4%	1	known	30.97	211306	Arabidopsis thaliana	abstract	single		lab	mutant|inoculated|detached leaf|inoculation	Plastic Transcriptomes Stabilize Immunity to Pathogen Diversity	Network based analysis of transcriptomic responses in Arabidopsis and 96 diverse B. cinerea isolates during plant and pathogen interaction	A central goal of studying host-pathogen interaction is to understand how host and pathogen manipulate each other to promote their own fitness in a pathosystem. Co-transcriptomic approaches can simultaneously analyze dual transcriptomes during infection and provide a systematic map of the cross-kingdom communication between two species. Here we used the Arabidopsis-	31081752	2019-05-13	[31081752] Plant-necrotroph co-transcriptome networks illuminate a metabolic battlefield.	2	PMC full-text	2018-05-30
SAMEA117982948	PRJEB88178	ERP171315	ERR14835929	hal								1	multi_species	False	Arabidopsis thaliana	True	Sclerotinia sclerotiorum:52.2%	Arabidopsis thaliana:16.5%; Arabidopsis lyrata:0.2%	1	known	22.84	27656071	Arabidopsis thaliana	title	single		lab	mutant|inoculated|inoculation	Global transcriptome of Arabidopsis plants (Col-0, Rld2 and Shahdara genotypes) inoculated by the fungal pathogen Sclerotinia sclerotiorum following temperate, mediterranean and continental acclimation	The short-term, reversible process that allows plants to cope with immediate environmental fluctuations is often referred to as acclimation. Plant acclimation help maintain the balance of natural systems, supporting biodiversity and the services that ecosystems provide, such as carbon sequestration and water regulation. With climate change modifying the distribution area of plants and causing more frequent and severe weather events, knowledge of how plants acclimate can inform strategies to manage ecosystems and agriculture. Analyses of plant immune responses under abiotic constraints generally focus on pathogen inoculation under prolonged and stable abiotic conditions. Daily fluctuations of the environment may alter plant metabolism, growth and flowering as well as gene regulation and invasive growth of fungal pathogens. Yet, how plant immunity acclimates to daily temperature fluctuations remains largely unexplored. To study the molecular bases of quantitative disease resistance acclimation, we performed a global transcriptome analysis of Arabidopsis thaliana accessions Col-0, Rld-2 and Sha grown in temperate, continental and Mediterranean climates, followed or not by Sclerotinia sclerotiorum inoculation.	Acclimation enables plants to adjust to immediate environmental fluctuations and is therefore key to the resilience of plant disease resistance in a time of climate change. Here, we report on the acclimation of Arabidopsis thaliana quantitative immune responses against the fungal pathogen Sclerotinia sclerotiorum to daily environmental fluctuations. We analyzed disease resistance phenotypes and global gene expression in plants grown in three acclimation regimes, revealing the rewiring of regulatory networks during this process. We identified pathogen-induced genes weakly sensitive to acclimation as promising bases for acclimation-proof immunity. Fluctuations in Mediterranean-like acclimation resulted in an increased disease susceptibility and the misregulation of many pathogen-responsive genes. We identified A. thaliana mutants in novel immune components contributing positively to quantitative disease resistance following temperate but not Mediterranean acclimation. Quantitative disease resistance was maintained under Mediterranean acclimation in NAC42-like mutants and associated with a switch in the repertoire of pathogen-responsive targets of this transcription factor. Our work reveals the role of immune gene networks' plasticity in acclimation and suggests new strategies to maintain plant immune function in a warming climate.	41793146	2026-03-07	[41793146] Arabidopsis acclimation to daily environmental fluctuations converts a defense response regulator into a susceptibility factor toward Sclerotinia.	1	BioProject XML	2025-04-12
SAMN10574289	PRJNA509214	SRP173230	SRR8309970	hal	whole head							1	multi_species	False	Triticum aestivum	False	Fusarium graminearum:1.1%	Aegilops tauschii subsp. tauschii:55.5%	1	known	60.81	17727722	Triticum aestivum	title	single		lab	days post inoculation|inoculated|growth chamber|inoculation	Characterization of QTL and eQTL linked with early Fusarium graminearum infection and deoxynivalenol levels in a Wuhan -1 x Nyubai doubled-haploid wheat population at two days post inoculation	In this study, early infection by F. graminearum was characterized in a doubled-haploid population derived from the cross of the moderately FHB resistant wheat genotypes Wuhan 1 and Nyubai. Three significant QTL were identified: 1AL was associated with reduced deoxynivalenol levels, and 4BS and 5A were associated with reduced F. graminearum levels at 2 days after infection. The early resistance alleles for 1AL and 4BS were inherited from Wuhan 1, and those for the 5A QTL were inherited from Nyubai. The LOD support interval for the 5A QTL was in the same region as FHB5, a QTL previously associated with field resistance to FHB. Cis and trans eQTL were identified using RNA sequencing data from infected head samples. In total, 240 cis eQTL and 17,401 trans eQTL were identified within LOD support intervals for the three QTL. Hotspots for trans eQTL were identified within LOD support intervals for the 1AL and 4BS QTL. Differential gene expression analysis revealed twenty genes with cis eQTL within one of the 3 QTL support intervals, that had higher expression associated with FHB early resistance, and 17 genes with higher expression associated with FHB early susceptibility. Among those, genes with a cis eQTL peak coinciding with QTL peaks were enriched in functions related to signaling and protein-protein interaction, including NBS-LRR, BAH, LRR/F-box and TPR domain-containing proteins. Several genes located within one of the three QTL support intervals also had a trans eQTL with a peak at the same position as QTL peaks on other chromosomes, suggesting interactions between the QTL. Overall design: In this study, we have analyzed RNA-seq and genotype (SRR, SNP) data in two parent genotypes with moderate resistance to F. graminearum and 81 DH lines obtained by crossing the two parents at 2 dpi	Fusarium head blight (FHB) is a major disease of cereal crops, caused by the fungal pathogen Fusarium graminearum and related species. Breeding wheat for FHB resistance contributes to increase yields and grain quality and to reduce the use of fungicides. The identification of genes and markers for FHB resistance in different wheat genotypes has nevertheless proven challenging.	31795937	2019-12-03	[31795937] Characterization of QTL and eQTL controlling early Fusarium graminearum infection and deoxynivalenol levels in a Wuhan 1 x Nyubai doubled haploid wheat population.	2	BioProject XML	2018-12-10
SAMN44790372	PRJNA1187339	SRP546614	SRR31419597	hal	root	not collected	not collected				not collected	1	multi_species	False	Oryza sativa	True	Fusarium verticillioides:2.8%	Oryzoideae:26.2%; Oryza sativa:8.3%	1	known	26.9	33807880	Oryza sativa	title	single		field	geo_loc_name	Oryza sativa L. Transcriptome	To elucidate the mechanisms underlying the growth-promoting effects of F. nematophilum, we conducted detailed transcriptomic analyses on rice root samples infected with Fn1 and Fn10 at 7 and 14 dpi, alongside non-infected controls.					0	none	2024-11-18
SAMN32949567	PRJNA929034	SRP419852	SRR23261144	hal	seedlings	missing	missing					2	multi_species	False	Arabidopsis thaliana	True	Pseudomonas aeruginosa:1.9%	Arabidopsis thaliana:23.7%	1	known	43.33	9988762	Arabidopsis thaliana	abstract	abiotic_stress	abiotic stress|heat stress	lab	mutant|wild type|transgenic|wild-type|in vitro	Heat shock response and transposon control in plant shoot stem cells [RNA-seq]	Post-embryonic plant development must be coordinated in response to and with environmental feedback. Development of above-ground organs is orchestrated from stem cells in the center of the shoot apical meristem (SAM). Heat can pose significant abiotic stress to plants and induce a rapid heat shock response, developmental alterations, chromatin decondensation, and activation of transposable elements (TEs). However, most plant heat-stress studies are conducted with seedlings, and we know very little about cell-type-specific responses. Here we use fluorescent-activated nuclear sorting to isolate and characterize stem cells of wild type and mutants defective in TE defense and chromatin compaction after heat shock and after a long recovery. Our results indicate that stem cells can suppress heat shock response pathways to maintain developmental programs. Furthermore, mutants defective in DNA methylation fail to recover efficiently from heat stress and persistently activate heat shock factors and heat-inducible TEs. Heat stress also induces DNA methylation epimutations, especially in the CHG context, and we find hundreds of DNA methylation changes three weeks after stress. Our results underline the importance of disentangling cell type-specific environmental responses for understanding plant development. Overall design: Six-day old wt, poliv and, ddm1 plants were exposed to 37 celsius degree for 1 day (D7), then plants were transferred to soil to grow for 21 more days (D28). The plants stem cell nuclei and seedlings at D7 as well as stem cell nuclei and inflorescence apices at D28 were collected for mRNA-seq.	Plants have an impressive repertoire to react to stress conditions that limit regular growth. Elevated temperatures beyond the optimal range cause rapid and specific transcriptional responses, resulting in developmental alterations and plasticity. Heat stress also causes chromatin decondensation and activation of some transposable elements (TEs), endangering genomic integrity. This is especially risky for stem cells in the shoot apical meristem (SAM) that potentially contribute to the next generation. We examined how the heat stress response in SAM stem cells of Arabidopsis (Arabidopsis thaliana) is different from that in other tissues and whether the elements of epigenetic TE control active in the meristem are involved in specific heat protection of stem cells. Using fluorescence-activated nuclear sorting to isolate and characterize SAM stem cells after exposure to conditions that activate a heat-responsive TE, we found that SAM stem cells maintain their developmental program and suppress the heat-response pathways dominating in surrounding somatic cells. Furthermore, mutants defective in DNA methylation recovered less efficiently from heat stress and persistently activated heat response factors and heat-responsive TEs. Heat stress also induced epimutations at the level of DNA methylation, especially in the CHG sequence context. Regions with modified DNA methylation patterns remained altered for at least 3 wk beyond the stress. These findings urge for disentangling cell type-specific responses under different stress types, especially for stem cells as bridges to the next generation.	40155207	2025-03-28	[40155207] Heat stress response and transposon control in plant shoot stem cells.	1	BioProject XML	2023-01-28
SAMN09371948	PRJNA473829	SRP149815	SRR7266198	hal	Leaf	not applicable				Kern B1	NA	1	multi_species	False	Arabidopsis thaliana	False	Botrytis cinerea:5.8%	Solanum lycopersicum:0.9%	1	known	10.62	619384	Arabidopsis thaliana	abstract	single		lab	mutant|inoculated|detached leaf|inoculation	Plastic Transcriptomes Stabilize Immunity to Pathogen Diversity	Network based analysis of transcriptomic responses in Arabidopsis and 96 diverse B. cinerea isolates during plant and pathogen interaction	A central goal of studying host-pathogen interaction is to understand how host and pathogen manipulate each other to promote their own fitness in a pathosystem. Co-transcriptomic approaches can simultaneously analyze dual transcriptomes during infection and provide a systematic map of the cross-kingdom communication between two species. Here we used the Arabidopsis-	31081752	2019-05-13	[31081752] Plant-necrotroph co-transcriptome networks illuminate a metabolic battlefield.	2	PMC full-text	2018-05-30
SAMN43026943	PRJNA1144135	SRP524131	SRR30126656	hal	red fruits	missing	missing					1	multi_species	False	Solanum lycopersicum	True	Botrytis cinerea:2.0%	Solanum subgen. Lycopersicon:77.1%; Solanum lycopersicum:47.3%; Solanum pennellii:1.4%	1	known	91.81	25265726	Solanum lycopersicum	title	host_study	developmental stage	lab	inoculated|inoculation	Developmentally regulated generation of a systemic signal for long-lasting defence priming in tomato [RNA-seq]	Tomato is a major global crop however its production is limited by Botrytis cinerea. Due to the toxicity of post-harvest pesticide application, alternative control methods such as priming are being investigated. Plants were treated with β-aminobutyric (BABA) at two developmental stages and resistance against B. cinerea was tested in fruit tissue and in progenies. DNA methylation and RNA sequencing were conducted to characterise the (epi)genetic changes associated with long-lasting resistance. Grafting experiments were done to assess the systemic nature of this signal, which was further characterised by small RNA (sRNA) sequencing of scions. Only BABA-treated seedlings displayed induced resistance (IR). DNA methylation analysis revealed seedling-specific changes, which occurred in the context of lower basal methylation. BABA-IR was found to be transmissible from primed rootstock to grafted unprimed scions. In these scions, we identified a subset of mobile 24 nt sRNAs associated with primed genes to infection in fruit. Our results demonstrate the functional association of a systemic signal with long lasting IR and priming. Through integrated omics approaches we have identified markers of long-lasting priming in tomato fruit which could also serve as targets for durable resistance in other crops. Overall design: Examination of trascriptome of leaves and fruits of Solanum lycopersicum (cv. Micro Tom), from plants exposed to β-aminobutyric (BABA) at two different developmental stages, or treated with water, and then infected with Botrytis cinerea, along with mock-treated control plants.	Tomato is a major global crop. However, its production is limited by Botrytis cinerea. Due to the toxicity of postharvest pesticide application, alternative control methods such as priming are being investigated. Plants were treated with β-aminobutyric acid (BABA) at two developmental stages and resistance against B. cinerea was tested in fruit tissue and in progenies. DNA methylation and RNA sequencing were conducted to characterise the (epi)genetic changes associated with long-lasting resistance. Grafting experiments were done to assess the systemic nature of this signal, which was further characterised by small RNA (sRNA) sequencing of scions. Only BABA-treated seedlings displayed induced resistance (IR). DNA methylation analysis revealed seedling-specific changes, which occurred in the context of lower basal methylation. BABA-IR was found to be transmissible from primed rootstock to grafted unprimed scions. In these scions, we identified a subset of mobile 24 nt sRNAs associated with genes showing primed expression during infection in fruit. Our results demonstrate the functional association of a systemic signal with long-lasting IR and priming. Through integrated omics approaches, we have identified markers of long-lasting priming in tomato fruit which could also serve as targets for durable resistance in other crops.	39562729	2024-11-19	[39562729] Developmentally regulated generation of a systemic signal for long-lasting defence priming in tomato.	1	BioProject XML	2024-08-04
SAMN35565534	PRJNA978953	SRP440831	SRR24804911	hal	leaf	China: Hebei	2023-04-20					1	multi_species	False	Solanum tuberosum	True	Potato virus Y:10.7%	Solaneae:57.1%; Solanum tuberosum:39.3%; Solanum subgen. Lycopersicon:3.2%; Solanum lycopersicum:0.4%	1	known	61.14	19593962	Solanum tuberosum	desc	single		lab	mutant|wild type|inoculated|greenhouse|inoculation|wild-type	Plant pathogen association	Twelve potato varieties with different resistance were inoculated with Alternaria solani wild-type strain and AsCEP20 delection mutant strain to explore the changes in the expression levels of other genes in the absence of the AsCEP20 gene.	Previous work identified a pair of specific effectors AsCEP19 and AsCEP20 in	38912810	2024-06-24	[38912810] 	1	PMC full-text	2023-06-01
