node1	node2	weight	dominant_treatment	treatment_breakdown
Botrytis cinerea	Pantoea ananatis	3	abiotic_stress	abiotic_stress:3
Cucumber mosaic virus	Papaya ringspot virus	3	host_study	host_study:3
Cucumber mosaic virus	Watermelon mosaic virus	3	host_study	host_study:3
Cucumber mosaic virus	Zucchini yellow mosaic virus	3	host_study	host_study:3
Papaya ringspot virus	Zucchini yellow mosaic virus	3	host_study	host_study:3
Papaya leaf distortion mosaic virus	Zucchini tigre mosaic virus	3	host_study	host_study:3
Fabavirus vitis	Grapevine Pinot gris virus	3	host_study	host_study:3
Potato black ringspot virus	Tobacco ringspot virus	3	host_study	host_study:3
Bipolaris sorokiniana	Pyricularia oryzae	3	single	single:2|host_study:1
Leptosphaeria maculans	Puccinia striiformis	2	single	single:2
Alternaria alternata	Leptosphaeria maculans	2	single	single:2
Alternaria alternata	Alternaria solani	2	single	single:2
Leptosphaeria maculans	Puccinia striiformis f. sp. tritici	2	single	single:2
Alternaria alternata	Fusarium pseudograminearum	2	single	single:2
Colletotrichum fructicola	Moniliophthora perniciosa	2	single	single:2
Colletotrichum siamense	Moniliophthora perniciosa	2	single	single:2
Parastagonospora nodorum	Zymoseptoria tritici	2	single	single:2
Exserohilum turcicum	Puccinia striiformis f. sp. tritici	2	single	single:2
Alternaria alternata	Bipolaris maydis	2	single	single:1|host_study:1
Listeria monocytogenes	Puccinia striiformis f. sp. tritici	2	single	single:2
Alternaria alternata	Plasmopara viticola	2	single	single:2
Lasiodiplodia theobromae	Phytophthora capsici	2	single	single:2
Botrytis cinerea	Pectobacterium brasiliense	2	abiotic_stress	abiotic_stress:2
Fusarium verticillioides	Sugarcane mosaic virus	2	host_study	host_study:2
Cucumber mosaic virus	Peanut mottle virus	2	host_study	host_study:1|surveillance:1
Papaya leaf distortion mosaic virus	Watermelon mosaic virus	2	host_study	host_study:2
Fabavirus vitis	Grapevine fleck virus	2	host_study	host_study:2
Fabavirus vitis	Grapevine rupestris stem pitting-associated virus	2	host_study	host_study:2
Grapevine Pinot gris virus	Grapevine fleck virus	2	host_study	host_study:2
Grapevine Pinot gris virus	Grapevine rupestris stem pitting-associated virus	2	host_study	host_study:2
Fabavirus vitis	Grapevine berry inner necrosis virus	2	host_study	host_study:2
Bean common mosaic virus	Cowpea mild mottle virus	2	host_study	host_study:2
Alternaria alternata	Bipolaris victoriae	2	host_study	host_study:2
Bipolaris victoriae	Bipolaris zeicola	2	host_study	host_study:2
Broad bean wilt virus 2	Potato virus Y	2	surveillance	surveillance:2
Actinidia seed borne latent virus	Capillovirus mali	2	single	single:2
Bipolaris sorokiniana	Fusarium verticillioides	2	host_study	host_study:2
Pennisetum mosaic virus	Sugarcane mosaic virus	2	host_study	host_study:2
Bromovirus SVS	Turnip crinkle virus	2	host_study	host_study:2
Fusarium verticillioides	Trichoderma virens	2	single	single:1|host_study:1
Alternaria alternata	Colletotrichum higginsianum	2	host_study	host_study:2
Pepper vein yellows virus	Potyvirus capsivenamaculae	2	single	single:2
Alternaria alternata	Sclerotinia sclerotiorum	2	host_study	host_study:2
Bean yellow mosaic virus	Stemphylium lycopersici	1	single	single:1
Bean yellow mosaic virus	Turnip yellows virus	1	single	single:1
Stemphylium lycopersici	Turnip yellows virus	1	single	single:1
Fusarium oxysporum	Phytophthora capsici	1	single	single:1
Alternaria alternata	Parastagonospora nodorum	1	single	single:1
Leptosphaeria maculans	Pyrenophora tritici-repentis	1	single	single:1
Leptosphaeria maculans	Setosphaeria turcica	1	single	single:1
Puccinia striiformis	Setosphaeria turcica	1	single	single:1
Pyrenophora tritici-repentis	Setosphaeria turcica	1	single	single:1
Setosphaeria turcica	Zymoseptoria tritici	1	single	single:1
Rehmannia mosaic virus	Tobacco mosaic virus	1	single	single:1
Rehmannia mosaic virus	Tomato brown rugose fruit virus	1	single	single:1
Tobacco mosaic virus	Tomato brown rugose fruit virus	1	single	single:1
Colletotrichum fructicola	Colletotrichum siamense	1	single	single:1
Bipolaris sorokiniana	Zymoseptoria tritici	1	single	single:1
Bipolaris maydis	Puccinia striiformis f. sp. tritici	1	single	single:1
Columnea latent viroid	Tomato yellow leaf curl virus	1	single	single:1
Cucumber mosaic virus	Tomato yellow mottle-associated virus	1	unclear	unclear:1
Tomato brown rugose fruit virus	papaya virus E	1	single	single:1
Carrot virus Y	Pseudomonas fluorescens	1	single	single:1
Citrus leprosis virus C2	Colletotrichum fructicola	1	coinf_experiment	coinf_experiment:1
Brassica rapa virus 1	Turnip yellow mosaic virus	1	single	single:1
Kennedya yellow mosaic virus	Pea seed-borne mosaic virus	1	single	single:1
Alternaria alternata	Phytophthora sojae	1	host_study	host_study:1
Chilli veinal mottle virus	Phytophthora nicotianae	1	host_study	host_study:1
Phytophthora infestans	Potato virus Y	1	single	single:1
Fusarium graminearum	Potato virus S	1	surveillance	surveillance:1
Fusarium verticillioides	Phytophthora sojae	1	host_study	host_study:1
Cucumovirus CMV	Enamovirus PEMV	1	surveillance	surveillance:1
Cucumovirus CMV	Potyvirus phaseoluteum	1	surveillance	surveillance:1
Cucumovirus CMV	Potyvirus pisumsemenportati	1	surveillance	surveillance:1
Cucumovirus CMV	Umbravirus pisi	1	surveillance	surveillance:1
Enamovirus PEMV	Polerovirus TUYV	1	surveillance	surveillance:1
Polerovirus TUYV	Potyvirus phaseoluteum	1	surveillance	surveillance:1
Polerovirus TUYV	Potyvirus pisumsemenportati	1	surveillance	surveillance:1
Polerovirus TUYV	Umbravirus pisi	1	surveillance	surveillance:1
Grapevine fleck virus	Grapevine rupestris stem pitting-associated virus	1	host_study	host_study:1
Brassica yellows virus	Enamovirus PEMV	1	surveillance	surveillance:1
Brassica yellows virus	Potyvirus pisumsemenportati	1	surveillance	surveillance:1
Brassica yellows virus	Umbravirus pisi	1	surveillance	surveillance:1
Grapevine Pinot gris virus	Grapevine berry inner necrosis virus	1	host_study	host_study:1
Grapevine berry inner necrosis virus	Grapevine fleck virus	1	host_study	host_study:1
Asian prunus virus 2	Cherry green ring mottle virus	1	host_study	host_study:1
Asian prunus virus 2	Trichovirus mali	1	host_study	host_study:1
Cherry green ring mottle virus	Trichovirus mali	1	host_study	host_study:1
Lily mottle virus	Tulip breaking virus	1	host_study	host_study:1
Cucurbit aphid-borne yellows virus	Papaya ringspot virus	1	surveillance	surveillance:1
Cucurbit aphid-borne yellows virus	Watermelon mosaic virus	1	surveillance	surveillance:1
Citrus leaf rugose virus	Elm mottle virus	1	host_study	host_study:1
Cucumber mosaic virus	Potato virus Y	1	surveillance	surveillance:1
Bipolaris maydis	Fusarium verticillioides	1	host_study	host_study:1
Maize dwarf mosaic virus	Pennisetum mosaic virus	1	host_study	host_study:1
Maize dwarf mosaic virus	Sugarcane mosaic virus	1	host_study	host_study:1
Enamovirus PEMV	Potyvirus trifolii	1	surveillance	surveillance:1
Potyvirus phaseoluteum	Potyvirus trifolii	1	surveillance	surveillance:1
Bean common mosaic virus	Wisteria vein mosaic virus	1	host_study	host_study:1
Peanut stripe virus	Wisteria vein mosaic virus	1	host_study	host_study:1
Alternaria alternata	Fusarium oxysporum	1	abiotic_stress	abiotic_stress:1
Zucchini tigre mosaic virus	Zucchini yellow mosaic virus	1	host_study	host_study:1
Cucumber mosaic virus	Sweet potato virus C	1	host_study	host_study:1
Broad bean wilt virus 2	Pepper mottle virus	1	abiotic_stress	abiotic_stress:1
Fusarium solani	Trichoderma virens	1	single	single:1
Cucumovirus CMV	Potyvirus capsivenamaculae	1	single	single:1
Carlavirus sigmasolani	Potyvirus yituberosi	1	single	single:1
Bromovirus SVS	Comovirus ArLV1	1	host_study	host_study:1
Gammacarmovirus glycinis	Potyvirus glycitessellati	1	single	single:1
Fusarium oxysporum	Parastagonospora nodorum	1	host_study	host_study:1
Fusarium graminearum	Rhizoctonia solani	1	single	single:1
Bromovirus SVS	Turnip mosaic virus	1	host_study	host_study:1
Pseudostellaria heterophylla carlavirus 1	Stevia carlavirus 1	1	host_study	host_study:1
Broad bean wilt virus 2	Citrus yellow vein clearing virus	1	single	single:1
Alternaria alternata	Pyricularia oryzae	1	host_study	host_study:1
Cercospora kikuchii	Exserohilum turcicum	1	single	single:1
Cucumovirus CMV	Potyvirus yituberosi	1	abiotic_stress	abiotic_stress:1
Exserohilum turcicum	Fusarium solani	1	single	single:1
Closterovirus tristezae	Potexvirus citrindicum	1	host_study	host_study:1
Tobacco ringspot virus	Watermelon mosaic virus	1	host_study	host_study:1
Cucumovirus CMV	Potyvirus citrulli	1	surveillance	surveillance:1
Alternaria alternata	Ustilago maydis	1	host_study	host_study:1
Alternaria alternata	Cercospora beticola	1	host_study	host_study:1
Cercospora beticola	Exserohilum turcicum	1	host_study	host_study:1
Cercospora beticola	Exserohilum turcica	1	single	single:1
Capillovirus mali	Trichovirus mali	1	single	single:1
Bipolaris sorokiniana	Fusarium graminearum	1	host_study	host_study:1
Enamovirus AEV	Umbravirus pisi	1	surveillance	surveillance:1
Prune dwarf virus	Prunus necrotic ringspot virus	1	single	single:1
Bipolaris sorokiniana	Fusarium pseudograminearum	1	single	single:1
Papaya leaf distortion mosaic virus	Zucchini yellow mosaic virus	1	host_study	host_study:1
Caulimovirus tessellobrassicae	Turnip mosaic virus	1	single	single:1
Turnip mosaic virus	Waikavirus brassicae	1	single	single:1
Comovirus ArLV1	Turnip crinkle virus	1	host_study	host_study:1
Fusarium graminearum	Parastagonospora nodorum	1	abiotic_stress	abiotic_stress:1
Exserohilum turcicum	Fusarium verticillioides	1	abiotic_stress	abiotic_stress:1
