BioProject	n_runs	title	description	pmids	publications	primaries	secondaries
PRJNA574904	9	Monilinia fruciticola Bmpc7 RNA-Seq at infection stage on peach fruits	M.fruciticola Bmpc7 was inoculated onto peach fruits and the different infection stage transcripts were examined by RNA-Seq.			Monilinia fructicola	Botrytis cinerea (2.1%); Botrytis cinerea (2.7%); Botrytis cinerea (2.9%); Botrytis cinerea (4.3%); Botrytis cinerea (5.0%); Botrytis cinerea (5.3%); Botrytis cinerea (5.5%); Botrytis cinerea (5.6%); Botrytis cinerea (5.7%)
PRJNA1429803	7	PLant viral metagenomes 2026	Data from viral infected plants			Potato leafroll virus	Carlavirus sigmasolani (6.4%); Carlavirus sigmasolani (7.5%); Polerovirus PLRV (0.2%); Polerovirus PLRV (0.6%); Polerovirus PLRV (1.2%); Polerovirus PLRV (6.5%); Polerovirus PLRV (9.1%); Tobamovirus brugmansiae (47.7%)
PRJEB42296	7	First expansion of the public Tomato brown rugose fruit virus (ToBRFV) Nextstrain build; inclusion of new genomic and epidemiological data	Tomato brown rugose fruit virus (ToBRFV) is a Tobamovirus that was first detected in Israel following an outbreak of a new disease infecting tomatoes in 2014. Following the first finding of the virus in the Netherlands in October 2019, the Dutch National Plant Protection Organization (NPPO-NL) initiated a follow-up survey to determine the extent of ToBRFV presence in the Dutch tomato horticulture and identify possible linkages between ToBRFV genotypes and epidemiological traits. Genomic and epidemiological information from this initiative were made publicly available using the interactive Nextstrain build. The first version of the ToBRFV Nextstrain build contained 63 (near) complete ToBRFV genomes from materials sampled between November 2014 to November 2019 from nine countries. NPPO-NL has committed to keep adding sequences and epidemiological data to improve the build. Other organizations working on this highly infectious virus to contribute their data or biological materials to improve the predictive power of the tool. In this report we announce the second version of the Nextstrain build.			Tomato brown rugose fruit virus	Pepino mosaic virus (11.2%); Pepino mosaic virus (12.0%); Pepino mosaic virus (15.4%); Pepino mosaic virus (20.0%); Pepino mosaic virus (25.8%); Pepino mosaic virus (5.3%); Pepino mosaic virus (7.5%)
PRJNA254725	6	Transcriptional responses of Bdtf1-deletion mutant to the phytoalexin brassinin in the necrotrophic fungus Alternaria brassicicola	Brassica species produce antifungal indolyl compounds, brassinin and its derivatives, during microbial infection. The fungal pathogen Alternaria brassicicola detoxifies brassinin and possibly its derivatives. This ability is an important property for the successful infection of brassicaceous plants. Previously, we identified a transcription factor, Bdtf1, essential for the detoxification of brassinin and full virulence. To discover genes that encode putative brassinin-digesting enzymes, we compared gene expression profiles between a mutant strain of the transcription factor and wild-type A. brassicicola under two different experimental conditions. A total of 170 and 388 genes were expressed at higher levels in the mutants than the wild type during the infection of host plants and saprophytic growth in the presence of brassinin, respectively. In contrast, 93 and 560 genes were respectively expressed at lower levels in the mutant than the wild type under the two conditions. Fifteen of these genes were expressed at lower levels in the mutant than in the wild type under both conditions. These genes were assumed to be important for the detoxification of brassinin and included Bdtf1 and 10 putative enzymes. This list of genes provides a resource for the discovery of enzyme-coding genes important in the chemical modification of brassinin. Overall design: Examination of downstream genes regulated by a transcrition factor under two test conditions	25061722	[25061722] Transcriptional responses of the Bdtf1-deletion mutant to the phytoalexin brassinin in the necrotrophic fungus Alternaria brassicicola.	Alternaria brassicicola	Pyrenophora teres (0.2%)
PRJNA700975	4	Transcriptome profiles of Sporisorium reilianum during the early infection of resistant and susceptible maize isogenic lines	The biotrophic fungus Sporisorium reilianum causes destructive head smut disease in maize (Zea mays L.). To explore the pathogenicity arsenal of this fungus, we tracked its transcriptome changes during infection of the maize seedling mesocotyls of two near-isogenic lines, HZ4 and HZ4R, differing solely in the disease resistance gene ZmWAK.			Sporisorium reilianum	Fusarium proliferatum (0.1%); Fusarium verticillioides 7600 (1.0%); Fusarium verticillioides 7600 (1.2%); Fusarium verticillioides 7600 (5.1%); Fusarium verticillioides 7600 (5.7%)
PRJEB47693	4	Wheat stem rust recorded for the first time in decades in Ireland	.			Puccinia graminis f. sp. tritici	Fusarium odoratissimum (1.1%); Zymoseptoria tritici (10.7%); Zymoseptoria tritici (21.7%); Zymoseptoria tritici (23.9%)
PRJNA1111826	4	Puccinia triticina genetic diversity	This project contains DNA and RNA sequences of the wheat leaf fungus, Puccinia triticina. The genomic DNA sequences were generated from purified urediniospores while the RNA sequences were generated from infected wheat leaf pieces. The goal of this project is to study the genetic diversity of P. triticina in North America.			Puccinia triticina	Parastagonospora nodorum (0.1%); Parastagonospora nodorum (1.1%); Pyrenophora tritici-repentis (1.5%)
PRJNA925193	3	Moniliophthora roreri and Moniliophthora perniciosa raw sequence reads	Moniliophthora roreri and Moniliophthora perniciosa raw sequence reads			Moniliophthora perniciosa	Colletotrichum fructicola (0.8%); Colletotrichum fructicola (2.3%); Colletotrichum siamense (0.4%); Colletotrichum siamense (2.0%)
PRJEB65589	3	How to curtail the rise in wheat stem rust infections in western Europe	.			Puccinia graminis f. sp. tritici	Zymoseptoria tritici (10.3%); Zymoseptoria tritici (24.6%); Zymoseptoria tritici (9.8%)
PRJNA1107791	3	Deciphering pathogenicity and development in obligate downy mildew pathogen using small RNA approach	Obligate oomycetes are not amenable to genetic transformation, thus hindering genetic analysis. Several groups including ours have relied on alternative approaches to assay effector function in planta including: a) co-bombardment assays into plant cells using the GUS gene to indicate avirulence activity, b) delivering effectors using bacteria secretion system, and c) creation of stably transformed plants expressing effector genes under control of plant promoters. However, all of these methods stripped the effector gene away from the pathogen where the expression level of a gene may not be comparable to that in the native background. Moreover, single-gene assays do not accurately capture gene function in the native milieu. Finally, these approaches are only applicable to secreted effector proteins that operate inside host cells. Movement of small RNAs from plants to pathogens has been explored using HIGS. Although we tried HIGS methods several times in Arabidopsis to study functions of ATR1, ATR13 and ATR5 for Hyaloperonospora arabidopsidis (Hpa) in our laboratory, it proved unsuccessful (Tor Group, unpublished results). However, we discovered that application of sRNA can be effectively used to elucidate gene function in Hpa. We will Investigate the properties of sRNA-mediated silencing, optimize, and test in other oomycetes including Peronospora viciae, Phytophthora parasitica and P. capsici. We will Generate gene-specific sRNAs for highly regulated genes in Hpa spores, during germination, mycelial development and sporulation. We will then apply gene specific sRNAs to identify genes showing a phenotype upon silencing. Using this technique, we will also investigate some of the well-known effector genes under native conditions. These would lead to identification and characterization of pathogen genes that could be targeted for disease control. Results obtained from this work can easily be transferred to other obligate downy mildews of grapevine, lettuce, or brassica			Hyaloperonospora arabidopsidis	Phytophthora sojae (0.2%)
PRJEB68334	3	Azole resistance in Blumeria	Blumeria graminis f.sp. tritici (wheat powdery mildew) isolates from the USA and UK were compared for sensitivity to the lanosterol demethylation inhibitor (DMI) azole fungicides tebuconazole and prothioconazole and assayed for Cyp51 sequences, copy number and expression. Median effective doses (ED50) of tebuconazole spanned a wider range than prothioconazole and US isolates had much greater mean sensitivity than UK isolates. Four genetic models involving multiple resistance mechanisms were identified, including increased copy number and expression of Cyp51. Molecular field diagnostics should survey the full range of genetic mechanisms involved in azole resistance.			Blumeria graminis f. sp. tritici	Fusarium proliferatum (1.6%); Penicillium expansum (0.4%); Xanthomonas oryzae (0.2%)
PRJNA863277	2	A Tale of Two Molds: Comparative Penicillium spp. transcriptomics reveals conserved pathways, processes, and loci associated with ungerminated conidia and blue mold decay	A transcriptomic approach was implemented using two Penicillium species to identify genes related to fungal aggressiveness in apple fruit and loci contained in ungerminated conidia. Total RNA was isolated from ungerminated conidia and decayed apple fruit infected with P. expansum R19 (aggressive) or P. polonicum RS1 (weak). There were 2,442 differentially expressed genes (DEGs) between the R19 and RS1 in apple and comparisons within species between apple and conidia revealed 4,404 DEGs for R19, and 2935 for RS1, respectively. Gene ontology (GO) revealed differential regulation in fungal transport and metabolism genes expressed during decay, suggesting a flux in nutrient acquisition and detoxification strategies. In R19, the oxidoreductase GO category comprised 20% of all groups differentially expressed in decayed apple verses ungerminated conidia in addition to those involved in hydrogen peroxide metabolism. Ungerminated conidia from both species showed higher expression of genes encoding the glyoxylate shunt and beta-oxidation, specifying the earliest metabolic requirements for germination Overall design: Four replicate samples of highly agressive Penicillium expansum R19 from the decayed margin of apple fruit, four replicate samples of R19 ungerminated conidia, four replicate samples from weakly virulent P. polonicum RS1 from apple tissue, and four replicate samples of RS1 ungerminated conidia all were used to extract RNA for RNA-Seq to compare transcriptomes of the two blue mold pathogens before infecting apple and during apple infection. Transcripts were quality filtered and assembled before finding log2 fold change expression differences between the four sample types. Data was visualized for interpretation via heat maps of virulence genes of interest, volcano plots of all genes, and venn diagrams of differentially regulated genes. Gene ontology and Kegg mapping were used to group genes based on molecular function and pathway shifts between the pathways shifts between pathogen type and pre or post infection status. Both strains were also evaluated for germination timing (14 hours postinoculation and 24 hpi - 3 technical replicates/trial, two trials), radial growth on PDA media (3, 5, and 7 days postinoculation - 3 technical replicates/trial, two replicate trials), and lesion size on infected apples (10 apples/inoculum/trial, two trials) over time to demonstrate differences between growth and pathogenicity of the strains.	36557667	[36557667] Comparative	Penicillium expansum	Apple chlorotic leaf spot virus (5.4%); Apple chlorotic leaf spot virus (5.9%); Apple stem grooving virus (2.6%); Apple stem grooving virus (3.0%)
PRJEB20582	2	RNA-Seq reads from wheat blast field samples from Bangladesh collected in March, 2017	The objectives of the project is to find out (i) which fungus was associated with wheat blast epidemic in Bangladesh in 2017 (Is it the same as the one that caused epidemic in 2016?), (ii) population of structure of the fungus sampled from different districts in Bangladesh, and (iii) if there are any adaptive mutations in the population of the fungus.			Pyricularia oryzae	Bipolaris sorokiniana (0.5%); Bipolaris sorokiniana (0.6%)
PRJNA540383	2	Fusarium pseudograminearum Raw sequence reads	RNA-seq of Fusarium pseudograminearum			Fusarium pseudograminearum	Alternaria alternata (0.1%); Alternaria alternata (0.5%)
PRJNA486288	2	Population genomics and gene expression analysis of Fusarium Head Blight (FHB)	RNA-seq data for RNA collected from wheat kernels infected with Fusarium graminearum.			Fusarium graminearum	Alternaria alternata (0.4%); Alternaria alternata (0.5%)
PRJEB36485	2	Pathogenomic analyses reveals a potential recent shift in the South African Puccinia striiformis f. sp. tritici population	Transcriptome and genome sequence data for 49 Pst isolates.			Puccinia striiformis f. sp. tritici	Alternaria alternata (0.6%); Alternaria alternata (0.9%)
PRJNA558612	2	Plasmopara viticola Genome sequencing	Plasmopara viticola lesions on grapevine. Scraped mycelia and conidia			Plasmopara viticola	Alternaria alternata (3.7%); Alternaria alternata (4.5%)
PRJNA448328	2	Transcriptomic comparison of Botrytis cinerea wild type and VELVET mutants	An RNAseq-based transcriptomic comparison of Botrytis cinerea wild type and the three VELVET mutants was performed, to correlate common virulence defects of the mutants with changes in gene expression. A large number of genes encoding infection-related and secreted proteins was strongly underexpressed in the mutants, in particular genes encoding proteases and carbohydrate active enzymes. Many VELVET-regulated genes were found to be upregulated in the wild type during host plant infection (Müller et al.: Investigations on VELVET regulatory mutants confirm the role of host tissue acidification and secretion of proteins in pathogenesis of Botrytis cinerea; New Phytologist, 2018) Overall design: RNA was obtained from tomato leaves 24-28 h.p.i. with B. cinerea wild type B05.10 (3 repl.), and the VELVET mutants vel1* (4 repl.), lae1 (3 repl.s) and vel1 (3 replicates). For transcriptome comparison of in vitro and in planta growth, RNA was also isolated from liquid culture (32 h.p.i.).	29790574	[29790574] Investigations on VELVET regulatory mutants confirm the role of host tissue acidification and secretion of proteins in the pathogenesis of Botrytis cinerea.	Botrytis cinerea	Sclerotinia sclerotiorum (0.1%)
PRJNA1244880	2	Putative SET Domain-Containing Proteins Play Significant Roles in Regulating Sporulation, and Pathogenicity in Phytophthora capsici	RNA-sequencing based comparative assessment of the expression profile of genes coding for SET domain-containing proteins during P. capsici's interactions with different host plants Overall design: Total RNA was extracted from selected tissues using a universal RNA extraction kit, ensuring minimal degradation and contamination. We then performed quality assessment of the isolated RNA using gel electrophorensis and bioanalyzer to confirm integrity and purity.			Phytophthora capsici	Lasiodiplodia theobromae (0.1%)
PRJNA773642	2	Plant virus metagenomic data 2021	RNA Seq data from variuos plant samples containing plant viruses	35956429	[35956429] Enhanced Apiaceous Potyvirus Phylogeny, Novel Viruses, and New Country and Host Records from Sequencing	Celery mosaic virus	Carrot virus Y (13.6%); Carrot virus Y (13.7%)
PRJNA853137	1	Alternaria alternata Raw sequence reads	normal transcriptome of Alternaria alternata			Alternaria alternata	Cercospora beticola (9.8%); Cercospora kikuchii (4.7%)
PRJNA560644	1	Transcriptome sequencing and mapping of in vitro and in planta samples of Exserohilum turcicum	This study aimed to identify the genes involved in host colonization during the biotrophic and necrotrophic phases of infection of Exserohilum turcicum (sexual stage Setosphaeria turcica). It also aimed to identify race-specific differences in gene expression. Therefore, maize Va26 seedlings (lacking any resistance genes) were inoculated with a race 13N and 23N E. turcicum isolate. Genes encoding peptidases, cell wall degrading enzymes, effectors and those involved in secondary metabolite biosynthesis were investigated to gain an improved understanding of the E. turcicum - maize interaction.			Exserohilum turcicum	Fusarium verticillioides 7600 (1.0%)
PRJNA716464	1	RNA-seq	Panax notoginseng leaves were infected with Alternaria panax and then the infected leaves were collected for the A. panax transcriptome sequencing			Alternaria panax	Bipolaris sorokiniana (0.1%)
PRJNA950118	1	Sequencing of Canadian Puccinia striiformis isolates	Puccinia striiformis isolates were collected from across western Canada and sequenced using RNAseq or WGS for comparative pathogenomics			Puccinia striiformis	Pyrenophora tritici-repentis (4.7%)
PRJNA956871	1	Single nematode transcriptomic analysis, using long-read technology, reveals two novel virulence gene candidates in the soybean cyst nematode, Heterodera glycines.	Single nematode transcriptomic analysis, using MinION long read technology.			Heterodera glycines	Pseudomonas aeruginosa (0.1%)
PRJEB39756	1	New Zealand Pst isolates	New Zealand Pst isolates			Puccinia striiformis f. sp. tritici	Listeria monocytogenes (0.2%)
PRJNA392275	1	Pyrenophora teres f. teres Genome sequencing, assembly, and annotation	The goal of this project is to create a more complete genome assembly and annotation for the fungal pathogen of barley, Pyrenophora teres f. teres. This was accomplished through the use of Pacific Biosciences long read technology and RNAseq of the current reference isolate 0-1.	29167271	[29167271] Reference Assembly and Annotation of the	Pyrenophora teres f. teres	Parastagonospora nodorum (0.5%)
PRJNA1110392	1	Transcriptome analysis of Colletotrichum fructicola	Transcriptome analysis of Colletotrichum fructicola, which is a main pathogen of Glomerella leaf spot.			Colletotrichum fructicola	Alternaria alternata (0.1%)
PRJNA1021048	1	Infection characteristics of pathogen of potato early blight and virulence genes revealed by multi-omics method	Based on genome-wide, transcriptomic and proteomic analysis, the virulence genes of pathogenic bacteria of potato early blight were revealed, which provided clues for pathogenic mechanism and resistance of potato early blight, and further provided theoretical data for prevention and control of early blight and epidemic prediction.			Alternaria alternata	Botrytis cinerea (3.4%)
