BioProject	llm_treatment	llm_study_setting	llm_named_pathogen	llm_named_host	llm_tissue	llm_kw_treatment_agree	llm_kw_setting_agree	llm_confidence	llm_rationale
PRJEB33109	surveillance	field	Puccinia striiformis f.sp. tritici	Triticum aestivum	wheat tissue	false	true	high	Despite the keyword classifier indicating a single treatment, the co-infection flag indicates that all 11 BioSamples show multi-species presence. The field setting is confirmed by the descriptions and methods, supporting a surveillance classification rather than intentional single-pathogen experiments.
PRJNA540383	single	field	Fusarium pseudograminearum			true	true	high	The classification aligns with the provided keyword outputs indicating a single treatment and field setting. The focus on Fusarium pseudograminearum supports the treatment designation.
PRJNA574904	single	lab	Monilinia fruciticola	Prunus persica		true	true	high	The study explicitly describes a single pathogen, Monilinia fruciticola, being inoculated on peach fruits in a controlled lab setting, which aligns with the classifier output for treatment and study setting.
PRJNA643593	single	lab	Fusarium pseudograminearum	Populus trichocarpa	root	true	true	high	The study clearly indicates that it involves a single-pathogen interaction with Fusarium pseudograminearum and focuses on plant growth-promoting activity in a controlled lab setting. The presence of only one declared pathogen aligns with the treatment classification as 'single'.
PRJNA588102	coinf_experiment	lab	Puccinia striiformis f.sp. tritici	Triticum aestivum	leaf	false	true	medium	The project involves manipulating a pathogen (Puccinia striiformis) on a host (Triticum aestivum), but the explicit objective of the study is to analyze co-infections rather than to study the host's response to a single pathogen. Hence, the treatment classification as 'coinf_experiment' is more appropriate than 'host_study' despite certain elements suggesting a host study context.
PRJNA687280	single	lab	Sclerotinia sclerotiorum	Cicer arietinum	stem	true	true	high	The study involves the inoculation of chickpea with a single pathogen (Sclerotinia sclerotiorum) in a controlled lab setting. The classification aligns well with the keyword classifier output and the study details.
PRJNA148307	host_study	lab	Colletotrichum higginsianum, Colletotrichum graminicola	Arabidopsis thaliana		true	true	high	The study focuses on the transcriptome of a specific plant host in a lab setting, with no intended pathogen inoculation but evidence of multi-species presence. The classification of 'host_study' aligns with the overall focus on understanding host-pathogen interactions and developmental stages of a declared pathogen.
PRJNA565562	single	lab	Pectobacterium brasiliense	Solanum tuberosum	tuber	true	true	high	The research focuses on a single pathogen, Pectobacterium brasiliense, and investigates its interaction with the host plant Solanum tuberosum in a controlled lab setting. The keyword classifier output aligns with this focus.
PRJNA1092066	single	lab	Fusarium oxysporum f. sp. lactucae	Lactuca sativa	stem, root	true	true	high	The study focuses on Fusarium oxysporum f.sp. lactucae and its effects on Lactuca sativa, indicating a treatment involving a single declared pathogen. The controlled environment used for experimentation further supports the classification as a lab study.
PRJDB39595	single	lab	Fusarium graminearum	Triticum aestivum		true	true	high	The project involves a single-pathogen study of Fusarium graminearum in a controlled lab setting, as indicated by the treatment and study settings provided. The classification aligns with the keyword classifier output.
PRJNA808992	single	field	Colletotrichum gloeosporioides	Physcomitrium patens		true	true	high	The study involves a single declared pathogen (Colletotrichum gloeosporioides) infecting a specific host (Physcomitrium patens) in the field, which aligns with the keyword classifier output of a single treatment and field setting.
PRJNA560644	single	lab	Exserohilum turcicum	Zea mays	leaf	true	true	high	The study involves inoculating maize seedlings with a single pathogen (E. turcicum), indicating a single-pathogen experiment in a controlled lab setting. The classification matches the keyword output and context provided in the study.
PRJNA925193	single	field	Moniliophthora roreri	Theobroma cacao		true	true	high	The study focuses on the single pathogen Moniliophthora roreri, with field-collected isolates from cacao plants. The treatment classification is confirmed by the keyword classifier output and the context of the study.
PRJNA905255	single	lab	Fusarium pseudograminearum	Triticum aestivum	coleoptile	true	true	high	The study involves a single declared pathogen, Fusarium pseudograminearum, in a controlled lab setting with the wheat coleoptile as the sampled tissue. This aligns with the keyword classifier output, confirming the classification.
PRJNA545454	single	lab	Puccinia striiformis f. sp. tritici	Triticum aestivum	leaf	false	true	medium	While the study involves a single pathogen (Puccinia striiformis) in a controlled lab setting, the keyword classifier output indicated 'host_study', which does not align with the pathogen-focused nature of this research. The presence of single-pathogen inoculation confirms its primary intent.
PRJEB5141	surveillance	unclear	Fusarium graminearum	Zea mays		false	false	medium	The study involves analyzing gene expression during a known infection, suggesting it may be more than a simple surveillance study. However, the multi-species co-infection flag indicates the presence of multiple organisms, and the study setting is explicitly unclear due to lack of details.
PRJNA950118	host_study	field	Puccinia striiformis	Triticum aestivum	leaf	true	true	high	The study focuses on the biology of the host plant (wheat) and pathogen (Puccinia striiformis) through field-collected samples, aiming to understand pathogen population structure and mating type diversity. The treatment classified as 'host_study' aligns with the research focus as it involves the host's biological responses to a single pathogen collected in natural settings.
PRJNA853137	single	field	Alternaria alternata			true	true	high	The project is focused on a normal transcriptome of Alternaria alternata, indicating a single pathogen study. The study setting is field-based as noted in the keyword classifier and sample locations are from China, consistent with field-collected data.
PRJNA811707	single	lab	Penicillium italicum	Citrus sinensis	fruit	true	true	high	The classification of 'single' treatment is supported by the study's focus on the interaction of a single pathogen (Penicillium italicum) with a specified host (Citrus sinensis). Additionally, the study setting is confirmed as 'lab' due to the controlled environment described in the experiment.
PRJNA1173477	single	field	Colletotrichum gloeosporioides			true	true	high	The treatment is classified as 'single' as indicated by the keyword classifier output and BioSample summary, which shows three samples with a co-infection flag indicating single-pathogen presence. The study setting is classified as 'field' based on the field location in China provided in the summary.
PRJNA253086	single	lab	Penicillium expansum	Malus domestica	fruit	true	true	high	The study focuses on the interaction between apple fruit and the single declared pathogen Penicillium expansum, indicating a single-pathogen inoculation in a controlled lab setting. The classification of treatment and study setting aligns with the keyword classifier output.
PRJNA1017476	single	lab	Fusarium oxysporum	Solanum lycopersicum	microconidia	true	true	high	The study involves a controlled laboratory experiment targeting a single pathogen, Fusarium oxysporum, in tomato plants (Solanum lycopersicum). The classification aligns with the provided keyword classifier outputs and study details.
PRJNA352342	single	lab	Fusarium fujikuroi	Oryza sativa		true	true	high	The study is focused on the characterization of Fusarium fujikuroi isolates and their effects on rice seedlings, indicating a controlled lab study of a single pathogen. The keyword classifier output supports the treatment and setting classifications.
PRJNA338256	single	lab	Fusarium oxysporum f. sp. cepae	Allium cepa		true	true	high	The study focuses on the interaction between a specific pathogen and its host in a controlled laboratory setting. Additionally, the keyword classifier's output aligns with the study context as a single-pathogen experiment.
PRJNA700975	single	lab	Sporisorium reilianum	Zea mays	mesocotyls	true	true	high	The study focuses on the infection of maize by a single declared pathogen, Sporisorium reilianum, in a controlled lab setting. The RNA-seq data is specifically from the infected tissues of the maize, confirming the treatment classification.
PRJNA797683	single	field	Penicillium expansum	pear		true	true	medium	The study focuses on Penicillium expansum, a pathogen associated with pears in a natural field context. The classification as 'single' aligns with the keyword output, but the presence of multi-species samples introduces uncertainty about co-infections.
PRJNA883377	single	lab	Fusarium graminearum	Arabidopsis thaliana		true	true	high	The study focuses on the interactions of a single pathogen, Fusarium graminearum, with the host Arabidopsis thaliana in a controlled lab setting, confirmed by the keyword classifier output and BioSample summary indicating single-pathogen experiments.
PRJNA1272045	single	lab	Ralstonia pseudosolanacearum	Solanum lycopersicum	stem	true	true	high	The treatment is classified as 'single' since the study focuses on a single pathogenic bacterium in a controlled lab setting with defined host plants. This aligns with the keyword classifier's output indicating a single-pathogen experiment.
PRJNA1207595	coinf_experiment	field	Phytophthora capsici	Cucumis sativus	Mycelium	true	true	high	The study explicitly investigates Phytophthora capsici's effect across multiple hosts, indicating a focus on co-infection dynamics. The field setting is supported by the presence of natural hosts and mycelium tissue description.
PRJNA293594	host_study	field	Fusarium graminearum	Triticum aestivum		true	true	high	The treatment classification aligns with the focus on host biology and developmental stages rather than a response to a specific pathogen inoculation. The field setting is supported by the description of samples collected from a natural environment in China.
PRJNA1405621	single	field	Xanthomonas perforans	Solanum lycopersicum		true	true	high	The study explicitly focuses on a single pathogen, Xanthomonas perforans, on the host plant Solanum lycopersicum, aligning with the keyword classifier's output. The setting is indicated as field, consistent with the contextual information about the collection environment.
PRJNA435897	single	lab	Fusarium oxysporum f. sp. cucumerinum	Cucumis sativus		true	true	high	The study is focused on the pathogen Fusarium oxysporum f. sp. cucumerinum in a lab setting, indicating a single-pathogen experiment aimed at understanding its virulence mechanisms. The keyword outputs align with this classification of a treatment and study setting.
PRJNA1162778	single	lab	Zymoseptoria tritici	Triticum aestivum	blastospore cultures	true	true	high	The study focuses on Zymoseptoria tritici and involves controlled lab conditions with in vitro RNA-seq. The keyword classification aligns with the intention of studying the pathogen's transcriptome in relation to its interactions with the named host, Triticum aestivum.
PRJNA448328	single	lab	Botrytis cinerea	Solanum lycopersicum	Tomato detached infected leaf	true	true	high	The study is focused on the pathogenic interaction between a single declared pathogen, Botrytis cinerea, and the host Solanum lycopersicum in a controlled lab setting, consistent with the provided keyword classifier output.
PRJNA1315207	single	lab	Fusarium graminearum	Triticum aestivum		true	true	high	The study explicitly investigates the interaction between wheat and a single pathogen, Fusarium graminearum, under controlled lab conditions. The classification aligns with the keyword classifier output indicating a single treatment and lab setting.
PRJNA383548	single	field	Phytophthora cactorum	Fragaria x ananassa	crown, fruit, bark	true	true	high	The study focuses on Phytophthora cactorum infections in strawberry plants, which indicates a single-pathogen treatment context. The samples were collected from the field, supporting the classification of the study setting as field.
PRJNA542165	single	field	Fusarium graminearum	Triticum aestivum		true	true	high	The study focuses on the Fusarium graminearum species complex and includes samples from healthy wheat grains, indicating a field study with a single declared pathogen. The keyword classifier output aligns with this interpretation.
PRJNA487807	single	lab	Penicillium expansum	Malus pumila	wounded apple fruit tissue	true	true	high	The study involves a controlled inoculation of Malus pumila with a single declared pathogen, Penicillium expansum, in a laboratory setting. The experiments are designed to observe the host response specifically to this pathogen, confirming the classification of single treatment and lab study setting.
PRJNA670487	single	field	Sclerotinia sclerotiorum	Solanum tuberosum	mycelium	true	true	high	The study focuses on a single pathogen, Sclerotinia sclerotiorum, in a field setting involving Solanum tuberosum. The co-infection flag indicates a single pathogen with only one instance of multi-species detection.
PRJNA531386	surveillance	field	Fusarium oxysporum f. sp. cubense	Musa acuminata		false	true	high	The study is focused on field data collected without a controlled single-pathogen inoculation, indicative of a field survey context. The treatment classification as 'single' conflicts with the presence of co-infection detected by the classifier.
PRJEB13072	coinf_experiment	lab	Fusarium graminearum, Ustilago maydis	Zea mays	silk	true	false	medium	The study involves a comparative analysis of the response of maize silks to two pathogens, indicating intentional co-infection. However, the study setting is unclear due to the lack of specific information regarding whether the samples were collected in the field or in a controlled lab environment.
PRJNA1157721	single	field	Fusarium graminearum			true	true	high	The treatment is classified as single because there are three samples flagged for single-pathogen context and the study is focused on a single declared pathogen, Fusarium graminearum. The study setting is classified as field as it suggests collection from natural infection conditions without controlled inoculation.
PRJNA36323	single	lab	Puccinia triticina	Triticum aestivum	urediniospores, infected wheat tissue	true	true	high	The study clearly indicates a focus on the genome content of wheat rusts and identifies a specific pathogen, Puccinia triticina, in a controlled lab setting with RNA samples from distinct life cycle stages. The classification aligns with the evidence of a single-pathogen experiment.
PRJNA398030	single	lab	Pectobacterium carotovorum subsp. brasiliense	Solanum tuberosum		true	true	high	The treatment is classified as 'single' due to the focus on a single pathogen (Pcb1692) in a controlled lab setting with no evidence of co-infection intention. The study setting aligns with the lab categorization as it details RNA-seq analysis conducted during infection stages in a controlled environment.
PRJNA747857	host_study	lab		Hevea brasiliensis	lesion	false	true	medium	The study focuses on transcriptome analysis in a controlled lab setting using a mutant line of Hevea brasiliensis, indicating it is primarily a host study rather than a single-pathogen experiment despite the co-infection flag being set to multi-species. The absence of a declared primary pathogen further supports this classification.
PRJNA628751	single	lab	Colletotrichum camelliae	Camellia sinensis	leaves	true	true	high	The study focuses on a single pathogen, Colletotrichum camelliae, in a controlled laboratory setting with specific protocols for inoculation and analysis, confirming the classification as a single-pathogen treatment.
PRJEB36485	single	unclear	Puccinia striiformis f. sp. tritici			true	false	medium	The treatment is classified as 'single' based on the keyword classifier output and evidence of only single-pathogen analysis, but the study setting remains unclear due to lack of explicit information regarding sample collection or environmental context.
PRJNA1100932	single	lab	Penicillium italicum	Citrus sinensis		true	true	high	The study focuses on a single pathogen, Penicillium italicum, in a controlled lab setting while evaluating its effects on the named host, Citrus sinensis. This aligns with the keyword classifier output indicating a single treatment in a lab environment.
PRJNA1250817	single	field	Puccinia striiformis f. sp. tritici	Triticum aestivum		true	true	high	The study focuses on transcriptomic analysis related to a single pathogen, Puccinia striiformis, infecting wheat in a field setting. The keyword classifier output confirms the treatment as single and study setting as field.
PRJEB45236	single	unclear	Puccinia striiformis f. sp. tritici			true	false	medium	The data indicates a focus on a single pathogen, but the study setting lacks clarity due to insufficient information on whether samples were collected in the field or manipulated in a lab.
PRJNA854212	single	lab	Candidatus Liberibacter asiaticus	Catharanthus roseus	leaf	true	true	high	The study explicitly focuses on the pathogenicity of two strains of Candidatus Liberibacter asiaticus in a controlled lab setting using periwinkle plants, indicating a single-pathogen treatment without the intent of co-infection experiments.
PRJNA393407	single	lab	Blumeria graminis, Puccinia triticina	Triticum aestivum		true	true	high	The study involves transcriptional profiling and experiments conducted in a controlled lab setting, with a focus on the responses of wheat to specific pathogens. The classification aligns with the defined single-pathogen treatment, as it investigates the reaction of pathogens in relation to the Lr34 resistance gene without indication of co-infection.
PRJNA725323	surveillance	field	Puccinia triticina	Triticum aestivum	urediniospores	false	true	high	The project involved sampling rust-infected isolates from the field, indicating a field survey setting. The treatment context is surveillance as it involves assessing fungal infections rather than an intentional co-infection experiment, despite the RNA-seq data suggesting the presence of multiple species.
PRJNA254725	single	lab	Alternaria brassicicola	Brassica species		true	true	high	The study is focused on the interactions between a single pathogen, Alternaria brassicicola, and its host, Brassica species, in a controlled lab setting. The keyword classifier output supports this classification as a single treatment in a lab study setting.
PRJNA1107791	single	field	obligate downy mildew pathogen	Arabidopsis thaliana		true	true	high	The treatment is classified as single based on keyword output indicating a single-pathogen focus, and the study setting is field-based as per the same output. The named host aligns with the declared host in the context of the study.
PRJDB39409	single	unclear	Penicillium expansum	Malus domestica		true	false	medium	The study focuses on the infection of apples by a single pathogen, Penicillium expansum, indicating a single treatment classification. However, the study setting is unclear due to insufficient information on whether samples are collected from a controlled lab or the field.
PRJEB32362	single	lab	Pectobacterium carotovorum subsp. carotovorum	Solanum tuberosum		true	true	high	The classification as a 'single' treatment aligns with the study design focused on a single pathogen affecting a specific host plant under controlled lab conditions. The keywords from the classifier confirm this setting.
PRJNA176472	host_study	lab	Puccinia striiformis	Brachypodium distachyon	leaf	false	true	medium	The study focuses on the genetic resistance of the host to an adapted pathogen, indicating a host study, rather than a single-pathogen inoculation experiment. The lab setting is confirmed by the controlled growth conditions described.
PRJEB34186	single	unclear	Pyrenophora teres f. teres	Hordeum vulgare		true	false	medium	The study focuses on a single pathogen affecting barley, indicated by the treatment classification as 'single'. However, there is insufficient information to clearly determine the study setting, hence it's classified as 'unclear'.
PRJEB68334	single	lab	Blumeria graminis f.sp. tritici	Triticum aestivum		true	true	high	The study focuses on the interaction of genotypes of a single pathogen Blumeria graminis f.sp. tritici with its host Triticum aestivum in a controlled lab setting. The classification of treatment as 'single' aligns with the predominant focus on a single declared pathogen.
PRJEB50522	single	lab	Puccinia striiformis f. sp. tritici	Triticum aestivum	leaf	true	true	high	The study specifically investigates the host response to a single declared pathogen, Puccinia striiformis f. sp. tritici, in a controlled laboratory setting. The majority of samples are flagged as single infections, supporting the classification as a single-pathogen study.
PRJNA422914	surveillance	field	Puccinia striiformis	Triticum aestivum		false	true	high	The study describes a genomic comparison of pathogens in a natural context (field setting) and does not focus on a single pathogen inoculation, indicating a surveillance approach rather than a single treatment. The keyword classifier output aligns with the field setting.
PRJNA605036	single	lab	Puccinia triticina	Triticum aestivum	leaves	true	true	high	The study is focused on the wheat leaf rust fungus (Puccinia triticina) infecting wheat (Triticum aestivum) in a controlled lab setting. The treatment is classified as single since it involves infection with a single pathogen.
PRJNA609405	single	lab	Puccinia triticina	Triticum aestivum	leaf	true	true	high	The experiment is focused on a single pathogen, Puccinia triticina, interacting with a single host, Triticum aestivum, in a controlled lab setting. The study design is consistent with the keyword classifier outputs.
PRJNA956871	single	lab	Heterodera glycines	Glycine max	Single J4 female	true	true	high	The study focuses on the soybean cyst nematode (Heterodera glycines) in a controlled lab setting with single-pathogen analysis. The treatment classification as 'single' aligns with the lack of reported co-infections and the emphasis on studying the pathogen's interactions with the host.
PRJEB39756	single	unclear	Puccinia striiformis f. sp. tritici	Triticum aestivum		true	false	medium	The treatment is classified as single due to the focus on specific pathogen isolates, but the study setting is unclear because no explicit field or lab context is provided in the abstract. The keyword classifications for treatment align with the declared focus on a single pathogen, while the lack of detail prevents a clear determination of the study setting.
PRJNA1196143	coinf_experiment	field	Fusarium oxysporum			false	true	high	The project involves RNA-seq of two strains of Fusarium oxysporum, indicating a co-infection study. The study setting is field-based, as per the classifier output, but the treatment classification differs due to the presence of multi-species co-infection despite the keyword classifier indicating 'single'.
PRJNA1248058	single	lab	Phytophthora capsici	Capsicum annuum	mycelium	true	true	high	The study involves a single-pathogen inoculation of the declared pathogen Phytophthora capsici in a controlled lab setting, which aligns with the keyword classifier output indicating a single treatment and lab setting.
PRJNA1021048	single	lab	Alternaria solani	Solanum tuberosum	leaf	true	true	high	The study focuses on the pathogenicity of Alternaria solani in a controlled lab setting with single-pathogen inoculation; this aligns with the classifier output. The primary host is explicitly identified as Solanum tuberosum, and leaves were used as the sampled tissue.
PRJNA382499	single	lab	Phytophthora nicotianae	Nicotiana tabacum	roots	true	true	high	The treatment is classified as 'single' because the study focuses on a single pathogen (Phytophthora nicotianae) in controlled lab conditions. The tissue type is inferred to be roots based on the inoculation method described.
PRJNA716464	single	field	Alternaria panax	Panax notoginseng		false	true	medium	The study indicates a single-patogen experiment with A. panax infection, but the classifier suggests multi-species involvement, implying co-infection. The study setting is confirmed as field due to collection context. Therefore, treatment classification as 'single' conflicts with co-infection flag.
PRJNA283526	single	lab	Acidovorax avenae subsp. avenae	Oryza sativa		true	true	high	The study focuses on a single declared pathogen, Acidovorax avenae subsp. avenae, and it's conducted in a controlled laboratory setting, as indicated by the description of experimental methods. The keyword classifier output aligns well with these conclusions.
PRJNA558612	single	field	Plasmopara viticola	Vitis vinifera		true	true	high	The treatment is classified as single because the primary pathogen, Plasmopara viticola, is the sole focus of the study. The study setting is classified as field due to the description of lesions on grapevines collected from natural conditions in Italy.
PRJNA932159	single	lab	Phytophthora capsici	Piper nigrum	Mycelia	true	true	high	The study explicitly focuses on the interaction between the single pathogen Phytophthora capsici and the host Piper nigrum in a controlled lab setting. The keyword classifier output aligns with this classification, confirming a single-pathogen treatment and a lab study setting.
PRJEB61893	unclear	unclear				false	false	low	There is insufficient information to determine the treatment or study setting, as the BioSample summary indicates a single co-infection flag with no specified host or treatment context. The keyword classifier output also shows unclear treatment and study setting.
PRJNA256347	surveillance	field	Puccinia striiformis f. sp. tritici	Triticum aestivum	leaf	false	true	high	The study is focused on field samples and aims to monitor and understand the pathogen population in natural conditions, which aligns with a surveillance context. However, the presence of 2 multi-species BioSamples indicates it is not a single-pathogen experiment, contradicting the keyword classifier's single treatment classification.
PRJNA1137604	single	lab	Botryosphaeria dothidea	Carya cathayensis	trunk	true	true	high	The study focuses on the interaction between a single pathogen, Botryosphaeria dothidea, and its host Carya cathayensis in a controlled lab setting. This aligns well with the keyword classifier output indicating a single treatment and lab study setting.
PRJNA1491631	single	field	Fusarium oxysporum f. sp. albedinis	Phoenix dactylifera		true	true	high	The study specifically investigates the infection of date palms by a single pathogen, Fusarium oxysporum f. sp. albedinis, in a field setting, aligning well with the keywords provided. No indication of co-infection was observed despite the multi-species flag.
PRJNA748207	host_study	field	Ralstonia solanacearum	Nicotiana tabacum		false	true	medium	The study focuses on the transcriptome response of Ralstonia solanacearum to hydroxycoumarins, indicating it is a host study rather than a single-pathogen treatment experiment. The context is a field study due to the description of RNA-seq data being mined from public datasets and the co-infection flag indicating multiple species present.
PRJNA1202856	single	field	Fusarium graminearum	Triticum aestivum		true	true	high	The treatment is classified as single, which aligns with the lack of intentional co-infection mentioned, and the field study setting corresponds with the field-collected nature of the samples. The declared host and pathogen are explicitly stated.
PRJNA397359	host_study	lab	Fusarium proliferatum	Solanum lycopersicum	leaf, mycelium	true	true	high	The study focuses on the host-pathogen interaction specifically analyzing the effects of Fusarium proliferatum on Solanum lycopersicum in a controlled lab setting. The treatment aligns with a host study as it investigates the host's response rather than simultaneous co-infection.
PRJNA791897	single	field		Solanum lycopersicum		true	true	high	The study is classified as single treatment based on the output indicating a single declared pathogen in 12 out of 13 bio-samples. The study setting is field based on the presence of field-collected samples in the geo_loc_name values.
PRJNA773642	coinf_experiment	lab	ApVY, CaTLV, CarVY, CeMV, beet western yellows virus, carrot torradovirus-1, Ophiovirus, Umbravirus	Daucus carota		true	true	high	The study focuses on co-infection of various pathogens in apiaceous plants, indicating an intentional multi-pathogen context, supported by the classification of the samples as drawn from intentional lab work. The named host 'Daucus carota' aligns with the information provided in the BioSample summary.
PRJNA807078	surveillance	field		Solanum lycopersicum		false	true	high	The project focuses on unreported co-infecting organisms within tomato samples from a field setting, indicating a field survey. The treatment classification of 'single' does not align with the study's co-infection findings.
PRJNA961054	surveillance	field	Papaya virus E	Solanum lycopersicum	fruit	false	true	high	The study analyzes viruses detected in tomatoes, indicating a field survey context without controlled inoculation, aligning with the surveillance classification. The output suggests a multi-species infection, which reinforces that the primary focus is on natural infections rather than a controlled single-pathogen treatment.
PRJNA606340	single	field	Carrot virus Y	Daucus carota subsp. sativus		true	true	high	The study focuses on characterizing the genomes of virus isolates in a field setting, indicating a single-pathogen study. The output from the keyword classifier aligns with the treatment and study setting identified in the BioProject, confirming the classification.
PRJNA895362	coinf_experiment	field	Citrus leprosis virus	Citrus sinensis	leaf	true	true	high	The study explicitly involves the detection of multiple viruses in different hosts, indicating intentional co-infection experiments. Additionally, the samples were collected from various field settings in Colombia, confirming the field setting classification.
PRJNA1429803	surveillance	field				true	true	medium	The use of RNA-seq data to explore co-infections points towards a field survey context as there is no indication of a controlled lab setting or deliberate co-infections. The presence of multiple BioSamples and geolocation data reinforces the idea of a natural infection survey.
PRJNA1089140	surveillance	field				false	true	medium	The bioproject involves historical Tymoviruses but does not indicate a specific declared pathogen or host, and the context suggests a field-based collection with multiple samples indicating co-infection. The keyword classifier indicates a single treatment, but the majority of samples show multi-species co-infection, aligning better with surveillance.
PRJNA811762	single	field	Beet necrotic yellow vein virus			true	true	high	The study focuses on a single pathogen, Beet necrotic yellow vein virus, without any declared host or tissue specifics. The field study setting aligns with the information from geographic locations indicating field-collected samples.
PRJNA345005	single	lab	Pantoea stewartii subsp. stewartii	Zea mays		true	true	high	The study focuses on the transcriptomic response of Zea mays to a single pathogen, Pantoea stewartii subsp. stewartii, under controlled lab conditions. This aligns with the keyword classifier output for both treatment and study setting.
PRJEB46468	single	lab	Fusarium oxysporum	Solanum lycopersicum	roots	true	true	high	The study is focused on a single declared pathogen (Fusarium oxysporum) infecting tomato roots, and it is conducted in a controlled lab environment. The classification aligns with the provided keyword classifier output.
PRJNA1064071	single	lab	Fusarium oxysporum	Solanum lycopersicum		true	true	high	The study focuses on a single pathogen, Fusarium oxysporum, and involves controlled laboratory experiments with the host Solanum lycopersicum. The treatment aligns with the classification of single-pathogen infection.
PRJNA646633	single	lab	Xanthomonas oryzae pv. oryzae	Oryza sativa		true	true	high	The study is focused on single-pathogen interactions in a controlled lab environment with the declared pathogen Xanthomonas oryzae pv. oryzae and the named host Oryza sativa. The keyword classifier output aligns with this assessment.
PRJNA831271	single	lab	Pseudomonas syringae pv. syringae	Nicotiana benthamiana		true	true	high	The study focuses on the response of Nicotiana benthamiana to single pathogen infections using specific strains of Pseudomonas. The classified treatment and study setting align with the description and methods of the study.
PRJNA389503	single	lab	Fusarium oxysporum f.sp. radicis-cucumerinum	cucurbit species		true	true	high	The study focuses on the pathogenicity and genetic manipulation of a single fungus, indicating single-pathogen inoculation. Additionally, it is conducted in a controlled lab environment, aligning with the keyword classifications.
