accession	organism_name	kingdom	busco_lineage	complete_pct	single_pct	duplicated_pct	fragmented_pct	missing_pct	n_markers	status
GCF_030867565.1	Colletotrichum costaricense	fungal	ascomycota_odb10	99.5	99.4	0.1	0.2	0.3	1706	pass
GCA_030867565.1	Colletotrichum costaricense	fungal	ascomycota_odb10	99.5	99.4	0.1	0.2	0.3	1706	pass
GCA_026319245.1	Colletotrichum chrysophilum	fungal	ascomycota_odb10	94.5	94.3	0.2	2.5	3.0	1706	pass
GCA_031006325.1	Colletotrichum chrysophilum	fungal	ascomycota_odb10	95.5	95.2	0.3	2.4	2.1	1706	pass
GCF_034447905.1	Colletotrichum destructivum	fungal	ascomycota_odb10	99.7	99.2	0.5	0.1	0.2	1706	pass
GCA_030869315.1	Colletotrichum cuscutae	fungal	ascomycota_odb10	98.1	97.9	0.2	0.8	1.1	1706	pass
GCA_034447905.1	Colletotrichum destructivum	fungal	ascomycota_odb10	99.7	99.2	0.5	0.1	0.2	1706	pass
GCA_030867235.1	Colletotrichum falcatum	fungal	ascomycota_odb10	98.8	98.6	0.2	0.7	0.5	1706	pass
GCA_030867245.1	Colletotrichum eremochloae	fungal	ascomycota_odb10	99.0	98.6	0.4	0.5	0.5	1706	pass
GCA_023376865.1	Colletotrichum filicis	fungal	ascomycota_odb10	99.5	99.4	0.1	0.1	0.4	1706	pass
GCF_027942845.1	Colletotrichum fioriniae	fungal	ascomycota_odb10	95.0	95.0	0.0	2.2	2.8	1706	pass
GCA_027942845.1	Colletotrichum fioriniae	fungal	ascomycota_odb10	95.0	95.0	0.0	2.2	2.8	1706	pass
GCF_000582985.1	Colletotrichum fioriniae PJ7	fungal	ascomycota_odb10	98.8	98.7	0.1	0.4	0.8	1706	pass
GCA_001855235.1	Colletotrichum incanum	fungal	ascomycota_odb10	97.4	97.1	0.3	0.4	2.2	1706	pass
GCA_000582985.1	Colletotrichum fioriniae PJ7	fungal	ascomycota_odb10	98.8	98.7	0.1	0.4	0.8	1706	pass
GCA_051148585.1	Colletotrichum jinshuiense	fungal	ascomycota_odb10	99.4	98.9	0.5	0.2	0.4	1706	pass
GCF_051148585.1	Colletotrichum jinshuiense	fungal	ascomycota_odb10	99.4	98.9	0.5	0.2	0.4	1706	pass
GCA_001625285.1	Colletotrichum incanum	fungal	ascomycota_odb10	93.4	92.6	0.8	0.3	6.3	1706	pass
GCF_011947395.1	Colletotrichum karsti	fungal	ascomycota_odb10	98.7	98.5	0.2	0.2	1.1	1706	pass
GCA_032988895.1	Colletotrichum kahawae	fungal	ascomycota_odb10	99.1	98.9	0.2	0.2	0.7	1706	pass
GCA_030413865.1	Colletotrichum limetticola	fungal	ascomycota_odb10	99.2	99.1	0.1	0.4	0.4	1706	pass
GCA_011947395.2	Colletotrichum karsti	fungal	ascomycota_odb10	98.7	98.5	0.2	0.2	1.1	1706	pass
GCA_014235935.1	Colletotrichum musicola	fungal	ascomycota_odb10	99.3	99.1	0.2	0.3	0.4	1706	pass
GCF_023278565.1	Colletotrichum lupini	fungal	ascomycota_odb10	98.6	98.5	0.1	0.3	1.1	1706	pass
GCA_030868995.1	Colletotrichum melonis	fungal	ascomycota_odb10	99.2	99.1	0.1	0.2	0.6	1706	pass
GCA_026319155.1	Colletotrichum noveboracense	fungal	ascomycota_odb10	97.0	96.8	0.2	1.2	1.8	1706	pass
GCA_001831195.1	Colletotrichum orchidophilum	fungal	ascomycota_odb10	99.5	99.4	0.1	0.2	0.3	1706	pass
GCF_001831195.1	Colletotrichum orchidophilum	fungal	ascomycota_odb10	99.5	99.4	0.1	0.2	0.3	1706	pass
GCA_001563115.1	Colletotrichum nymphaeae SA-01	fungal	ascomycota_odb10	97.7	97.5	0.2	1.1	1.2	1706	pass
GCA_023278565.1	Colletotrichum lupini	fungal	ascomycota_odb10	98.6	98.5	0.1	0.3	1.1	1706	pass
GCA_006783085.1	Colletotrichum shisoi	fungal	ascomycota_odb10	98.0	97.8	0.2	0.6	1.4	1706	pass
GCA_014235945.1	Colletotrichum plurivorum	fungal	ascomycota_odb10	99.4	99.2	0.2	0.3	0.3	1706	pass
GCA_001563125.1	Colletotrichum salicis	fungal	ascomycota_odb10	98.5	98.3	0.2	0.5	1.0	1706	pass
GCA_004367935.1	Colletotrichum sidae	fungal	ascomycota_odb10	93.0	92.7	0.3	1.1	5.9	1706	pass
GCA_001563135.1	Colletotrichum simmondsii	fungal	ascomycota_odb10	98.4	98.2	0.2	0.5	1.1	1706	pass
GCA_014235955.1	Colletotrichum sojae	fungal	ascomycota_odb10	99.5	99.3	0.2	0.2	0.3	1706	pass
GCA_030867255.1	Colletotrichum somersetense	fungal	ascomycota_odb10	99.5	99.1	0.4	0.4	0.1	1706	pass
GCA_044063575.1	Colletotrichum sp. CLE4	fungal	ascomycota_odb10	97.8	97.7	0.1	1.0	1.2	1706	pass
GCA_025327165.1	Colletotrichum sp. SAR 10_70	fungal	ascomycota_odb10	96.0	95.8	0.2	1.8	2.2	1706	pass
GCA_025327135.1	Colletotrichum sp. SAR 10_71	fungal	ascomycota_odb10	95.9	95.7	0.2	1.8	2.3	1706	pass
GCA_025327155.1	Colletotrichum sp. SAR 10_75	fungal	ascomycota_odb10	95.9	95.7	0.2	1.6	2.5	1706	pass
GCA_028654355.1	Colletotrichum sp. SAR 10_99	fungal	ascomycota_odb10	96.0	95.7	0.3	1.6	2.4	1706	pass
GCA_025330015.1	Colletotrichum sp. SAR 10_77	fungal	ascomycota_odb10	95.3	95.1	0.2	1.8	2.9	1706	pass
GCA_025327125.1	Colletotrichum sp. SAR 10_86	fungal	ascomycota_odb10	94.5	94.3	0.2	2.0	3.5	1706	pass
GCA_025328985.1	Colletotrichum sp. SAR11_239	fungal	ascomycota_odb10	96.4	96.2	0.2	1.5	2.1	1706	pass
GCA_025328625.1	Colletotrichum sp. SAR11_240	fungal	ascomycota_odb10	95.9	95.7	0.2	1.7	2.4	1706	pass
GCA_025328355.1	Colletotrichum sp. SAR11_57	fungal	ascomycota_odb10	96.1	96.0	0.1	1.1	2.8	1706	pass
GCA_025328345.1	Colletotrichum sp. SAR11_59	fungal	ascomycota_odb10	94.7	94.5	0.2	1.8	3.5	1706	pass
GCA_030867325.1	Colletotrichum sublineola	fungal	ascomycota_odb10	98.8	98.5	0.3	0.5	0.7	1706	pass
GCA_004366825.1	Colletotrichum spinosum	fungal	ascomycota_odb10	94.1	93.9	0.2	1.3	4.6	1706	pass
GCA_000696135.1	Colletotrichum sublineola	fungal	ascomycota_odb10	98.8	98.6	0.2	0.5	0.7	1706	pass
GCF_030869305.1	Colletotrichum tamarilloi	fungal	ascomycota_odb10	99.6	99.5	0.1	0.2	0.2	1706	pass
GCA_030869305.1	Colletotrichum tamarilloi	fungal	ascomycota_odb10	99.6	99.5	0.1	0.2	0.2	1706	pass
GCA_026229895.1	Colletotrichum tanaceti	fungal	ascomycota_odb10	92.2	82.1	10.1	2.8	5.0	1706	pass
GCA_005350895.1	Colletotrichum tanaceti	fungal	ascomycota_odb10	94.0	92.6	1.4	0.6	5.4	1706	pass
GCA_030867305.1	Colletotrichum zoysiae	fungal	ascomycota_odb10	99.0	98.9	0.1	0.4	0.6	1706	pass
GCA_013201765.1	Colletotrichum viniferum	fungal	ascomycota_odb10	98.4	97.8	0.6	0.5	1.1	1706	pass
GCA_001625265.1	Colletotrichum tofieldiae	fungal	ascomycota_odb10	95.0	94.8	0.2	0.3	4.7	1706	pass
GCA_013201785.1	Colletotrichum tropicale	fungal	ascomycota_odb10	97.6	97.2	0.4	0.4	2.0	1706	pass
GCA_001654555.2	Fusarium agapanthi	fungal	ascomycota_odb10	97.5	97.2	0.3	0.6	1.9	1706	pass
GCA_038181435.1	Fusarium acuminatum	fungal	ascomycota_odb10	95.4	95.0	0.4	1.3	3.3	1706	pass
GCA_012932015.1	Fusarium acutatum	fungal	ascomycota_odb10	98.4	98.0	0.4	0.5	1.1	1706	pass
GCA_057674945.1	Fusarium akasia	fungal	ascomycota_odb10	94.1	93.4	0.7	3.0	2.9	1706	pass
GCA_012931995.1	Fusarium albosuccineum	fungal	ascomycota_odb10	96.9	96.0	0.9	0.9	2.2	1706	pass
GCA_057676225.1	Fusarium ambrosium	fungal	ascomycota_odb10	97.7	97.2	0.5	1.2	1.1	1706	pass
GCA_057674905.1	Fusarium akasia	fungal	ascomycota_odb10	96.0	95.4	0.6	2.2	1.8	1706	pass
GCA_003947045.1	Fusarium ambrosium	fungal	ascomycota_odb10	99.0	98.4	0.6	0.5	0.5	1706	pass
GCA_057676205.1	Fusarium ambrosium	fungal	ascomycota_odb10	97.4	96.8	0.6	1.0	1.6	1706	pass
GCA_057676125.1	Fusarium ambrosium	fungal	ascomycota_odb10	97.6	97.1	0.5	1.3	1.1	1706	pass
GCA_057676245.1	Fusarium ambrosium	fungal	ascomycota_odb10	97.0	96.5	0.5	1.7	1.3	1706	pass
GCA_022627115.1	Fusarium annulatum	fungal	ascomycota_odb10	94.7	94.3	0.4	0.5	4.8	1706	pass
GCA_013364965.1	Fusarium austroamericanum	fungal	ascomycota_odb10	98.6	98.4	0.2	0.2	1.2	1706	pass
GCA_057674825.1	Fusarium awan	fungal	ascomycota_odb10	88.1	87.8	0.3	4.2	7.7	1706	pass
GCA_057674865.1	Fusarium awan	fungal	ascomycota_odb10	87.8	87.5	0.3	3.7	8.5	1706	pass
GCA_012932025.1	Fusarium austroafricanum	fungal	ascomycota_odb10	97.6	97.2	0.4	0.6	1.8	1706	pass
GCA_013364935.1	Fusarium anthophilum	fungal	ascomycota_odb10	98.0	97.7	0.3	0.5	1.5	1706	pass
GCA_002980475.2	Fusarium beomiforme	fungal	ascomycota_odb10	97.9	97.1	0.8	0.9	1.2	1706	pass
GCA_013758895.1	Fusarium bulbicola	fungal	ascomycota_odb10	98.2	97.9	0.3	0.5	1.3	1706	pass
GCA_057674545.1	Fusarium cf. solani	fungal	ascomycota_odb10	98.1	97.7	0.4	1.0	0.9	1706	pass
GCA_057675865.1	Fusarium cf. solani	fungal	ascomycota_odb10	99.4	98.8	0.6	0.4	0.2	1706	pass
GCA_057675645.1	Fusarium cf. solani	fungal	ascomycota_odb10	99.4	98.8	0.6	0.3	0.3	1706	pass
GCA_057674555.1	Fusarium cf. solani	fungal	ascomycota_odb10	98.4	98.1	0.3	0.9	0.7	1706	pass
GCA_057675685.1	Fusarium cf. solani	fungal	ascomycota_odb10	99.3	98.7	0.6	0.2	0.5	1706	pass
GCA_057674765.1	Fusarium cf. solani	fungal	ascomycota_odb10	96.1	95.7	0.4	2.0	1.9	1706	pass
GCA_057675065.1	Fusarium cf. solani	fungal	ascomycota_odb10	94.4	94.0	0.4	2.5	3.1	1706	pass
GCA_057675705.1	Fusarium cf. solani	fungal	ascomycota_odb10	98.6	98.1	0.5	0.6	0.8	1706	pass
GCA_057675765.1	Fusarium cf. solani	fungal	ascomycota_odb10	98.8	98.3	0.5	0.4	0.8	1706	pass
GCA_057675785.1	Fusarium cf. solani	fungal	ascomycota_odb10	98.6	98.1	0.5	0.4	1.0	1706	pass
GCA_057675845.1	Fusarium cf. solani	fungal	ascomycota_odb10	99.3	98.8	0.5	0.4	0.3	1706	pass
GCA_057675965.1	Fusarium cf. solani	fungal	ascomycota_odb10	97.6	97.2	0.4	1.3	1.1	1706	pass
GCA_057675825.1	Fusarium cf. solani	fungal	ascomycota_odb10	88.4	87.9	0.5	1.7	9.9	1706	pass
GCA_057675945.1	Fusarium cf. solani	fungal	ascomycota_odb10	99.2	98.7	0.5	0.5	0.3	1706	pass
GCA_022627125.1	Fusarium chuoi	fungal	ascomycota_odb10	88.2	87.8	0.4	3.4	8.4	1706	pass
GCA_022627105.1	Fusarium chuoi	fungal	ascomycota_odb10	86.4	85.9	0.5	3.3	10.3	1706	pass
GCA_013781345.1	Fusarium coicis	fungal	ascomycota_odb10	97.4	97.1	0.3	0.8	1.8	1706	pass
GCA_013396175.1	Fusarium denticulatum	fungal	ascomycota_odb10	97.6	97.2	0.4	0.9	1.5	1706	pass
GCA_027945365.1	Fusarium equiseti	fungal	ascomycota_odb10	98.5	98.3	0.2	0.8	0.7	1706	pass
GCA_003946985.1	Fusarium duplospermum	fungal	ascomycota_odb10	99.0	98.4	0.6	0.6	0.4	1706	pass
GCA_057674645.1	Fusarium duplospermum	fungal	ascomycota_odb10	99.8	99.2	0.6	0.2	0.0	1706	pass
GCA_057674665.1	Fusarium duplospermum	fungal	ascomycota_odb10	99.7	99.1	0.6	0.2	0.1	1706	pass
GCA_910393935.1	Fusarium equiseti	fungal	ascomycota_odb10	98.9	98.4	0.5	0.3	0.8	1706	pass
GCA_057676085.1	Fusarium drepaniforme	fungal	ascomycota_odb10	96.1	95.5	0.6	2.0	1.9	1706	pass
GCA_057674965.1	Fusarium euwallaceae	fungal	ascomycota_odb10	98.1	97.5	0.6	1.0	0.9	1706	pass
GCA_057675025.1	Fusarium euwallaceae	fungal	ascomycota_odb10	97.8	97.2	0.6	1.2	1.0	1706	pass
GCA_013266205.1	Fusarium decemcellulare	fungal	ascomycota_odb10	94.1	93.1	1.0	1.7	4.2	1706	pass
GCA_057675525.1	Fusarium euwallaceae	fungal	ascomycota_odb10	97.4	96.8	0.6	1.1	1.5	1706	pass
GCA_057675505.1	Fusarium euwallaceae	fungal	ascomycota_odb10	98.1	97.5	0.6	0.8	1.1	1706	pass
GCA_027945495.1	Fusarium falciforme	fungal	ascomycota_odb10	96.8	93.7	3.1	1.5	1.7	1706	pass
GCA_019059555.1	Alternaria longipes	fungal	ascomycota_odb10							no_cds
GCA_023079265.1	Alternaria brassicicola	fungal	ascomycota_odb10							no_cds
GCA_002952155.1	Alternaria solani	fungal	ascomycota_odb10							no_cds
GCA_058968875.1	Alternaria solani	fungal	ascomycota_odb10							no_cds
GCA_036363465.1	Alternaria solani	fungal	ascomycota_odb10							no_cds
GCA_002837235.1	Alternaria solani	fungal	ascomycota_odb10							no_cds
GCA_026108165.1	Aspergillus ochraceus	fungal	ascomycota_odb10							no_cds
GCA_004849945.1	Aspergillus ochraceus	fungal	ascomycota_odb10							no_cds
GCA_025594125.1	Aspergillus ochraceus	fungal	ascomycota_odb10							no_cds
GCA_002018265.1	Ceratocystis harringtonii	fungal	ascomycota_odb10							no_cds
GCA_006681795.1	Ceratocystis manginecans	fungal	ascomycota_odb10							no_cds
GCA_026120055.1	Cercospora apii	fungal	ascomycota_odb10							no_cds
GCA_022836995.1	Cercospora apii	fungal	ascomycota_odb10							no_cds
GCA_005356885.1	Cercospora cf. flagellaris	fungal	ascomycota_odb10							no_cds
GCA_005356855.1	Cercospora kikuchii	fungal	ascomycota_odb10							no_cds
GCA_058382225.1	Cercospora cf. flagellaris	fungal	ascomycota_odb10							no_cds
GCA_009193115.1	Cercospora kikuchii	fungal	ascomycota_odb10							no_cds
GCA_002994015.1	Cercospora nicotianae	fungal	ascomycota_odb10							no_cds
GCA_008122225.1	Ciboria shiraiana	fungal	ascomycota_odb10							no_cds
GCA_002249775.1	Colletotrichum coccodes	fungal	ascomycota_odb10							no_cds
GCA_002249805.1	Colletotrichum coccodes	fungal	ascomycota_odb10							no_cds
GCA_003386485.1	Colletotrichum lentis	fungal	ascomycota_odb10							no_cds
GCA_001693025.3	Colletotrichum lindemuthianum	fungal	ascomycota_odb10							no_cds
GCA_041941805.1	Colletotrichum lindemuthianum	fungal	ascomycota_odb10							no_cds
GCA_001693015.2	Colletotrichum lindemuthianum	fungal	ascomycota_odb10							no_cds
GCA_041941825.1	Colletotrichum lindemuthianum	fungal	ascomycota_odb10							no_cds
GCA_041941875.1	Colletotrichum lindemuthianum	fungal	ascomycota_odb10							no_cds
GCA_041941845.1	Colletotrichum lindemuthianum	fungal	ascomycota_odb10							no_cds
GCA_005212705.1	Curvularia lunata	fungal	ascomycota_odb10							no_cds
GCA_025258505.1	Fusarium asiaticum	fungal	ascomycota_odb10							no_cds
GCA_001717835.1	Fusarium asiaticum	fungal	ascomycota_odb10							no_cds
GCA_050916195.1	Fusarium asiaticum	fungal	ascomycota_odb10							no_cds
GCA_001717845.1	Fusarium asiaticum	fungal	ascomycota_odb10							no_cds
GCA_025427855.1	Fusarium asiaticum	fungal	ascomycota_odb10							no_cds
GCA_051942695.1	Fusarium asiaticum	fungal	ascomycota_odb10							no_cds
GCA_025428385.1	Fusarium asiaticum	fungal	ascomycota_odb10							no_cds
GCA_025428395.1	Fusarium asiaticum	fungal	ascomycota_odb10							no_cds
GCA_017657095.1	Fusarium asiaticum	fungal	ascomycota_odb10							no_cds
GCA_013618305.1	Fusarium asiaticum	fungal	ascomycota_odb10							no_cds
GCA_055255615.1	Fusarium sacchari	fungal	ascomycota_odb10							no_cds
GCA_013363175.1	Fusarium virguliforme	fungal	ascomycota_odb10							no_cds
GCA_001457955.1	Heterobasidion annosum	fungal	basidiomycota_odb10							no_cds
GCA_055672675.1	Monilinia fructicola	fungal	ascomycota_odb10							no_cds
GCA_002162545.1	Monilinia fructicola	fungal	ascomycota_odb10							no_cds
GCA_002909715.1	Monilinia fructicola	fungal	ascomycota_odb10							no_cds
GCA_002116305.1	Penicillium italicum	fungal	ascomycota_odb10							no_cds
GCA_001008395.1	Penicillium italicum	fungal	ascomycota_odb10							no_cds
GCA_000601435.1	Pseudopyrenochaeta lycopersici	fungal	ascomycota_odb10							no_cds
GCA_958299125.1	Pyrenopeziza brassicae	fungal	ascomycota_odb10							no_cds
GCA_012274445.1	Sclerotiophoma versabilis	fungal	ascomycota_odb10							no_cds
GCA_059642765.1	Septoria lycopersici	fungal	ascomycota_odb10							no_cds
GCA_020827535.1	Ustilago esculenta	fungal	basidiomycota_odb10							no_cds
GCA_000173235.2	Hyaloperonospora arabidopsidis	oomycete	stramenopiles_odb10							no_cds
GCA_002099245.1	Peronospora tabacina	oomycete	stramenopiles_odb10							no_cds
GCA_002812785.1	Phytophthora litchii	oomycete	stramenopiles_odb10							no_cds
GCA_055472655.1	Plasmopara viticola	oomycete	stramenopiles_odb10							no_cds
GCA_027475745.1	Pythium aphanidermatum	oomycete	stramenopiles_odb10							no_cds
