taxid	name	kingdom	best_accession	assembly_name	assembly_level	release_date	has_annotation	protein_coding_genes	scaffold_n50_kb	total_length_mb	n_assemblies	fasta_type	notes
690256	Colletotrichum fructicola	fungi	GCA_013201875.1	ASM1320187v1	Scaffold	2020-06-01	True	16156	307	57.4	27	cds	GenBank_only(no_RefSeq)
474922	Colletotrichum gloeosporioides	fungi	GCF_011800055.1	NFU_CgLc1_1.0	Scaffold	2020-03-31	True	15368	710	61.9	22	cds	
31870	Colletotrichum graminicola	fungi	GCA_029226625.1	ASM2922662v1	Chromosome	2023-03-16	True	15139	6444	57.4	23	cds	GenBank_only(no_RefSeq)
80884	Colletotrichum higginsianum	fungi	GCA_000313795.2	ASM31379v2	Scaffold	2012-03-15	True	16141	6	49.1	5	cds	OLD_assembly(2012); GenBank_only(no_RefSeq)
5462	Colletotrichum lagenaria	fungi					False				0		NCBI query failed
1585795	Colletotrichum lentis	fungi	GCA_003386485.1	ASM338648v1	Scaffold	2018-08-14	False		4891	56.1	1	genome	no_annotation→skip; GenBank_only(no_RefSeq)
290576	Colletotrichum lindemuthianum	fungi	GCA_001693025.3	UFV_Clind_v3	Scaffold	2024-10-02	False		2180	100.4	6	genome	no_annotation→skip; GenBank_only(no_RefSeq)
5465	Colletotrichum orbiculare	fungi	GCA_000350065.2	KSG_Corb_v2	Scaffold	2019-03-22	True	13253	2079	89.7	1	cds	GenBank_only(no_RefSeq)
1209932	Colletotrichum scovillei	fungi	GCA_018906675.1	ASM1890667v1	Scaffold	2021-06-16	True	15385	3529	49.9	9	cds	GenBank_only(no_RefSeq)
690259	Colletotrichum siamense	fungi	GCA_013201745.1	ASM1320174v1	Scaffold	2020-06-01	True	15044	709	58.1	28	cds	GenBank_only(no_RefSeq)
1209068	Colletotrichum tabaci	fungi	GCA_036851105.1	ASM3685110v1	Contig	2024-02-23	True	13740	3611	52.1	1	cds	GenBank_only(no_RefSeq); contig_level
5466	Colletotrichum trifolii	fungi	GCA_004367215.1	KSG_Cotri_v1	Scaffold	2019-03-22	True	12292	35	109.7	1	cds	GenBank_only(no_RefSeq)
5116	Cryphonectria parasitica	fungi	GCF_011745365.1	Crypa2	Scaffold	2020-03-25	True	11588	5119	43.9	99	cds	
5503	Curvularia lunata	fungi	GCA_005212705.1	ASM521270v1	Scaffold	2019-05-06	False		227	33.5	2	genome	no_annotation→skip; GenBank_only(no_RefSeq)
252740	Cytospora chrysosperma	fungi	GCA_003795275.1	ASM379527v1	Scaffold	2018-11-19	True	9828	456	36.2	2	cds	GenBank_only(no_RefSeq)
64363	Dothistroma septosporum	fungi	GCA_000340195.1	Dothistroma septosporum NZE10 v1.0	Scaffold	2013-02-25	True	12415	2596	30.2	19	cds	OLD_assembly(2013); GenBank_only(no_RefSeq)
35717	Epichloe festucae	fungi	GCA_003814445.1	ASM381444v1	Complete Genome	2018-11-23	True	7034	6202	35.0	18	cds	GenBank_only(no_RefSeq)
93612	Exserohilum turcicum	fungi	GCF_000359705.1	Setospaeria trucica Et28A v1.0	Scaffold	2013-04-25	True	11687	2141	43.0	6	cds	OLD_assembly(2013)
5499	Fulvia fulva	fungi	GCF_020509005.1	Cfulv_R5_v5	Complete Genome	2022-01-24	True	14993	5777	67.2	32	cds	
282267	Fusarium asiaticum	fungi	GCA_025258505.1	ASM2525850v1	Complete Genome	2022-09-19	False		9351	38.3	257	genome	no_annotation→skip; GenBank_only(no_RefSeq)
40199	Fusarium avenaceum	fungi	GCA_012959155.1	ASM1295915v1	Scaffold	2020-05-04	True	15886	2237	41.7	16	cds	GenBank_only(no_RefSeq)
48490	Fusarium circinatum	fungi	GCA_013396185.1	ASM1339618v1	Scaffold	2020-07-10	True	13905	96	42.5	19	cds	GenBank_only(no_RefSeq)
5516	Fusarium culmorum	fungi	GCA_016952355.1	ASM1695235v1	Complete Genome	2020-11-16	True	11444	9631	37.5	14	cds	GenBank_only(no_RefSeq)
5127	Fusarium fujikuroi	fungi	GCA_900096505.1	version 1	Scaffold	2017-10-06	True	15852	2960	44.0	31	cds	GenBank_only(no_RefSeq)
5518	Fusarium graminearum	fungi	GCA_037213105.1	ASM3721310v1	Complete Genome	2024-03-18	True	13339	9011	37.1	137	cds	GenBank_only(no_RefSeq)
2502994	Fusarium odoratissimum	fungi	GCF_000260195.1	FO_II5_V1	Scaffold	2014-02-19	True	16634	1130	46.6	9	cds	OLD_assembly(2014)
5507	Fusarium oxysporum	fungi	GCA_026229875.1	ASM2622987v1	Scaffold	2022-11-17	True	31923	48	58.2	838	cds	GenBank_only(no_RefSeq)
61366	Fusarium oxysporum f. sp. cubense	fungi	GCA_000350345.1	Foc1_1.0	Scaffold	2013-04-09	True	15438	653	47.7	22	cds	OLD_assembly(2013); GenBank_only(no_RefSeq)
948311	Fusarium proliferatum	fungi	GCF_900067095.1	F. proliferatum ET1 version 1	Scaffold	2016-12-06	True	16129	3312	45.2	45	cds	
101028	Fusarium pseudograminearum	fungi	GCA_016952305.1	ASM1695230v1	Complete Genome	2020-11-16	True	11217	9153	37.8	7	cds	GenBank_only(no_RefSeq)
42676	Fusarium sacchari	fungi	GCA_055255615.1	ASM5525561v1	Scaffold	2026-02-17	False		187	45.9	6	genome	no_annotation→skip; GenBank_only(no_RefSeq)
5128	Fusarium sambucinum	fungi	GCF_050947815.1	OSU_Fsam_2.1	Complete Genome	2025-06-17	True	13017	9651	38.6	6	cds	
169388	Fusarium solani	fungi	GCA_027945525.1	F_sol_A01-1	Scaffold	2023-01-24	True	17490	561	54.7	27	cds	GenBank_only(no_RefSeq)
5514	Fusarium sporotrichioides	fungi	GCA_003012315.1	Fusarium_sporotrichioides_NRRL3299_FSPOR_contigs	Scaffold	2018-03-20	True	11961	235	37.4	5	cds	GenBank_only(no_RefSeq)
117187	Fusarium verticillioides	fungi	GCF_000149555.1	ASM14955v1	Chromosome	2011-07-06	True	15890	1960	41.8	66	cds	OLD_assembly(2011)
232082	Fusarium virguliforme	fungi	GCA_013363175.1	ASM1336317v1	Scaffold	2020-06-19	False		31	45.4	9	genome	no_annotation→skip; GenBank_only(no_RefSeq)
29850	Gaeumannomyces graminis	fungi					False				0		NCBI query failed
13563	Heterobasidion annosum	fungi	GCA_001457955.1	BM42NG	Scaffold	2015-11-03	False		2331	28.0	4	genome	no_annotation→skip; GenBank_only(no_RefSeq)
45133	Lasiodiplodia theobromae	fungi	GCA_008931885.1	ASM893188v1	Scaffold	2019-10-09	True	12785	249	43.9	19	cds	GenBank_only(no_RefSeq)
226899	Leptographium clavigerum	fungi	GCF_000143105.1	Sanger-454-IlluminaPA_2.0	Scaffold	2011-01-31	True	8311	1997	29.8	3	cds	OLD_assembly(2011)
203908	Melampsora laricis-populina	fungi	GCF_000204055.1	v1.0	Scaffold	2011-04-13	True	16255	1146	101.1	2	cds	OLD_assembly(2011)
5261	Melampsora lini	fungi					False				0		NCBI query failed
92637	Metarhizium acridum	fungi	GCF_019434415.1	Coph_MacrARSEF324_H1_v1.0	Scaffold	2021-08-02	True	12160	2338	44.7	11	cds	
568076	Metarhizium robertsii	fungi	GCF_000187425.2	MAA 2.0	Scaffold	2014-12-19	True	11688	4492	41.7	9	cds	OLD_assembly(2014)
1682391	Microdochium sorghi	fungi					False				0		NCBI query failed
38448	Monilinia fructicola	fungi	GCA_016906325.1	ASM1690632v1	Contig	2021-02-18	True	10085	988	43.0	6	cds	GenBank_only(no_RefSeq); contig_level
153609	Moniliophthora perniciosa	fungi	GCA_000183025.1	ASM18302v1	Scaffold	2008-12-02	True	13560	1	26.7	2	cds	OLD_assembly(2008); GenBank_only(no_RefSeq)
5270	Mycosarcoma maydis	fungi	GCF_000328475.2	Umaydis521_2.0	Chromosome	2015-02-18	True	6762	885	19.7	39	cds	
13684	Parastagonospora nodorum	fungi	GCA_016801405.1	ASM1680140v1	Chromosome	2021-02-02	True	17448	1683	37.0	180	cds	GenBank_only(no_RefSeq)
36651	Penicillium digitatum	fungi	GCF_016767815.1	ASM1676781v1	Complete Genome	2021-01-28	True	9002	4124	26.3	9	cds	
27334	Penicillium expansum	fungi	GCA_022829055.1	DTU_Pex_IBT34672	Scaffold	2022-04-06	True	10796	981	32.5	15	cds	GenBank_only(no_RefSeq)
40296	Penicillium italicum	fungi	GCA_000769765.1	ASM76976v1	Contig	2014-10-28	True	9996	121	30.2	4	cds	OLD_assembly(2014); GenBank_only(no_RefSeq); contig_level
170000	Phakopsora pachyrhizi	fungi	GCA_025201825.1	Phapa1	Scaffold	2022-09-09	True	19617	222	1057.4	52	cds	GenBank_only(no_RefSeq)
5022	Plenodomus lingam	fungi	GCF_022343315.1	CAIQ.LM.1	Scaffold	2022-02-18	True	11837	1978	42.0	9	cds	
1873960	Pseudocercospora fijiensis	fungi	GCF_000340215.1	Mycfi2	Scaffold	2013-02-26	True	13059	5902	74.1	3	cds	OLD_assembly(2013)
685502	Pseudocercospora fuligena	fungi	GCA_014298035.1	ASM1429803v1	Contig	2020-08-26	True	13765	408	50.5	1	cds	GenBank_only(no_RefSeq); contig_level
285811	Pseudopyrenochaeta lycopersici	fungi	GCA_000601435.1	P_lyc_v1	Scaffold	2014-03-27	False		87	50.5	2	genome	no_annotation→skip; OLD_assembly(2014); GenBank_only(no_RefSeq)
5297	Puccinia graminis	fungi	GCA_008522505.1	Pgt_210	Scaffold	2019-09-11	True	36325	5145	176.9	6	cds	GenBank_only(no_RefSeq)
27350	Puccinia striiformis	fungi	GCF_021901695.1	Pst134E36_v1_pri	Chromosome	2022-02-03	True	17118	4700	89.5	37	cds	
208348	Puccinia triticina	fungi	GCA_977970215.1	P.triticina_R9_M6	Chromosome	2026-02-16	True	23383	7341	121.3	28	cds	GenBank_only(no_RefSeq)
76659	Pyrenopeziza brassicae	fungi	GCA_958299125.1	Pyrenopeziza brassicae 15WOSR64-SS1	Scaffold	2026-01-07	False		3083	73.2	1	genome	no_annotation→skip; GenBank_only(no_RefSeq)
53485	Pyrenophora teres	fungi	GCA_900232045.3	PTTW11	Chromosome	2021-09-24	True	11561	4721	53.1	26	cds	GenBank_only(no_RefSeq)
45151	Pyrenophora tritici-repentis	fungi	GCF_003171515.1	CUR_PTRM4_2.2	Chromosome	2021-10-07	True	15455	3658	40.7	67	cds	
318829	Pyricularia oryzae	fungi	GCA_004346965.1	ASM434696v1	Complete Genome	2019-03-12	True	13521	6129	42.7	601	cds	GenBank_only(no_RefSeq)
456999	Rhizoctonia solani	fungi	GCF_016906535.1	ASM1690653v1	Complete Genome	2021-02-18	True	12301	2303	40.7	52	cds	
77044	Rosellinia necatrix	fungi	GCA_001445595.3	Rnecatrix_2.0	Scaffold	2017-02-01	True	12444	550	44.3	7	cds	GenBank_only(no_RefSeq)
5180	Sclerotinia sclerotiorum	fungi	GCA_001857865.1	ASM185786v1	Chromosome	2016-10-31	True	11130	2435	38.9	37	cds	GenBank_only(no_RefSeq)
2698418	Sclerotiophoma versabilis	fungi	GCA_012274445.1	FAFU_KC1_1.0	Contig	2020-04-13	False		1699	41.0	1	genome	no_annotation→skip; GenBank_only(no_RefSeq); contig_level
39703	Septoria lycopersici	fungi	GCA_059642765.1	SLML	Chromosome	2026-07-28	False		2646	29.6	1	genome	no_annotation→skip; GenBank_only(no_RefSeq)
72558	Sporisorium reilianum	fungi	GCA_900162835.1	version 2	Chromosome	2018-02-08	True	6682	782	18.5	2	cds	GenBank_only(no_RefSeq)
49012	Sporisorium scitamineum	fungi	GCA_900002365.1	ASM90000236v1	Scaffold	2016-03-08	True	6701	759	19.6	9	cds	GenBank_only(no_RefSeq)
183478	Stemphylium lycopersici	fungi	GCA_003268335.2	ASM326833v2	Scaffold	2026-04-01	True	11203	189	34.9	4	cds	GenBank_only(no_RefSeq)
286115	Synchytrium endobioticum	fungi	GCA_006535955.1	ASM653595v1	Scaffold	2019-07-01	True	8031	44	21.5	3	cds	GenBank_only(no_RefSeq)
29875	Trichoderma virens	fungi	GCA_020647635.1	ASM2064763v1	Complete Genome	2021-10-27	True	12061	6491	41.0	10	cds	GenBank_only(no_RefSeq)
1159556	Ustilaginoidea virens	fungi	GCF_000687475.1	ASM68747v2	Complete Genome	2021-05-20	True	8297	6430	37.1	8	cds	
185366	Ustilago esculenta	fungi	GCA_020827535.1	ASM2082753v1	Scaffold	2021-11-10	False		1030	26.4	2	genome	no_annotation→skip; GenBank_only(no_RefSeq)
120017	Ustilago hordei	fungi	GCA_022749175.1	ASM2274917v1	Complete Genome	2022-03-29	True	7787	1133	25.8	12	cds	GenBank_only(no_RefSeq)
27337	Verticillium dahliae	fungi	GCA_003320035.1	VdGwydir1A3	Chromosome	2018-07-15	True	10457	4825	32.0	63	cds	GenBank_only(no_RefSeq)
100787	Verticillium longisporum	fungi	GCA_018994065.1	ASM1899406v1	Scaffold	2021-06-22	True	20463	1750	75.0	21	cds	GenBank_only(no_RefSeq)
1051616	Verticillium nonalfalfae	fungi	GCF_003724135.2	ASM372413v2	Scaffold	2018-11-13	True	9430	172	31.7	24	cds	
1047171	Zymoseptoria tritici	fungi	GCF_000219625.1	MYCGR v2.0	Chromosome	2011-07-06	True	10941	2675	39.7	65	cds	OLD_assembly(2011)
47965	Acer truncatum	host	GCA_053477345.1	ASM5347734v1	Chromosome	2025-11-14	False		43995	612.3	3	genome	no_annotation→skip; GenBank_only(no_RefSeq)
64478	Actinidia arguta	host	GCA_030159115.1	AAR_r2.2	Scaffold	2023-03-16	False		21135	645.1	1	genome	no_annotation→skip; GenBank_only(no_RefSeq)
3625	Actinidia chinensis	host	GCA_003024255.1	Red5_PS1_1.69.0	Chromosome	2018-03-30	True	33044	18944	553.8	5	cds	GenBank_only(no_RefSeq)
1590841	Actinidia chinensis var. chinensis	host	GCA_003024255.1	Red5_PS1_1.69.0	Chromosome	2018-03-30	True	33044	18944	553.8	2	cds	GenBank_only(no_RefSeq)
3627	Actinidia deliciosa	host	GCA_024454175.1	ASM2445417v1	Chromosome	2022-08-01	False		21085	622.0	1	genome	no_annotation→skip; GenBank_only(no_RefSeq)
165200	Actinidia eriantha	host	GCF_019202715.1	MaoHua_MHT	Chromosome	2021-07-13	True	36616	22298	657.1	5	cds	
108276	Aeschynomene virginica	host					False				0		NCBI query failed
43364	Aesculus hippocastanum	host	GCA_965199115.1	drAesHipp1.hap1.1	Chromosome	2025-03-13	False		25744	513.6	2	genome	no_annotation→skip; GenBank_only(no_RefSeq)
176616	Ageratina adenophora	host	GCA_042767725.1	ASM4276772v1	Chromosome	2024-10-10	False		70799	3818.0	1	genome	no_annotation→skip; GenBank_only(no_RefSeq)
4679	Allium cepa	host	GCA_038502295.1	RDA_Ac_1.0	Chromosome	2024-04-29	False		1400476	12772.8	4	genome	no_annotation→skip; GenBank_only(no_RefSeq)
226677	Anthurium andraeanum	host					False				0		NCBI query failed
4045	Apium graveolens	host	GCF_009905375.1	ASM990537v1	Chromosome	2021-05-17	True	44727	289787	3332.6	4	cds	
3702	Arabidopsis thaliana	host	GCA_052361225.1	AtNW77-20190304	Chromosome	2025-08-31	True	30753	23178	117.5	368	cds	GenBank_only(no_RefSeq)
3818	Arachis hypogaea	host	GCA_039852515.1	HN51	Complete Genome	2024-05-26	True	71863	138996	2607.9	20	cds	GenBank_only(no_RefSeq)
265785	Atractylodes macrocephala	host					False				0		NCBI query failed
4498	Avena sativa	host	GCA_951802355.1	Asativa_cv_Legett_v1.0	Chromosome	2025-08-23	False		503791	10979.4	53	genome	no_annotation→skip; GenBank_only(no_RefSeq)
38783	Avena strigosa	host					False				0		NCBI query failed
28974	Averrhoa carambola	host					False				0		NCBI query failed
161934	Beta vulgaris	host	GCA_000511025.2	RefBeet-1.2.2	Chromosome	2015-07-07	True	26569	2013	566.2	331	cds	GenBank_only(no_RefSeq)
15368	Brachypodium distachyon	host	GCA_000005505.4	Brachypodium_distachyon_v3.0	Chromosome	2018-01-24	True	34310	30224	271.2	6	cds	GenBank_only(no_RefSeq)
52824	Brassica carinata	host	GCA_040584065.1	ASM4058406v1	Chromosome	2024-07-11	True	102229	62376	1070.4	4	cds	GenBank_only(no_RefSeq)
3707	Brassica juncea	host	GCA_020002505.1	ASM2000250v1	Chromosome	2021-09-15	False		56403	894.2	5	genome	no_annotation→skip; GenBank_only(no_RefSeq)
3708	Brassica napus	host	GCF_020379485.1	Da-Ae	Chromosome	2021-10-08	True	90897	48210	1001.5	115	cds	
3712	Brassica oleracea	host	GCA_965638055.1	BOLBOS01.2	Chromosome	2025-07-12	True	71866	62411	646.2	33	cds	GenBank_only(no_RefSeq)
3716	Brassica oleracea var. capitata	host	GCA_034621585.1	ASM3462158v1	Chromosome	2023-12-28	False		65135	552.2	8	genome	no_annotation→skip; GenBank_only(no_RefSeq)
3711	Brassica rapa	host	GCA_965641695.1	BRAWUT.1	Chromosome	2025-07-09	True	54264	43705	404.5	25	cds	GenBank_only(no_RefSeq)
51351	Brassica rapa subsp. pekinensis	host	GCA_052186295.1	ASM5218629v1	Complete Genome	2025-08-22	False		46906	430.9	6	genome	no_annotation→skip; GenBank_only(no_RefSeq)
385388	Camellia oleifera	host	GCA_022316695.1	ASM2231669v1	Chromosome	2022-02-24	False		185364	2889.5	1	genome	no_annotation→skip; GenBank_only(no_RefSeq)
4442	Camellia sinensis	host	GCA_041154535.1	CsSME v1.0	Scaffold	2024-06-10	True	55235	214858	3157.4	24	cds	GenBank_only(no_RefSeq)
4072	Capsicum annuum	host	GCA_000512255.2	ASM51225v2	Chromosome	2017-10-30	True	35845	250930	3063.9	28	cds	GenBank_only(no_RefSeq)
4073	Capsicum frutescens	host					False				0		NCBI query failed
134033	Castanea dentata	host	GCA_047496805.1	Cdentata v1.0	Chromosome	2025-02-07	True	31254	59223	703.4	1	cds	GenBank_only(no_RefSeq)
60419	Castanea mollissima	host	GCA_000763605.2	ASM76360v2	Scaffold	2020-04-08	True	30820	102	725.2	7	cds	GenBank_only(no_RefSeq)
21020	Castanea sativa	host	GCF_040712315.1	ASM4071231v1	Chromosome	2024-07-15	True	30866	59922	715.9	5	cds	
63459	Chenopodium quinoa	host	GCF_001683475.1	ASM168347v1	Scaffold	2017-05-19	True	49222	3844	1333.4	23	cds	
41568	Chrysanthemum x morifolium	host	GCA_059696675.1	CMOYQN_r0.1	Scaffold	2022-10-08	False		4	7986.5	1	genome	no_annotation→skip; GenBank_only(no_RefSeq)
3827	Cicer arietinum	host	GCF_000331145.2	Cicar.CDCFrontier_v2.0	Chromosome	2024-12-16	True	24841	65803	530.3	6	cds	
13427	Cichorium intybus	host	GCA_023525715.1	ASM2352571v1	Chromosome	2022-05-24	True	43721	126223	1278.8	2	cds	GenBank_only(no_RefSeq)
3654	Citrullus lanatus	host	GCA_054825235.1	ASM5482523v1	Complete Genome	2026-01-29	False		33383	370.1	118	genome	no_annotation→skip; GenBank_only(no_RefSeq)
2706	Citrus	host	GCA_052148995.1	Mxlime_USDA_v1	Chromosome	2025-08-19	True	48270	38004	680.6	107	cds	GenBank_only(no_RefSeq)
79217	Citrus iyo	host					False				0		NCBI query failed
64884	Citrus jambhiri	host					False				0		NCBI query failed
171249	Citrus limonia	host					False				0		NCBI query failed
2711	Citrus sinensis	host	GCA_022201045.1	DVS_A1.0	Complete Genome	2022-02-11	True	27807	32942	299.0	26	cds	GenBank_only(no_RefSeq)
55188	Citrus unshiu	host	GCA_002897195.1	CUMW_v1.0	Scaffold	2017-12-21	True	29024	386	359.7	5	cds	GenBank_only(no_RefSeq)
159033	Citrus x aurantiifolia	host	GCA_052148995.1	Mxlime_USDA_v1	Chromosome	2025-08-19	True	48270	38004	680.6	1	cds	GenBank_only(no_RefSeq)
2708	Citrus x limon	host	GCA_034663535.1	C.limon_PB_Hap2	Chromosome	2023-12-28	False		35348	307.5	2	genome	no_annotation→skip; GenBank_only(no_RefSeq)
164113	Citrus x microcarpa	host					False				0		NCBI query failed
37656	Citrus x paradisi	host					False				0		NCBI query failed
229630	Citrus x tangelo	host					False				0		NCBI query failed
4460	Colocasia esculenta	host	GCA_009445465.1	ASM944546v1	Scaffold	2019-10-31	True	56238	176	2141.6	4	cds	GenBank_only(no_RefSeq)
269719	Cotinus coggygria	host					False				0		NCBI query failed
292731	Cotinus obovatus	host					False				0		NCBI query failed
39473	Cucumis anguria	host					False				0		NCBI query failed
3656	Cucumis melo	host	GCA_005549215.1	ASM554921v1	Scaffold	2019-05-21	True	38173	1513	358.5	47	cds	GenBank_only(no_RefSeq)
3659	Cucumis sativus	host	GCF_000004075.3	Cucumber_9930_V3	Chromosome	2019-11-15	True	20040	31126	224.8	47	cds	
3661	Cucurbita maxima	host	GCF_002738345.1	Cmax_1.0	Scaffold	2017-10-31	True	27229	3717	271.4	2	cds	
3662	Cucurbita moschata	host	GCF_002738365.1	Cmos_1.0	Scaffold	2017-10-31	True	27814	3996	269.9	2	cds	
3663	Cucurbita pepo	host	GCF_002806865.2	ASM280686v2	Chromosome	2017-12-07	True	29279	9834	259.4	8	cds	
