BioProject	modes	n_runs	study_design	title	primary_pmid	primary_pub_date	primary_publication	n_papers_found	primaries	secondaries
PRJNA687280	mal	20	unclear	Analysis of differentially expressed genes during the interaction of Sclerotinia sclerotiorum with moderately resistant and highly susceptible chickpea lines	33964897	2021-05-08	[33964897] Analysis of differentially expressed Sclerotinia sclerotiorum genes during the interaction with moderately resistant and highly susceptible chickpea lines.	1	Sclerotinia sclerotiorum	Botrytis cinerea (0.2%); Botrytis cinerea (0.3%); Botrytis cinerea (0.8%); Botrytis cinerea (0.9%); Botrytis cinerea (1.0%); Botrytis cinerea (1.1%); Botrytis cinerea (1.2%); Botrytis cinerea (1.3%); Botrytis cinerea (1.4%)
PRJNA1242556	mal	20	unclear	Tomato Brown Rugose Fruit Virus Nextstrain Build Version 5				0	Tomato brown rugose fruit virus	Blunervirus solani (17.5%); Pepino mosaic virus (13.3%); Pepino mosaic virus (18.8%); Pepino mosaic virus (19.5%); Pepino mosaic virus (19.6%); Pepino mosaic virus (19.9%); Pepino mosaic virus (2.8%); Pepino mosaic virus (20.3%); Pepino mosaic virus (21.0%); Pepino mosaic virus (21.8%); Pepino mosaic virus (23.2%); Pepino mosaic virus (23.4%); Pepino mosaic virus (31.4%); Pepino mosaic virus (37.9%); Pepino mosaic virus (6.4%); Pepino mosaic virus (7.8%); Phytophthora infestans (7.7%); Tobacco mosaic virus (0.2%); Tobacco mosaic virus (0.5%)
PRJNA1031678	mal	17	unclear	RNA-seq analysis of Fusarium asiaticum and Fusarium graminearum inoculated on rice and wheat				0	Fusarium asiaticum; Fusarium graminearum	Fusarium graminearum (0.9%); Fusarium graminearum (13.2%); Fusarium graminearum (2.0%); Fusarium graminearum (2.1%); Fusarium graminearum (2.7%); Fusarium graminearum (24.2%); Fusarium graminearum (25.7%); Fusarium graminearum (28.5%); Fusarium graminearum (6.0%); Fusarium graminearum (6.7%); Fusarium graminearum (7.6%); Fusarium pseudograminearum (0.1%); Fusarium pseudograminearum (0.2%); Fusarium pseudograminearum (0.7%); Fusarium pseudograminearum (1.3%); Fusarium pseudograminearum (2.5%); Fusarium pseudograminearum (2.7%); Fusarium pseudograminearum (2.9%)
PRJNA148307	mal	12	unclear	Transcriptome of 4 developmental stages of Colletotrichum higginsianum during infection of Arabidopsis thaliana	22885923	2012-08-12	[22885923] Lifestyle transitions in plant pathogenic Colletotrichum fungi deciphered by genome and transcriptome analyses.	3	Colletotrichum higginsianum	Colletotrichum gloeosporioides (0.2%); Colletotrichum gloeosporioides (0.3%); Colletotrichum gloeosporioides (0.4%); Colletotrichum graminicola (0.3%); Colletotrichum graminicola (0.4%); Colletotrichum graminicola (1.0%); Colletotrichum graminicola (1.3%); Colletotrichum graminicola (1.4%); Colletotrichum graminicola (1.5%)
PRJEB47693	mal	11	unclear	Wheat stem rust recorded for the first time in decades in Ireland	35873178	2022-02-09	[35873178] Wheat stem rust recorded for the first time in decades in Ireland.	1	Puccinia graminis f. sp. tritici	Fusarium odoratissimum (1.1%); Parastagonospora nodorum (0.9%); Parastagonospora nodorum (2.1%); Puccinia triticina (2.2%); Puccinia triticina (3.8%); Zymoseptoria tritici (0.1%); Zymoseptoria tritici (0.8%); Zymoseptoria tritici (10.7%); Zymoseptoria tritici (2.3%); Zymoseptoria tritici (21.7%); Zymoseptoria tritici (23.9%); Zymoseptoria tritici (5.9%); Zymoseptoria tritici (9.3%)
PRJNA1113144	mal	11	unclear	Fusarium oxysporum f. sp. cubense Raw sequence reads	39844040	2025-01-22	[39844040] Transcriptome analysis provides insights into the role of TLP16 in Musa acuminata Resistance to Fusarium oxysporum f. sp. cubense wilt.	2	Fusarium oxysporum	Fusarium odoratissimum (0.4%); Fusarium odoratissimum (1.3%); Fusarium odoratissimum (1.4%); Fusarium odoratissimum (15.7%); Fusarium odoratissimum (2.1%); Fusarium odoratissimum (5.9%); Fusarium odoratissimum (6.4%); Fusarium odoratissimum (6.5%)
PRJEB33109	mal	11	field_survey	RNAseq data of Puccinia striiformis f.sp. tritici collected in 2018 in Zimbabwe	33750297	2021-03-09	[33750297] Rust expression browser: an open source database for simultaneous analysis of host and pathogen gene expression profiles with expVIP.	1	Puccinia striiformis	Puccinia graminis f. sp. tritici CRL 75-36-700-3 (0.6%); Puccinia graminis f. sp. tritici CRL 75-36-700-3 (0.7%); Puccinia graminis f. sp. tritici CRL 75-36-700-3 (0.8%)
PRJNA1244880	mal	10	unclear	Putative SET Domain-Containing Proteins Play Significant Roles in Regulating Sporulation, and Pathogenicity in Phytophthora capsici				0	Phytophthora capsici	Fusarium oxysporum (0.1%); Lasiodiplodia theobromae (0.1%); Phytophthora infestans (0.2%); Phytophthora infestans (0.4%); Phytophthora infestans (0.5%); Phytophthora infestans (0.6%); Phytophthora infestans (0.9%); Phytophthora sojae (0.3%)
PRJEB65589	mal	10	unclear	How to curtail the rise in wheat stem rust infections in western Europe				0	Puccinia graminis f. sp. tritici	Parastagonospora nodorum (2.4%); Puccinia triticina (0.9%); Puccinia triticina (11.4%); Puccinia triticina (3.0%); Zymoseptoria tritici (0.9%); Zymoseptoria tritici (10.3%); Zymoseptoria tritici (24.6%); Zymoseptoria tritici (4.7%); Zymoseptoria tritici (9.8%); environmental samples (13.2%)
PRJNA352342	mal	10	field_survey	Expression profiles of nine Fusarium fujikuroi strains revealed common and different sets of up-regulated genes	29073267	2017-10-26	[29073267] Comparative genomics of geographically distant Fusarium fujikuroi isolates revealed two distinct pathotypes correlating with secondary metabolite profiles.	1	Fusarium fujikuroi; Fusarium oxysporum	Fusarium verticillioides 7600 (0.3%); Fusarium verticillioides 7600 (1.2%); Fusarium verticillioides 7600 (1.3%); Fusarium verticillioides 7600 (1.4%); Fusarium verticillioides 7600 (1.5%); Fusarium verticillioides 7600 (1.6%); Fusarium verticillioides 7600 (1.8%)
PRJNA574904	mal	9	unclear	Monilinia fruciticola Bmpc7 RNA-Seq at infection stage on peach fruits				0	Monilinia fructicola	Botrytis cinerea (2.1%); Botrytis cinerea (2.7%); Botrytis cinerea (2.9%); Botrytis cinerea (4.3%); Botrytis cinerea (5.0%); Botrytis cinerea (5.3%); Botrytis cinerea (5.5%); Botrytis cinerea (5.6%); Botrytis cinerea (5.7%)
PRJEB42296	mal	8	field_survey	First expansion of the public Tomato brown rugose fruit virus (ToBRFV) Nextstrain build; inclusion of new genomic and epidemiological data				0	Tomato brown rugose fruit virus	Pepino mosaic virus (11.2%); Pepino mosaic virus (12.0%); Pepino mosaic virus (15.4%); Pepino mosaic virus (20.0%); Pepino mosaic virus (25.8%); Pepino mosaic virus (5.3%); Pepper mild mottle virus (13.9%); Tomato mosaic virus (61.7%); Tomato mottle mosaic virus (15.7%)
PRJEB5141	mal	8	unclear	Gene expression of F.graminearum for maize stalk infection				0	Fusarium graminearum	Fusarium pseudograminearum (0.2%); Fusarium pseudograminearum (0.8%); Fusarium pseudograminearum (1.0%)
PRJNA1248058	mal	7	unclear	Phytophthora capsici BYA5 Genome sequencing and assembly	41491994	2026-01-05	[41491994] Chromosome-scale assembly and annotation of Phytophthora capsici isolate BYA5.	1	Phytophthora capsici	Phytophthora infestans (0.3%); Phytophthora infestans (1.6%); Phytophthora infestans (1.7%); Phytophthora nicotianae (0.1%); Phytophthora sojae (0.8%)
PRJNA486288	mal	7	unclear	Population genomics and gene expression analysis of Fusarium Head Blight (FHB)				0	Fusarium graminearum	Alternaria alternata (0.1%); Alternaria alternata (0.4%); Alternaria alternata (0.5%); Alternaria alternata (0.9%); Alternaria alternata (1.0%); Fusarium pseudograminearum (0.2%); Fusarium pseudograminearum (0.4%); Fusarium pseudograminearum (0.5%); Fusarium pseudograminearum (0.6%); Fusarium pseudograminearum (0.8%)
PRJDB39409	mal	6	unclear	Transcriptomic Analysis of Apple in Response to Penicillium Infection (PRJCA046491)				0	Penicillium italicum	Penicillium digitatum (0.6%); Penicillium digitatum (1.0%); Penicillium expansum (0.5%); Penicillium expansum (0.6%); Penicillium expansum (1.4%); Penicillium expansum (1.8%)
PRJNA628751	mal	6	unclear	Colletotrichum camelliae Genome sequencing	32443615	2020-05-18	[32443615] Lifestyle Characteristics and Gene Expression Analysis of	1	Colletotrichum camelliae	Colletotrichum fructicola (17.1%); Colletotrichum fructicola (18.7%); Colletotrichum fructicola (26.7%); Colletotrichum fructicola (42.1%); Colletotrichum fructicola (42.9%); Colletotrichum fructicola (43.2%); Colletotrichum higginsianum (0.2%)
PRJNA1207595	mal	6	unclear	Phytophthora capsici multiple host RNA-Seq				0	Phytophthora capsici	Phytophthora infestans (1.7%); Phytophthora infestans (1.8%); Phytophthora infestans (1.9%); Phytophthora infestans (2.0%); Phytophthora nicotianae (2.7%); Phytophthora nicotianae (2.8%); Phytophthora nicotianae (3.0%); Phytophthora nicotianae (3.2%); Phytophthora nicotianae (3.4%)
PRJNA1292970	mal	6	unclear	Sequencing of wheat stem rust isolates from Argentina and Uruguay				0	Puccinia graminis f. sp. tritici	Parastagonospora nodorum (0.1%); Parastagonospora nodorum (1.0%); Parastagonospora nodorum (4.7%); Puccinia triticina (0.5%); Puccinia triticina (10.8%); Puccinia triticina (3.0%); Puccinia triticina (5.1%); Zymoseptoria tritici (12.7%)
PRJNA747857	mal	6	unclear	Transcriptome analysis of the CgHSF1 knock-down mutant in vivo				0	Colletotrichum gloeosporioides	Colletotrichum fructicola (2.1%); Colletotrichum fructicola (5.3%); Colletotrichum fructicola (5.4%); Colletotrichum fructicola (5.5%)
PRJNA254725	mal	6	field_survey	Transcriptional responses of Bdtf1-deletion mutant to the phytoalexin brassinin in the necrotrophic fungus Alternaria brassicicola	25061722	2014-07-24	[25061722] Transcriptional responses of the Bdtf1-deletion mutant to the phytoalexin brassinin in the necrotrophic fungus Alternaria brassicicola.	1	Alternaria brassicicola	Pyrenophora teres (0.2%)
PRJNA605036	mal	6	unclear	Puccinia triticina pathotype PHTT(P) time-resolved RNAseq	32582112	2020-06-03	[32582112] Genome-Wide Identification of Effector Candidates With Conserved Motifs From the Wheat Leaf Rust Fungus	2	Puccinia triticina	Puccinia graminis (1.1%); Puccinia graminis (1.3%); Puccinia graminis (1.4%)
PRJNA609405	mal	6	unclear	Puccinia triticina Transcriptome Sequencing	33072007	2020-09-22	[33072007] Predicating the Effector Proteins Secreted by	3	Puccinia triticina	Puccinia graminis (1.0%); Puccinia graminis (1.5%); Puccinia graminis (1.6%); Puccinia graminis (1.7%); Puccinia graminis (2.0%); Puccinia graminis (2.1%)
PRJNA872313	mal	5	unclear	Colletotrichum RNAseq data	37283539	2023-06-07	[37283539] The evolution of mini-chromosomes in the fungal genus	2	Colletotrichum asianum; Colletotrichum siamense	Colletotrichum fructicola (0.1%); Colletotrichum fructicola (0.5%); Colletotrichum fructicola (1.2%); Colletotrichum fructicola (1.6%); Colletotrichum gloeosporioides (0.1%); Colletotrichum gloeosporioides (0.2%); Colletotrichum gloeosporioides (0.4%); Colletotrichum gloeosporioides (0.5%)
PRJNA811707	mal	5	field_survey	RNA-Seq during Navel orange - Penicillium italicum interaction at 3 days post inoculation				0	Penicillium italicum	Penicillium digitatum (1.8%); Penicillium digitatum (1.9%); Penicillium expansum (4.5%); Penicillium expansum (4.6%); Penicillium expansum (4.8%); Penicillium expansum (4.9%); Penicillium expansum (5.0%)
PRJNA1293538	mal	5	unclear	Differential Gene Expression in Fusarium Head Blight Patho-gens Facilitates Root Infection of Wheat, Maize, and Soybean	40872083	2025-08-08	[40872083] Differential Gene Expression in Fusarium Head Blight Pathogens Facilitates Root Infection of Wheat, Maize, and Soybean.	1	Fusarium graminearum	Fusarium pseudograminearum (0.2%); Fusarium pseudograminearum (0.3%); Fusarium pseudograminearum (0.4%)
PRJNA643593	mal	5	unclear	Fusarium culmorum Class2-1B and Fusarium pseudograminearum Class2-1C Genome sequencing and assembly	40093759	2025-03-07	[40093759] ﻿A fusarioid fungus forms mutualistic interactions with poplar trees that resemble ectomycorrhizal symbiosis.	1	Fusarium pseudograminearum	Fusarium graminearum (3.4%); Fusarium graminearum (3.9%); Fusarium graminearum (4.0%); Fusarium graminearum (5.1%); Fusarium graminearum (6.9%)
PRJEB34186	mal	5	unclear	Transcriptomics during barley infection by Pyrenophora teres f. teres, isolate W1-1	39167800	2024-07-03	[39167800] Identification of Highly Repetitive Enhancers with Long-range Regulation Potential in Barley via STARR-seq.	1	Pyrenophora teres f. teres	Pyrenophora tritici-repentis (1.0%)
PRJNA768796	mal	5	unclear	Fusarium graminearum PH-1 Raw sequence reads				0	Fusarium graminearum PH-1	Fusarium pseudograminearum (0.1%); Fusarium pseudograminearum (0.4%); Fusarium pseudograminearum (0.5%)
PRJNA565562	mal	5	field_survey	RNA-Seq study on two mutant strains of Pectobacterium carotovorum subsp. brasiliense	31992632	2020-01-28	[31992632] Horizontally Acquired Quorum-Sensing Regulators Recruited by the PhoP Regulatory Network Expand the Host Adaptation Repertoire in the Phytopathogen	1	Pectobacterium brasiliense	Pectobacterium carotovorum (53.5%); Pectobacterium carotovorum (54.0%); Pectobacterium carotovorum (55.5%); Pectobacterium carotovorum (57.9%); Pectobacterium carotovorum (58.8%)
PRJNA725323	mal	5	unclear	Puccinia triticina (Pt76) Genome sequencing and assembly	35337367	2022-03-25	[35337367] Physical separation of haplotypes in dikaryons allows benchmarking of phasing accuracy in Nanopore and HiFi assemblies with Hi-C data.	3	Puccinia triticina	Puccinia graminis (1.2%); Puccinia graminis (1.3%); Puccinia graminis (1.7%); Puccinia graminis (1.8%)
PRJNA588102	mal	5	unclear	Puccinia striiformis f. sp. tritici DK0911	32271913	2020-05-01	[32271913] Distinct Life Histories Impact Dikaryotic Genome Evolution in the Rust Fungus Puccinia striiformis Causing Stripe Rust in Wheat.	2	Puccinia striiformis f. sp. tritici	Puccinia graminis f. sp. tritici (0.2%); Puccinia graminis f. sp. tritici (0.3%); Puccinia graminis f. sp. tritici CRL 75-36-700-3 (0.3%); Puccinia graminis f. sp. tritici CRL 75-36-700-3 (0.4%)
PRJNA797683	mal	5	unclear	Penicillium expansum sequencing				0	Penicillium expansum	Penicillium digitatum (0.2%); Penicillium digitatum (0.3%); Penicillium digitatum (0.4%)
PRJNA686475	mal	4	unclear	Genome sequencing and assembly of Fusarium oxysporum f.sp. raphani and Fusarium oxysporum f.sp. rapae				0	Fusarium oxysporum f. sp. rapae; Fusarium oxysporum f. sp. raphani	Fusarium fujikuroi (0.1%); Fusarium odoratissimum (0.3%); Fusarium proliferatum (0.1%); Fusarium verticillioides (0.1%); Fusarium verticillioides (0.2%)
PRJNA700975	mal	4	unclear	Transcriptome profiles of Sporisorium reilianum during the early infection of resistant and susceptible maize isogenic lines	33669631	2021-02-19	[33669631] Transcriptome Profiles of	1	Sporisorium reilianum	Fusarium proliferatum (0.1%); Fusarium verticillioides 7600 (1.0%); Fusarium verticillioides 7600 (1.2%); Fusarium verticillioides 7600 (5.1%); Fusarium verticillioides 7600 (5.7%)
PRJNA1100932	mal	4	unclear	Transcriptome data on Penicillium italicum infesting navel oranges	38921355	2024-05-21	[38921355] SntB Affects Growth to Regulate Infecting Potential in	1	Penicillium italicum	Penicillium expansum (6.0%); Penicillium expansum (6.4%); Penicillium expansum (6.7%)
PRJNA176472	mal	4	field_survey	Puccinia striiformis f. sp. tritici 104E137A Transcriptome or Gene expression	30265666	2018-09-28	[30265666] The genetic architecture of colonization resistance in Brachypodium distachyon to non-adapted stripe rust (Puccinia striiformis) isolates.	2	Puccinia striiformis f. sp. tritici	Puccinia graminis (0.7%); Puccinia graminis (0.8%); Puccinia graminis (0.9%); Puccinia graminis (8.8%)
PRJNA925193	mal	3	field_survey	Moniliophthora roreri and Moniliophthora perniciosa raw sequence reads	37337677	2023-08-30	[37337677] Clonal reproduction of Moniliophthora roreri and the emergence of unique lineages with distinct genomes during range expansion.	1	Moniliophthora perniciosa	Colletotrichum fructicola (0.8%); Colletotrichum fructicola (2.3%); Colletotrichum siamense (0.4%); Colletotrichum siamense (2.0%)
